Crinifer piscator_Western Plantain-eater
Pycnonotus barbatus_Common Bulbul
Hypergerus atriceps_Oriole Warbler
Hedydipna platura_Pygmy Sunbird
Turdoides reinwardtii_Blackcap Babbler
Gymnobucco calvus_Naked-faced Barbet
Illadopsis cleaveri_Blackcap Illadopsis
Spermophaga haematina_Western Bluebill
Emberiza cabanisi_Cabanis's Bunting
Cinnyris coccinigastrus_Splendid Sunbird
Tauraco macrorhynchus_Yellow-billed Turaco
Streptopelia semitorquata_Red-eyed Dove
Bostrychia hagedash_Hadada Ibis
Tauraco persa_Guinea Turaco
Thescelocichla leucopleura_Swamp Greenbul
Sylvietta virens_Green Crombec
Pogoniulus scolopaceus_Speckled Tinkerbird
Oriolus nigripennis_Black-winged Oriole
Centropus leucogaster_Black-throated Coucal
Caprimulgus climacurus_Long-tailed Nightjar
Malimbus nitens_Blue-billed Malimbe
Turtur brehmeri_Blue-headed Wood-Dove
Bias musicus_Black-and-white Shrike-flycatcher
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Smithornis rufolateralis_Rufous-sided Broadbill
Camaroptera superciliaris_Yellow-browed Camaroptera
Stiphrornis erythrothorax_Forest Robin
Corythaeola cristata_Great Blue Turaco
Eurillas virens_Little Greenbul
Dicrurus atripennis_Shining Drongo
Hylia prasina_Green Hylia
Bycanistes fistulator_Piping Hornbill
Nicator chloris_Western Nicator
Lamprotornis splendidus_Splendid Starling
Camaroptera chloronota_Olive-green Camaroptera
Spermestes cucullata_Bronze Mannikin
Crithagra mozambica_Yellow-fronted Canary
Ploceus cucullatus_Village Weaver
Buccanodon duchaillui_Yellow-spotted Barbet
Psittacus erithacus_Gray Parrot
Urotriorchis macrourus_Long-tailed Hawk
Corvus albus_Pied Crow
Baeopogon indicator_Honeyguide Greenbul
Sarothrura pulchra_White-spotted Flufftail
Cypsiurus parvus_African Palm-Swift
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Macrosphenus concolor_Gray Longbill
Pternistis bicalcaratus_Double-spurred Francolin
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Illadopsis fulvescens_Brown Illadopsis
Eremomela pusilla_Senegal Eremomela
