Hemiprocne mystacea_Moustached Treeswift
Accipiter hiogaster_Variable Goshawk
Macropygia amboinensis_Amboyna Cuckoo-Dove
Chalcophaps stephani_Stephan's Dove
Rhyticeros plicatus_Blyth's Hornbill
Trichoglossus haematodus_Coconut Lorikeet
Leptocoma aspasia_Black Sunbird
Ptilinopus viridis_Claret-breasted Fruit-Dove
Ptilinopus rivoli_White-breasted Fruit-Dove
Rhipidura leucophrys_Willie-wagtail
Phylloscopus poliocephalus_Island Leaf Warbler
Rhipidura rufiventris_Northern Fantail
Anous minutus_Black Noddy
Myiagra alecto_Shining Flycatcher
Eclectus roratus_Eclectus Parrot
Merops ornatus_Rainbow Bee-eater
Phaethon lepturus_White-tailed Tropicbird
Numenius minutus_Little Curlew
Anas superciliosa_Pacific Black Duck
Gygis alba_White Tern
Scythrops novaehollandiae_Channel-billed Cuckoo
Bubulcus ibis_Cattle Egret
Numenius madagascariensis_Far Eastern Curlew
Aplonis metallica_Metallic Starling
Thalasseus bergii_Great Crested Tern
Sula sula_Red-footed Booby
Todiramphus sanctus_Sacred Kingfisher
Aviceda subcristata_Pacific Baza
Egretta sacra_Pacific Reef-Heron
Porphyrio melanotus_Australasian Swamphen
Ptilinopus superbus_Superb Fruit-Dove
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Esacus magnirostris_Beach Thick-knee
Passer montanus_Eurasian Tree Sparrow
Ducula pistrinaria_Island Imperial-Pigeon
Anhinga melanogaster_Oriental Darter
Cacomantis variolosus_Brush Cuckoo
Fregata minor_Great Frigatebird
Sterna dougallii_Roseate Tern
Stercorarius pomarinus_Pomarine Jaeger
Sterna sumatrana_Black-naped Tern
Onychoprion anaethetus_Bridled Tern
Symposiachrus trivirgatus_Spectacled Monarch
Calidris ruficollis_Red-necked Stint
Eurystomus orientalis_Dollarbird
Fregata ariel_Lesser Frigatebird
Gallirallus philippensis_Buff-banded Rail
Ixobrychus flavicollis_Black Bittern
Calidris acuminata_Sharp-tailed Sandpiper
Anous stolidus_Brown Noddy
Phalaropus lobatus_Red-necked Phalarope
Paradisaea rubra_Red Bird-of-Paradise
Cacatua galerita_Sulphur-crested Cockatoo
Charadrius mongolus_Lesser Sand-Plover
Pycnonotus aurigaster_Sooty-headed Bulbul
