Accipiter hiogaster_Variable Goshawk
Hemiprocne mystacea_Moustached Treeswift
Chalcophaps stephani_Stephan's Dove
Ptilinopus viridis_Claret-breasted Fruit-Dove
Trichoglossus haematodus_Coconut Lorikeet
Rhyticeros plicatus_Blyth's Hornbill
Phylloscopus poliocephalus_Island Leaf Warbler
Rhipidura leucophrys_Willie-wagtail
Cinnyris jugularis_Olive-backed Sunbird
Hirundo tahitica_Pacific Swallow
Macropygia amboinensis_Amboyna Cuckoo-Dove
Eclectus roratus_Eclectus Parrot
Anas superciliosa_Pacific Black Duck
Rhipidura rufiventris_Northern Fantail
Haliaeetus leucogaster_White-bellied Sea-Eagle
Numenius madagascariensis_Far Eastern Curlew
Haliastur indus_Brahminy Kite
Synoicus chinensis_Blue-breasted Quail
Butorides striata_Striated Heron
Gallinago megala_Swinhoe's Snipe
Alcedo atthis_Common Kingfisher
Merops ornatus_Rainbow Bee-eater
Onychoprion anaethetus_Bridled Tern
Charadrius mongolus_Lesser Sand-Plover
Porphyrio melanotus_Australasian Swamphen
Aplonis metallica_Metallic Starling
Esacus magnirostris_Beach Thick-knee
Sterna hirundo_Common Tern
Myiagra alecto_Shining Flycatcher
Fregata minor_Great Frigatebird
Ixobrychus flavicollis_Black Bittern
Aviceda subcristata_Pacific Baza
Cacomantis variolosus_Brush Cuckoo
Leptocoma aspasia_Black Sunbird
Scythrops novaehollandiae_Channel-billed Cuckoo
Sula sula_Red-footed Booby
Fregata ariel_Lesser Frigatebird
Calidris ruficollis_Red-necked Stint
Eurystomus orientalis_Dollarbird
Pandion haliaetus_Osprey
Sterna sumatrana_Black-naped Tern
Onychoprion fuscatus_Sooty Tern
Anous minutus_Black Noddy
Stercorarius parasiticus_Parasitic Jaeger
Sula leucogaster_Brown Booby
Ptilinopus superbus_Superb Fruit-Dove
Thalasseus bergii_Great Crested Tern
Arenaria interpres_Ruddy Turnstone
Phalaropus lobatus_Red-necked Phalarope
Sternula albifrons_Little Tern
Ptilinopus rivoli_White-breasted Fruit-Dove
Todiramphus sanctus_Sacred Kingfisher
Actitis hypoleucos_Common Sandpiper
Tringa brevipes_Gray-tailed Tattler
Ardenna pacifica_Wedge-tailed Shearwater
Ptilinopus solomonensis_Yellow-bibbed Fruit-Dove
Ducula pistrinaria_Island Imperial-Pigeon
Megapodius eremita_Melanesian Scrubfowl
Limosa lapponica_Bar-tailed Godwit
Sula dactylatra_Masked Booby
Phaethon lepturus_White-tailed Tropicbird
Gallirallus philippensis_Buff-banded Rail
Pluvialis fulva_Pacific Golden-Plover
Macropygia mackinlayi_Mackinlay's Cuckoo-Dove
Charadrius leschenaultii_Greater Sand-Plover
Calidris acuminata_Sharp-tailed Sandpiper
Falco peregrinus_Peregrine Falcon
Stercorarius longicaudus_Long-tailed Jaeger
Anous stolidus_Brown Noddy
Passer montanus_Eurasian Tree Sparrow
Numenius phaeopus_Whimbrel
Micropsitta finschii_Finsch's Pygmy-Parrot
Poliolimnas cinereus_White-browed Crake
Egretta sacra_Pacific Reef-Heron
Caprimulgus macrurus_Large-tailed Nightjar
Gygis alba_White Tern
Charadrius dubius_Little Ringed Plover
Pseudeos cardinalis_Cardinal Lory
Columba vitiensis_Metallic Pigeon
Eudynamys orientalis_Pacific Koel
Coracina lineata_Barred Cuckooshrike
Pluvialis squatarola_Black-bellied Plover
Coracina papuensis_White-bellied Cuckooshrike
Acrocephalus australis_Australian Reed Warbler
Tringa stagnatilis_Marsh Sandpiper
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Xenus cinereus_Terek Sandpiper
Tachybaptus ruficollis_Little Grebe
Cisticola exilis_Golden-headed Cisticola
Saxicola caprata_Pied Bushchat
Geoffroyus heteroclitus_Singing Parrot
Ducula pacifica_Pacific Imperial-Pigeon
Amaurornis moluccana_Pale-vented Bush-hen
Calidris ferruginea_Curlew Sandpiper
Zoothera heinei_Russet-tailed Thrush
Edolisoma tenuirostre_Common Cicadabird
Ardenna tenuirostris_Short-tailed Shearwater
Ducula rubricera_Red-knobbed Imperial-Pigeon
Mino kreffti_Long-tailed Myna
Todiramphus tristrami_Melanesian Kingfisher
Ardenna carneipes_Flesh-footed Shearwater
Stercorarius pomarinus_Pomarine Jaeger
Lalage leucomela_Varied Triller
Cincloramphus macrurus_Papuan Grassbird
Coracina novaehollandiae_Black-faced Cuckooshrike
Turdus poliocephalus_Island Thrush
Erythrura trichroa_Blue-faced Parrotfinch
Todiramphus macleayii_Forest Kingfisher
Carterornis chrysomela_Golden Monarch
Numenius minutus_Little Curlew
Sterna dougallii_Roseate Tern
Cuculus optatus_Oriental Cuckoo
Ardea alba_Great Egret
Bubulcus ibis_Cattle Egret
Egretta garzetta_Little Egret
Tringa incana_Wandering Tattler
Gallus gallus_Red Junglefowl
Tringa nebularia_Common Greenshank
Acridotheres tristis_Common Myna
Thalasseus bengalensis_Lesser Crested Tern
Calidris alba_Sanderling
Chlidonias hybrida_Whiskered Tern
Rhipidura rufifrons_Rufous Fantail
Pelecanus conspicillatus_Australian Pelican
Limosa limosa_Black-tailed Godwit
Tringa glareola_Wood Sandpiper
Chlidonias leucopterus_White-winged Tern
Ardea intermedia_Intermediate Egret
Onychoprion lunatus_Gray-backed Tern
Pachycephala orioloides_Oriole Whistler
Petroica pusilla_Pacific Robin
Aplonis grandis_Brown-winged Starling
Puffinus bailloni_Tropical Shearwater
Himantopus leucocephalus_Pied Stilt
Dicaeum aeneum_Midget Flowerpecker
Cacatua ducorpsii_Ducorps's Cockatoo
