Crinifer piscator_Western Plantain-eater
Pycnonotus barbatus_Common Bulbul
Hypergerus atriceps_Oriole Warbler
Hedydipna platura_Pygmy Sunbird
Turdoides reinwardtii_Blackcap Babbler
Gymnobucco calvus_Naked-faced Barbet
Cinnyris coccinigastrus_Splendid Sunbird
Illadopsis cleaveri_Blackcap Illadopsis
Spermophaga haematina_Western Bluebill
Tauraco macrorhynchus_Yellow-billed Turaco
Emberiza cabanisi_Cabanis's Bunting
Bostrychia hagedash_Hadada Ibis
Streptopelia semitorquata_Red-eyed Dove
Caprimulgus climacurus_Long-tailed Nightjar
Sylvietta virens_Green Crombec
Tauraco persa_Guinea Turaco
Thescelocichla leucopleura_Swamp Greenbul
Malimbus nitens_Blue-billed Malimbe
Pternistis bicalcaratus_Double-spurred Francolin
Oriolus nigripennis_Black-winged Oriole
Pogoniulus scolopaceus_Speckled Tinkerbird
Eremomela pusilla_Senegal Eremomela
Centropus leucogaster_Black-throated Coucal
Lybius vieilloti_Vieillot's Barbet
Turtur brehmeri_Blue-headed Wood-Dove
Camaroptera superciliaris_Yellow-browed Camaroptera
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Smithornis rufolateralis_Rufous-sided Broadbill
Crithagra mozambica_Yellow-fronted Canary
Stiphrornis erythrothorax_Forest Robin
Buccanodon duchaillui_Yellow-spotted Barbet
Bias musicus_Black-and-white Shrike-flycatcher
Hylia prasina_Green Hylia
Halcyon malimbica_Blue-breasted Kingfisher
Lamprotornis splendidus_Splendid Starling
Psittacus erithacus_Gray Parrot
Spermestes cucullata_Bronze Mannikin
Corythaeola cristata_Great Blue Turaco
Urotriorchis macrourus_Long-tailed Hawk
Laniarius barbarus_Yellow-crowned Gonolek
Eurillas virens_Little Greenbul
Apalis sharpii_Sharpe's Apalis
Criniger barbatus_Western Bearded-Greenbul
Corvus albus_Pied Crow
Macrosphenus concolor_Gray Longbill
Dicrurus atripennis_Shining Drongo
Cypsiurus parvus_African Palm-Swift
Bleda canicapillus_Gray-headed Bristlebill
Nicator chloris_Western Nicator
Macrosphenus kempi_Kemp's Longbill
Bycanistes fistulator_Piping Hornbill
