Pycnonotus barbatus_Common Bulbul
Alethe diademata_White-tailed Alethe
Crinifer piscator_Western Plantain-eater
Spermophaga haematina_Western Bluebill
Malimbus nitens_Blue-billed Malimbe
Bleda canicapillus_Gray-headed Bristlebill
Pternistis ahantensis_Ahanta Francolin
Hypergerus atriceps_Oriole Warbler
Hedydipna platura_Pygmy Sunbird
Thescelocichla leucopleura_Swamp Greenbul
Laniarius barbarus_Yellow-crowned Gonolek
Illadopsis puveli_Puvel's Illadopsis
Turdoides reinwardtii_Blackcap Babbler
Prinia erythroptera_Red-winged Prinia
Lamprotornis splendidus_Splendid Starling
Cinnyris coccinigastrus_Splendid Sunbird
Pternistis bicalcaratus_Double-spurred Francolin
Bostrychia hagedash_Hadada Ibis
Streptopelia semitorquata_Red-eyed Dove
Ceuthmochares aereus_Blue Malkoha
Eurillas virens_Little Greenbul
Bycanistes fistulator_Piping Hornbill
Lamprotornis caudatus_Long-tailed Glossy Starling
Tauraco persa_Guinea Turaco
Eremomela pusilla_Senegal Eremomela
Lybius vieilloti_Vieillot's Barbet
Bubulcus ibis_Cattle Egret
Turtur brehmeri_Blue-headed Wood-Dove
Cinnyris chloropygius_Olive-bellied Sunbird
Hylia prasina_Green Hylia
Crithagra mozambica_Yellow-fronted Canary
Criniger calurus_Red-tailed Greenbul
Caprimulgus climacurus_Long-tailed Nightjar
Cuculus solitarius_Red-chested Cuckoo
Poicephalus senegalus_Senegal Parrot
Streptopelia senegalensis_Laughing Dove
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Ardea alba_Great Egret
Nicator chloris_Western Nicator
Butorides striata_Striated Heron
Dicrurus divaricatus_Glossy-backed Drongo
Halcyon malimbica_Blue-breasted Kingfisher
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Sarothrura pulchra_White-spotted Flufftail
Apalis sharpii_Sharpe's Apalis
Spermestes cucullata_Bronze Mannikin
Corythaeola cristata_Great Blue Turaco
Bias musicus_Black-and-white Shrike-flycatcher
Centropus senegalensis_Senegal Coucal
Coracias abyssinicus_Abyssinian Roller
Vanellus senegallus_Wattled Lapwing
Corvus albus_Pied Crow
Criniger barbatus_Western Bearded-Greenbul
Cecropis abyssinica_Lesser Striped Swallow
Gymnobucco calvus_Naked-faced Barbet
Lagonosticta senegala_Red-billed Firefinch
Neocossyphus finschi_Finsch's Flycatcher-Thrush
Tauraco macrorhynchus_Yellow-billed Turaco
Hedydipna collaris_Collared Sunbird
Macrosphenus kempi_Kemp's Longbill
Chlorocichla simplex_Simple Greenbul
Sylvietta virens_Green Crombec
Stelgidillas gracilirostris_Slender-billed Greenbul
Lophoceros fasciatus_African Pied Hornbill
Ploceus cucullatus_Village Weaver
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Cyanomitra olivacea_Olive Sunbird
Cypsiurus parvus_African Palm-Swift
Passer griseus_Northern Gray-headed Sparrow
Strix woodfordii_African Wood-Owl
Phoenicopterus roseus_Greater Flamingo
Haematopus ostralegus_Eurasian Oystercatcher
Merops persicus_Blue-cheeked Bee-eater
Cinnyris venustus_Variable Sunbird
Bubalornis albirostris_White-billed Buffalo-Weaver
Hirundo rustica_Barn Swallow
Phoeniconaias minor_Lesser Flamingo
Halcyon senegalensis_Woodland Kingfisher
Lamprotornis chloropterus_Lesser Blue-eared Starling
Treron calvus_African Green-Pigeon
Burhinus senegalensis_Senegal Thick-knee
Platysteira blissetti_Red-cheeked Wattle-eye
Elminia longicauda_African Blue Flycatcher
Vidua macroura_Pin-tailed Whydah
Caprimulgus natalensis_Swamp Nightjar
Pachyphantes superciliosus_Compact Weaver
Pogoniulus atroflavus_Red-rumped Tinkerbird
Corythornis cristatus_Malachite Kingfisher
Chrysococcyx caprius_Dideric Cuckoo
Cinnyris cupreus_Copper Sunbird
Turtur afer_Blue-spotted Wood-Dove
Accipiter melanoleucus_Black Goshawk
Tchagra senegalus_Black-crowned Tchagra
Anthus leucophrys_Plain-backed Pipit
Thalasseus sandvicensis_Sandwich Tern
Otus senegalensis_African Scops-Owl
Tringa totanus_Common Redshank
Streptopelia vinacea_Vinaceous Dove
Prinia subflava_Tawny-flanked Prinia
Chalcomitra senegalensis_Scarlet-chested Sunbird
Ploceus nigerrimus_Vieillot's Weaver
Camaroptera brachyura_Green-backed Camaroptera
Polyboroides typus_African Harrier-Hawk
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Scopus umbretta_Hamerkop
Lophoceros nasutus_African Gray Hornbill
Tricholaema hirsuta_Hairy-breasted Barbet
Actophilornis africanus_African Jacana
Illadopsis fulvescens_Brown Illadopsis
Smithornis rufolateralis_Rufous-sided Broadbill
Terpsiphone viridis_African Paradise-Flycatcher
Buphagus africanus_Yellow-billed Oxpecker
