Setophaga petechia_Yellow Warbler
Pelecanus occidentalis_Brown Pelican
Sula nebouxii_Blue-footed Booby
Fregata magnificens_Magnificent Frigatebird
Anous stolidus_Brown Noddy
Tringa incana_Wandering Tattler
Butorides striata_Striated Heron
Haematopus palliatus_American Oystercatcher
Ardea herodias_Great Blue Heron
Numenius phaeopus_Whimbrel
Pterodroma phaeopygia_Galapagos Petrel
Fregata minor_Great Frigatebird
Arenaria interpres_Ruddy Turnstone
Phalaropus lobatus_Red-necked Phalarope
Charadrius semipalmatus_Semipalmated Plover
Creagrus furcatus_Swallow-tailed Gull
Crotophaga ani_Smooth-billed Ani
Hydrobates castro_Band-rumped Storm-Petrel
Bubulcus ibis_Cattle Egret
Gallinula galeata_Common Gallinule
Phoenicopterus ruber_American Flamingo
Coccyzus melacoryphus_Dark-billed Cuckoo
Nyctanassa violacea_Yellow-crowned Night-Heron
Phaethon aethereus_Red-billed Tropicbird
Himantopus mexicanus_Black-necked Stilt
Leucophaeus pipixcan_Franklin's Gull
Calidris minutilla_Least Sandpiper
Leucophaeus atricilla_Laughing Gull
Calidris alba_Sanderling
Ardea alba_Great Egret
Pluvialis squatarola_Black-bellied Plover
Spatula discors_Blue-winged Teal
Phalaropus fulicarius_Red Phalarope
Actitis macularius_Spotted Sandpiper
Thalasseus maximus_Royal Tern
Tringa semipalmata_Willet
Tyto alba_Barn Owl
Tringa flavipes_Lesser Yellowlegs
Phalaropus tricolor_Wilson's Phalarope
Myiozetetes similis_Social Flycatcher
Hirundo rustica_Barn Swallow
Egretta thula_Snowy Egret
Cathartes aura_Turkey Vulture
Tringa melanoleuca_Greater Yellowlegs
Podilymbus podiceps_Pied-billed Grebe
Quiscalus mexicanus_Great-tailed Grackle
Piranga rubra_Summer Tanager
Sterna hirundo_Common Tern
Ardenna grisea_Sooty Shearwater
Pandion haliaetus_Osprey
Nycticorax nycticorax_Black-crowned Night-Heron
Calidris pusilla_Semipalmated Sandpiper
Myiarchus tuberculifer_Dusky-capped Flycatcher
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Piaya cayana_Squirrel Cuckoo
