Pitangus sulphuratus_Great Kiskadee
Fregata magnificens_Magnificent Frigatebird
Tyrannus melancholicus_Tropical Kingbird
Coragyps atratus_Black Vulture
Ardea alba_Great Egret
Turdus leucomelas_Pale-breasted Thrush
Columbina talpacoti_Ruddy Ground Dove
Progne chalybea_Gray-breasted Martin
Bubulcus ibis_Cattle Egret
Troglodytes aedon_House Wren
Jacana jacana_Wattled Jacana
Crotophaga ani_Smooth-billed Ani
Volatinia jacarina_Blue-black Grassquit
Cathartes aura_Turkey Vulture
Thraupis palmarum_Palm Tanager
Polioptila plumbea_Tropical Gnatcatcher
Egretta thula_Snowy Egret
Coereba flaveola_Bananaquit
Tachycineta albiventer_White-winged Swallow
Arenaria interpres_Ruddy Turnstone
Guira guira_Guira Cuckoo
Cacicus solitarius_Solitary Black Cacique
Rupornis magnirostris_Roadside Hawk
Poecilotriccus fumifrons_Smoky-fronted Tody-Flycatcher
Tachornis squamata_Fork-tailed Palm-Swift
Myiozetetes similis_Social Flycatcher
Estrilda astrild_Common Waxbill
Passer domesticus_House Sparrow
Dendroplex picus_Straight-billed Woodcreeper
Psarocolius decumanus_Crested Oropendola
Megarynchus pitangua_Boat-billed Flycatcher
Leucophaeus atricilla_Laughing Gull
Eupsittula cactorum_Cactus Parakeet
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Caracara plancus_Crested Caracara
Sternula superciliaris_Yellow-billed Tern
Milvago chimachima_Yellow-headed Caracara
Crotophaga major_Greater Ani
Leptotila verreauxi_White-tipped Dove
Phaeomyias murina_Mouse-colored Tyrannulet
Euphonia chlorotica_Purple-throated Euphonia
Nothura boraquira_White-bellied Nothura
Megaceryle torquata_Ringed Kingfisher
Cyclarhis gujanensis_Rufous-browed Peppershrike
Synallaxis hellmayri_Red-shouldered Spinetail
Piaya cayana_Squirrel Cuckoo
Egretta caerulea_Little Blue Heron
Arremon taciturnus_Pectoral Sparrow
Mimus gilvus_Tropical Mockingbird
Chrysomus ruficapillus_Chestnut-capped Blackbird
Egretta tricolor_Tricolored Heron
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Progne tapera_Brown-chested Martin
Calidris pusilla_Semipalmated Sandpiper
Tachyphonus rufus_White-lined Tanager
Stilpnia cayana_Burnished-buff Tanager
Eupetomena macroura_Swallow-tailed Hummingbird
Rynchops niger_Black Skimmer
Elaenia flavogaster_Yellow-bellied Elaenia
Dryobates passerinus_Little Woodpecker
Phaetusa simplex_Large-billed Tern
Sternula antillarum_Least Tern
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Taraba major_Great Antshrike
Formicivora grisea_White-fringed Antwren
Crypturellus parvirostris_Small-billed Tinamou
Columbina passerina_Common Ground Dove
Turdus rufiventris_Rufous-bellied Thrush
Cacicus cela_Yellow-rumped Cacique
Columbina picui_Picui Ground Dove
Tringa semipalmata_Willet
Rostrhamus sociabilis_Snail Kite
Fluvicola nengeta_Masked Water-Tyrant
Tapera naevia_Striped Cuckoo
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Todirostrum cinereum_Common Tody-Flycatcher
Calidris alba_Sanderling
Zonotrichia capensis_Rufous-collared Sparrow
Mimus saturninus_Chalk-browed Mockingbird
Paroaria dominicana_Red-cowled Cardinal
Sporophila nigricollis_Yellow-bellied Seedeater
Icterus jamacaii_Campo Troupial
Chordeiles acutipennis_Lesser Nighthawk
Arundinicola leucocephala_White-headed Marsh Tyrant
Thamnophilus pelzelni_Planalto Slaty-Antshrike
Platalea ajaja_Roseate Spoonbill
Myiozetetes cayanensis_Rusty-margined Flycatcher
Ramphocelus carbo_Silver-beaked Tanager
Charadrius semipalmatus_Semipalmated Plover
Vanellus chilensis_Southern Lapwing
Harpagus diodon_Rufous-thighed Kite
Thamnophilus doliatus_Barred Antshrike
Porphyrio martinica_Purple Gallinule
Vanellus cayanus_Pied Lapwing
Calidris minutilla_Least Sandpiper
Chionomesa fimbriata_Glittering-throated Emerald
Chlorostilbon lucidus_Glittering-bellied Emerald
Buteogallus meridionalis_Savanna Hawk
Icterus pyrrhopterus_Variable Oriole
Columbina minuta_Plain-breasted Ground Dove
Schistochlamys melanopis_Black-faced Tanager
Selenidera gouldii_Gould's Toucanet
Glaucis hirsutus_Rufous-breasted Hermit
Myiarchus ferox_Short-crested Flycatcher
Herpsilochmus atricapillus_Black-capped Antwren
Himantopus mexicanus_Black-necked Stilt
Neopelma pallescens_Pale-bellied Tyrant-Manakin
Chordeiles pusillus_Least Nighthawk
Nystalus maculatus_Spot-backed Puffbird
Molothrus bonariensis_Shiny Cowbird
Pipra fasciicauda_Band-tailed Manakin
Thraupis sayaca_Sayaca Tanager
Herpsilochmus sellowi_Caatinga Antwren
Tigrisoma lineatum_Rufescent Tiger-Heron
Hemitriccus striaticollis_Stripe-necked Tody-Tyrant
Charadrius collaris_Collared Plover
Gallinago paraguaiae_Paraguayan Snipe
Tringa melanoleuca_Greater Yellowlegs
Furnarius leucopus_Pale-legged Hornero
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Hylophilus amaurocephalus_Gray-eyed Greenlet
Herpetotheres cachinnans_Laughing Falcon
Nengetus cinereus_Gray Monjita
Chiroxiphia pareola_Blue-backed Manakin
Falco rufigularis_Bat Falcon
Leistes superciliaris_White-browed Meadowlark
Aramus guarauna_Limpkin
Pachyramphus polychopterus_White-winged Becard
Nyctidromus albicollis_Common Pauraque
Pandion haliaetus_Osprey
Leptodon cayanensis_Gray-headed Kite
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Sterna hirundo_Common Tern
Molothrus oryzivorus_Giant Cowbird
Cyanocorax cyanopogon_White-naped Jay
Limnodromus griseus_Short-billed Dowitcher
Empidonomus varius_Variegated Flycatcher
Conirostrum speciosum_Chestnut-vented Conebill
Furnarius figulus_Wing-banded Hornero
Synallaxis albescens_Pale-breasted Spinetail
Trogon curucui_Blue-crowned Trogon
Tachybaptus dominicus_Least Grebe
Gnorimopsar chopi_Chopi Blackbird
Serpophaga subcristata_White-crested Tyrannulet
Cantorchilus longirostris_Long-billed Wren
Geranoaetus albicaudatus_White-tailed Hawk
Dacnis cayana_Blue Dacnis
Aramides cajaneus_Gray-cowled Wood-Rail
Conirostrum bicolor_Bicolored Conebill
Phaethornis pretrei_Planalto Hermit
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Phaethornis ruber_Reddish Hermit
Formicivora rufa_Rusty-backed Antwren
Buteo nitidus_Gray-lined Hawk
Numenius phaeopus_Whimbrel
Nannopterum brasilianum_Neotropic Cormorant
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Cairina moschata_Muscovy Duck
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Piranga flava_Hepatic Tanager
Tringa solitaria_Solitary Sandpiper
Chrysuronia versicolor_Versicolored Emerald
Antrostomus rufus_Rufous Nightjar
Colaptes melanochloros_Green-barred Woodpecker
Saltatricula atricollis_Black-throated Saltator
Elaenia spectabilis_Large Elaenia
Compsothraupis loricata_Scarlet-throated Tanager
Myiarchus swainsoni_Swainson's Flycatcher
Gampsonyx swainsonii_Pearl Kite
Primolius maracana_Blue-winged Macaw
Chlorestes cyanus_White-chinned Sapphire
Megascops choliba_Tropical Screech-Owl
Melanerpes candidus_White Woodpecker
Chloroceryle amazona_Amazon Kingfisher
Nyctibius griseus_Common Potoo
Theristicus caudatus_Buff-necked Ibis
Tyto alba_Barn Owl
Chlorestes notata_Blue-chinned Sapphire
Campephilus melanoleucos_Crimson-crested Woodpecker
Neothraupis fasciata_White-banded Tanager
Amazonetta brasiliensis_Brazilian Teal
