Himatione sanguinea_Apapane
Chlorodrepanis virens_Hawaii Amakihi
Zosterops japonicus_Warbling White-eye
Anous minutus_Black Noddy
Branta sandvicensis_Hawaiian Goose
Haemorhous mexicanus_House Finch
Cardinalis cardinalis_Northern Cardinal
Myadestes obscurus_Omao
Acridotheres tristis_Common Myna
Pluvialis fulva_Pacific Golden-Plover
Lophura leucomelanos_Kalij Pheasant
Calidris alba_Sanderling
Arenaria interpres_Ruddy Turnstone
Phaethon lepturus_White-tailed Tropicbird
Passer domesticus_House Sparrow
Sula sula_Red-footed Booby
Streptopelia chinensis_Spotted Dove
Ardenna grisea_Sooty Shearwater
Crithagra mozambica_Yellow-fronted Canary
Ardenna pacifica_Wedge-tailed Shearwater
Sula dactylatra_Masked Booby
Tringa incana_Wandering Tattler
Sula leucogaster_Brown Booby
Geopelia striata_Zebra Dove
Chasiempis sandwichensis_Hawaii Elepaio
Buteo solitarius_Hawaiian Hawk
Pternistis erckelii_Erckel's Francolin
Numenius phaeopus_Whimbrel
Calidris melanotos_Pectoral Sandpiper
Pluvialis squatarola_Black-bellied Plover
Falco peregrinus_Peregrine Falcon
Garrulax canorus_Chinese Hwamei
Tyto alba_Barn Owl
Callipepla californica_California Quail
Leiothrix lutea_Red-billed Leiothrix
Horornis diphone_Japanese Bush Warbler
Bubulcus ibis_Cattle Egret
Sturnella neglecta_Western Meadowlark
Fregata minor_Great Frigatebird
Stercorarius pomarinus_Pomarine Jaeger
Anas acuta_Northern Pintail
Onychoprion fuscatus_Sooty Tern
Pterodroma cookii_Cook's Petrel
Ardenna tenuirostris_Short-tailed Shearwater
Sterna hirundo_Common Tern
Anas crecca_Green-winged Teal
Limnodromus scolopaceus_Long-billed Dowitcher
Mimus polyglottos_Northern Mockingbird
Numenius tahitiensis_Bristle-thighed Curlew
Phaethon rubricauda_Red-tailed Tropicbird
Drepanis coccinea_Iiwi
Anthus rubescens_American Pipit
Pyrocephalus rubinus_Vermilion Flycatcher
Nycticorax nycticorax_Black-crowned Night-Heron
Lonchura punctulata_Scaly-breasted Munia
Ardenna creatopus_Pink-footed Shearwater
Mareca americana_American Wigeon
Melospiza lincolnii_Lincoln's Sparrow
Bulweria bulwerii_Bulwer's Petrel
Hydrobates leucorhous_Leach's Storm-Petrel
Stercorarius parasiticus_Parasitic Jaeger
Stercorarius longicaudus_Long-tailed Jaeger
Phaethon aethereus_Red-billed Tropicbird
