Pycnonotus barbatus_Common Bulbul
Streptopelia semitorquata_Red-eyed Dove
Corvus albus_Pied Crow
Caprimulgus climacurus_Long-tailed Nightjar
Dicrurus divaricatus_Glossy-backed Drongo
Streptopelia senegalensis_Laughing Dove
Colius striatus_Speckled Mousebird
Camaroptera brachyura_Green-backed Camaroptera
Gymnoris dentata_Sahel Bush Sparrow
Lagonosticta senegala_Red-billed Firefinch
Columba guinea_Speckled Pigeon
Plocepasser superciliosus_Chestnut-crowned Sparrow-Weaver
Prinia subflava_Tawny-flanked Prinia
Scopus umbretta_Hamerkop
Streptopelia capicola_Ring-necked Dove
Passer swainsonii_Swainson's Sparrow
Bostrychia hagedash_Hadada Ibis
Coracias abyssinicus_Abyssinian Roller
Ptilopsis leucotis_Northern White-faced Owl
Chalcomitra senegalensis_Scarlet-chested Sunbird
Cecropis abyssinica_Lesser Striped Swallow
Poicephalus meyeri_Meyer's Parrot
Ardea melanocephala_Black-headed Heron
Halcyon senegalensis_Woodland Kingfisher
Centropus superciliosus_White-browed Coucal
Cypsiurus parvus_African Palm-Swift
Numida meleagris_Helmeted Guineafowl
Uraeginthus bengalus_Red-cheeked Cordonbleu
Cinnyris venustus_Variable Sunbird
Bubalornis albirostris_White-billed Buffalo-Weaver
Streptopelia decipiens_Mourning Collared-Dove
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Centropus senegalensis_Senegal Coucal
Crithagra mozambica_Yellow-fronted Canary
Merops variegatus_Blue-breasted Bee-eater
Eupodotis senegalensis_White-bellied Bustard
Buphagus erythrorynchus_Red-billed Oxpecker
Lamprotornis chloropterus_Lesser Blue-eared Starling
Haliaeetus vocifer_African Fish-Eagle
Buteo augur_Augur Buzzard
Spiloptila clamans_Cricket Longtail
Coracina pectoralis_White-breasted Cuckooshrike
Lamprotornis caudatus_Long-tailed Glossy Starling
Turdoides plebejus_Brown Babbler
Merops pusillus_Little Bee-eater
Saxicola torquatus_African Stonechat
Cinnyris cupreus_Copper Sunbird
Cuculus solitarius_Red-chested Cuckoo
Merops orientalis_Green Bee-eater
Quelea quelea_Red-billed Quelea
Chrysococcyx caprius_Dideric Cuckoo
Spermestes cucullata_Bronze Mannikin
Motacilla aguimp_African Pied Wagtail
Turdus pelios_African Thrush
Sylvia atricapilla_Eurasian Blackcap
Passer griseus_Northern Gray-headed Sparrow
Passer simplex_Desert Sparrow
Creatophora cinerea_Wattled Starling
Lamprotornis chalybaeus_Greater Blue-eared Starling
Charadrius tricollaris_Three-banded Plover
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Ploceus cucullatus_Village Weaver
Leptoptilos crumenifer_Marabou Stork
Emberiza tahapisi_Cinnamon-breasted Bunting
Apaloderma narina_Narina Trogon
Burhinus senegalensis_Senegal Thick-knee
Vanellus senegallus_Wattled Lapwing
Lamprotornis purpuroptera_Rüppell's Starling
Cisticola aridulus_Desert Cisticola
Cisticola erythrops_Red-faced Cisticola
Lophoceros nasutus_African Gray Hornbill
Otus senegalensis_African Scops-Owl
Phoeniculus purpureus_Green Woodhoopoe
Vanellus tectus_Black-headed Lapwing
Pytilia melba_Green-winged Pytilia
Tchagra senegalus_Black-crowned Tchagra
Glaucidium perlatum_Pearl-spotted Owlet
Cossypha heuglini_White-browed Robin-Chat
Centropus monachus_Blue-headed Coucal
