Coereba flaveola_Bananaquit
Mimus gilvus_Tropical Mockingbird
Fregata magnificens_Magnificent Frigatebird
Tyrannus melancholicus_Tropical Kingbird
Columbina talpacoti_Ruddy Ground Dove
Pitangus sulphuratus_Great Kiskadee
Thraupis episcopus_Blue-gray Tanager
Progne chalybea_Gray-breasted Martin
Thraupis palmarum_Palm Tanager
Crotophaga ani_Smooth-billed Ani
Egretta caerulea_Little Blue Heron
Coragyps atratus_Black Vulture
Quiscalus lugubris_Carib Grackle
Volatinia jacarina_Blue-black Grassquit
Psarocolius decumanus_Crested Oropendola
Turdus nudigenis_Spectacled Thrush
Troglodytes aedon_House Wren
Todirostrum maculatum_Spotted Tody-Flycatcher
Bubulcus ibis_Cattle Egret
Jacana jacana_Wattled Jacana
Actitis macularius_Spotted Sandpiper
Amazona amazonica_Orange-winged Parrot
Chaetura brachyura_Short-tailed Swift
Egretta thula_Snowy Egret
Patagioenas cayennensis_Pale-vented Pigeon
Thamnophilus doliatus_Barred Antshrike
Tyrannus dominicensis_Gray Kingbird
Butorides striata_Striated Heron
Turdus leucomelas_Pale-breasted Thrush
Arenaria interpres_Ruddy Turnstone
Columbina passerina_Common Ground Dove
Tachycineta albiventer_White-winged Swallow
Myiozetetes cayanensis_Rusty-margined Flycatcher
Charadrius semipalmatus_Semipalmated Plover
Calidris pusilla_Semipalmated Sandpiper
Milvago chimachima_Yellow-headed Caracara
Elaenia flavogaster_Yellow-bellied Elaenia
Ramphocelus carbo_Silver-beaked Tanager
Leucophaeus atricilla_Laughing Gull
Cathartes aura_Turkey Vulture
Ardea alba_Great Egret
Egretta tricolor_Tricolored Heron
Molothrus bonariensis_Shiny Cowbird
Thalasseus maximus_Royal Tern
Leptotila verreauxi_White-tipped Dove
Tringa melanoleuca_Greater Yellowlegs
Setophaga petechia_Yellow Warbler
Euphonia violacea_Violaceous Euphonia
Tringa flavipes_Lesser Yellowlegs
Hirundo rustica_Barn Swallow
Phaeomyias murina_Mouse-colored Tyrannulet
Nyctanassa violacea_Yellow-crowned Night-Heron
Tringa solitaria_Solitary Sandpiper
Fluvicola pica_Pied Water-Tyrant
Rynchops niger_Black Skimmer
Chrysomus icterocephalus_Yellow-hooded Blackbird
Megarynchus pitangua_Boat-billed Flycatcher
Eupsittula pertinax_Brown-throated Parakeet
Florisuga mellivora_White-necked Jacobin
Megaceryle torquata_Ringed Kingfisher
Leistes militaris_Red-breasted Meadowlark
Pandion haliaetus_Osprey
Tachyphonus rufus_White-lined Tanager
Tangara mexicana_Turquoise Tanager
Calidris minutilla_Least Sandpiper
Molothrus oryzivorus_Giant Cowbird
Ramphastos vitellinus_Channel-billed Toucan
Sakesphorus canadensis_Black-crested Antshrike
Calidris alba_Sanderling
Crotophaga major_Greater Ani
Porphyrio martinica_Purple Gallinule
Numenius phaeopus_Whimbrel
Chlorophanes spiza_Green Honeycreeper
Dendroplex picus_Straight-billed Woodcreeper
Pluvialis squatarola_Black-bellied Plover
Tyrannus savana_Fork-tailed Flycatcher
Dryocopus lineatus_Lineated Woodpecker
Galbula galbula_Green-tailed Jacamar
Turdus fumigatus_Cocoa Thrush
Conirostrum bicolor_Bicolored Conebill
Hylophilus pectoralis_Ashy-headed Greenlet
Anthracothorax nigricollis_Black-throated Mango
Sternula superciliaris_Yellow-billed Tern
Buteo nitidus_Gray-lined Hawk
Tapera naevia_Striped Cuckoo
Nycticorax nycticorax_Black-crowned Night-Heron
Glaucis hirsutus_Rufous-breasted Hermit
Zenaida auriculata_Eared Dove
Arundinicola leucocephala_White-headed Marsh Tyrant
Charadrius collaris_Collared Plover
Progne tapera_Brown-chested Martin
Rupornis magnirostris_Roadside Hawk
Gallinula galeata_Common Gallinule
Legatus leucophaius_Piratic Flycatcher
Coccyzus minor_Mangrove Cuckoo
Geothlypis aequinoctialis_Masked Yellowthroat
Coccycua minuta_Little Cuckoo
Sternula antillarum_Least Tern
Limnodromus griseus_Short-billed Dowitcher
Buteo albonotatus_Zone-tailed Hawk
Forpus passerinus_Green-rumped Parrotlet
Anurolimnas viridis_Russet-crowned Crake
Attila cinnamomeus_Cinnamon Attila
Cyanerpes caeruleus_Purple Honeycreeper
Sporophila minuta_Ruddy-breasted Seedeater
Anous stolidus_Brown Noddy
Attila spadiceus_Bright-rumped Attila
Laterallus exilis_Gray-breasted Crake
Charadrius wilsonia_Wilson's Plover
Ceratopipra erythrocephala_Golden-headed Manakin
Chloroceryle americana_Green Kingfisher
Chloroceryle aenea_American Pygmy Kingfisher
Orthopsittaca manilatus_Red-bellied Macaw
Polioptila plumbea_Tropical Gnatcatcher
Patagioenas speciosa_Scaled Pigeon
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Onychorhynchus coronatus_Royal Flycatcher
Icterus nigrogularis_Yellow Oriole
Formicivora grisea_White-fringed Antwren
Calidris fuscicollis_White-rumped Sandpiper
Onychoprion fuscatus_Sooty Tern
Sterna hirundo_Common Tern
Tyrannulus elatus_Yellow-crowned Tyrannulet
Leptotila rufaxilla_Gray-fronted Dove
Loriotus luctuosus_White-shouldered Tanager
Pelecanus occidentalis_Brown Pelican
Pseudastur albicollis_White Hawk
Buteogallus meridionalis_Savanna Hawk
Tolmomyias poliocephalus_Gray-crowned Flycatcher
Busarellus nigricollis_Black-collared Hawk
Crypturellus soui_Little Tinamou
Cacicus cela_Yellow-rumped Cacique
Tringa semipalmata_Willet
Calidris mauri_Western Sandpiper
Trogon viridis_Green-backed Trogon
Himantopus mexicanus_Black-necked Stilt
Ictinia plumbea_Plumbeous Kite
Ardea cocoi_Cocoi Heron
Chlorestes notata_Blue-chinned Sapphire
Falco peregrinus_Peregrine Falcon
Spizaetus ornatus_Ornate Hawk-Eagle
Falco rufigularis_Bat Falcon
Circus buffoni_Long-winged Harrier
Chordeiles acutipennis_Lesser Nighthawk
Tyrannopsis sulphurea_Sulphury Flycatcher
Myiodynastes maculatus_Streaked Flycatcher
Sula leucogaster_Brown Booby
Pachyramphus rufus_Cinereous Becard
Heliomaster longirostris_Long-billed Starthroat
Columbina minuta_Plain-breasted Ground Dove
Laniocera hypopyrra_Cinereous Mourner
Mionectes oleagineus_Ochre-bellied Flycatcher
Dacnis cayana_Blue Dacnis
Cyanoloxia rothschildii_Amazonian Grosbeak
Pluvialis dominica_American Golden-Plover
Buteo brachyurus_Short-tailed Hawk
Myiornis ecaudatus_Short-tailed Pygmy-Tyrant
Leptodon cayanensis_Gray-headed Kite
Herpetotheres cachinnans_Laughing Falcon
Piculus chrysochloros_Golden-green Woodpecker
Myiopagis flavivertex_Yellow-crowned Elaenia
Dendrocincla fuliginosa_Plain-brown Woodcreeper
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Sclateria naevia_Silvered Antbird
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Myrmophylax atrothorax_Black-throated Antbird
Polytmus theresiae_Green-tailed Goldenthroat
Geranoaetus albicaudatus_White-tailed Hawk
Cyclarhis gujanensis_Rufous-browed Peppershrike
Cairina moschata_Muscovy Duck
Chaetura spinicaudus_Band-rumped Swift
Phaetusa simplex_Large-billed Tern
Turdus albicollis_White-necked Thrush
Ramphocaenus melanurus_Long-billed Gnatwren
Campephilus melanoleucos_Crimson-crested Woodpecker
Lurocalis semitorquatus_Short-tailed Nighthawk
Spatula discors_Blue-winged Teal
Rhytipterna simplex_Grayish Mourner
Conopophaga aurita_Chestnut-belted Gnateater
Ramphotrigon ruficauda_Rufous-tailed Flatbill
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Buteogallus urubitinga_Great Black Hawk
Buteo platypterus_Broad-winged Hawk
Spizaetus melanoleucus_Black-and-white Hawk-Eagle
Rallus longirostris_Mangrove Rail
Anhinga anhinga_Anhinga
Celeus elegans_Chestnut Woodpecker
Phaethornis ruber_Reddish Hermit
Nannopterum brasilianum_Neotropic Cormorant
Tityra cayana_Black-tailed Tityra
Xenops minutus_Plain Xenops
Passer domesticus_House Sparrow
Spizaetus tyrannus_Black Hawk-Eagle
Tachyphonus surinamus_Fulvous-crested Tanager
Pachyramphus marginatus_Black-capped Becard
Icterus cayanensis_Epaulet Oriole
Cyanerpes cyaneus_Red-legged Honeycreeper
Calidris melanotos_Pectoral Sandpiper
Myiarchus tyrannulus_Brown-crested Flycatcher
Myiarchus ferox_Short-crested Flycatcher
Thalurania furcata_Fork-tailed Woodnymph
Ramphastos toco_Toco Toucan
Pheugopedius coraya_Coraya Wren
Chloroceryle inda_Green-and-rufous Kingfisher
Piaya cayana_Squirrel Cuckoo
Psarocolius viridis_Green Oropendola
Trogon violaceus_Guianan Trogon
Heliothryx auritus_Black-eared Fairy
Myrmotherula axillaris_White-flanked Antwren
Celeus flavus_Cream-colored Woodpecker
Thamnophilus punctatus_Northern Slaty-Antshrike
Vanellus chilensis_Southern Lapwing
Certhiasomus stictolaemus_Spot-throated Woodcreeper
Cacicus haemorrhous_Red-rumped Cacique
Celeus torquatus_Ringed Woodpecker
Chiroxiphia pareola_Blue-backed Manakin
Tinamus major_Great Tinamou
Malacoptila fusca_White-chested Puffbird
Bucco capensis_Collared Puffbird
Podilymbus podiceps_Pied-billed Grebe
Calidris himantopus_Stilt Sandpiper
Ibycter americanus_Red-throated Caracara
Dendrocolaptes certhia_Amazonian Barred-Woodcreeper
Nyctibius griseus_Common Potoo
Setophaga striata_Blackpoll Warbler
Lophotriccus galeatus_Helmeted Pygmy-Tyrant
Formicarius colma_Rufous-capped Antthrush
Gelochelidon nilotica_Gull-billed Tern
Cercomacroides nigrescens_Blackish Antbird
Nyctipolus nigrescens_Blackish Nightjar
Piprites chloris_Wing-barred Piprites
Aramides cajaneus_Gray-cowled Wood-Rail
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Tunchiornis ochraceiceps_Tawny-crowned Greenlet
Synallaxis gujanensis_Plain-crowned Spinetail
Helicolestes hamatus_Slender-billed Kite
Chloroceryle amazona_Amazon Kingfisher
Nyctidromus albicollis_Common Pauraque
Schistochlamys melanopis_Black-faced Tanager
Harpia harpyja_Harpy Eagle
Pachyramphus minor_Pink-throated Becard
Tachornis squamata_Fork-tailed Palm-Swift
Taraba major_Great Antshrike
Heliornis fulica_Sungrebe
Caracara plancus_Crested Caracara
Ixobrychus exilis_Least Bittern
Thalasseus sandvicensis_Sandwich Tern
Vireo chivi_Chivi Vireo
Geotrygon montana_Ruddy Quail-Dove
Pachyramphus polychopterus_White-winged Becard
Tityra inquisitor_Black-crowned Tityra
Psittacara leucophthalmus_White-eyed Parakeet
Megascops choliba_Tropical Screech-Owl
Tyto alba_Barn Owl
Calidris canutus_Red Knot
Jacamerops aureus_Great Jacamar
Cnemotriccus fuscatus_Fuscous Flycatcher
Dendrocolaptes picumnus_Black-banded Woodcreeper
Donacobius atricapilla_Black-capped Donacobius
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Aramus guarauna_Limpkin
Galbula dea_Paradise Jacamar
Corythopis torquatus_Ringed Antpipit
Pseudopipra pipra_White-crowned Manakin
Falco columbarius_Merlin
Cercomacroides tyrannina_Dusky Antbird
Loriotus cristatus_Flame-crested Tanager
Chlorestes cyanus_White-chinned Sapphire
Synallaxis albescens_Pale-breasted Spinetail
Nyctibius grandis_Great Potoo
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Pionites melanocephalus_Black-headed Parrot
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Myiopagis gaimardii_Forest Elaenia
Crypturellus variegatus_Variegated Tinamou
Formicarius analis_Black-faced Antthrush
Cercomacra cinerascens_Gray Antbird
Ornithion inerme_White-lored Tyrannulet
Tangara velia_Opal-rumped Tanager
