Pelecanus occidentalis_Brown Pelican
Tyrannus dominicensis_Gray Kingbird
Ardea alba_Great Egret
Egretta thula_Snowy Egret
Fregata magnificens_Magnificent Frigatebird
Crotophaga ani_Smooth-billed Ani
Eupsittula pertinax_Brown-throated Parakeet
Quiscalus lugubris_Carib Grackle
Hirundo rustica_Barn Swallow
Coereba flaveola_Bananaquit
Cathartes aura_Turkey Vulture
Icterus nigrogularis_Yellow Oriole
Setophaga petechia_Yellow Warbler
Columbina passerina_Common Ground Dove
Himantopus mexicanus_Black-necked Stilt
Actitis macularius_Spotted Sandpiper
Sublegatus arenarum_Northern Scrub-Flycatcher
Caracara plancus_Crested Caracara
Parkesia noveboracensis_Northern Waterthrush
Leptotila verreauxi_White-tipped Dove
Pandion haliaetus_Osprey
Tringa flavipes_Lesser Yellowlegs
Melanerpes rubricapillus_Red-crowned Woodpecker
Gallinula galeata_Common Gallinule
Dendroplex picus_Straight-billed Woodcreeper
Thalasseus sandvicensis_Sandwich Tern
Thalasseus maximus_Royal Tern
Calidris minutilla_Least Sandpiper
Mimus gilvus_Tropical Mockingbird
Patagioenas corensis_Bare-eyed Pigeon
Bubulcus ibis_Cattle Egret
Columbina squammata_Scaled Dove
Charadrius semipalmatus_Semipalmated Plover
Campylorhynchus griseus_Bicolored Wren
Nannopterum brasilianum_Neotropic Cormorant
Tringa melanoleuca_Greater Yellowlegs
Setophaga ruticilla_American Redstart
Egretta caerulea_Little Blue Heron
Sakesphorus canadensis_Black-crested Antshrike
Tringa solitaria_Solitary Sandpiper
Egretta tricolor_Tricolored Heron
Hypnelus ruficollis_Russet-throated Puffbird
Calidris pusilla_Semipalmated Sandpiper
Numenius phaeopus_Whimbrel
Protonotaria citrea_Prothonotary Warbler
Milvago chimachima_Yellow-headed Caracara
Spatula discors_Blue-winged Teal
Vanellus chilensis_Southern Lapwing
Leucophaeus atricilla_Laughing Gull
Polioptila plumbea_Tropical Gnatcatcher
Eudocimus albus_White Ibis
Chlorostilbon gibsoni_Red-billed Emerald
Phoenicopterus ruber_American Flamingo
Coragyps atratus_Black Vulture
Colinus cristatus_Crested Bobwhite
Coryphospingus pileatus_Pileated Finch
Cantorchilus leucotis_Buff-breasted Wren
Mniotilta varia_Black-and-white Warbler
Machetornis rixosa_Cattle Tyrant
Burhinus bistriatus_Double-striped Thick-knee
Coccyzus americanus_Yellow-billed Cuckoo
Setophaga striata_Blackpoll Warbler
Formicivora grisea_White-fringed Antwren
Molothrus bonariensis_Shiny Cowbird
Tyrannus melancholicus_Tropical Kingbird
Melanospiza bicolor_Black-faced Grassquit
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Brotogeris jugularis_Orange-chinned Parakeet
Zenaida auriculata_Eared Dove
Furnarius leucopus_Pale-legged Hornero
Platalea ajaja_Roseate Spoonbill
Columba livia_Rock Pigeon
Ardea herodias_Great Blue Heron
Falco columbarius_Merlin
Saltator olivascens_Olivaceous Saltator
Cardinalis phoeniceus_Vermilion Cardinal
Synallaxis candei_White-whiskered Spinetail
Pluvialis squatarola_Black-bellied Plover
Egretta rufescens_Reddish Egret
Butorides striata_Striated Heron
Falco peregrinus_Peregrine Falcon
Picumnus cinnamomeus_Chestnut Piculet
Aramus guarauna_Limpkin
Gampsonyx swainsonii_Pearl Kite
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Rynchops niger_Black Skimmer
Falco sparverius_American Kestrel
Myiarchus tyrannulus_Brown-crested Flycatcher
Plegadis falcinellus_Glossy Ibis
Porphyrio martinica_Purple Gallinule
Hylophilus flavipes_Scrub Greenlet
Phaetusa simplex_Large-billed Tern
Tringa semipalmata_Willet
Saltator orenocensis_Orinocan Saltator
Inezia tenuirostris_Slender-billed Tyrannulet
Atalotriccus pilaris_Pale-eyed Pygmy-Tyrant
Nycticorax nycticorax_Black-crowned Night-Heron
Fluvicola pica_Pied Water-Tyrant
Momotus subrufescens_Whooping Motmot
Jacana jacana_Wattled Jacana
Sternula superciliaris_Yellow-billed Tern
Calidris mauri_Western Sandpiper
Charadrius collaris_Collared Plover
Hemitriccus margaritaceiventer_Pearly-vented Tody-Tyrant
Leucippus fallax_Buffy Hummingbird
Arenaria interpres_Ruddy Turnstone
Pyrocephalus rubinus_Vermilion Flycatcher
Chlorestes cyanus_White-chinned Sapphire
Chiroxiphia lanceolata_Lance-tailed Manakin
Nyctanassa violacea_Yellow-crowned Night-Heron
Tyto alba_Barn Owl
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Calidris alba_Sanderling
Inezia caudata_Pale-tipped Tyrannulet
Thectocercus acuticaudatus_Blue-crowned Parakeet
Pitangus sulphuratus_Great Kiskadee
Thamnophilus melanonotus_Black-backed Antshrike
Euphonia trinitatis_Trinidad Euphonia
Tachybaptus dominicus_Least Grebe
Ramphocelus dimidiatus_Crimson-backed Tanager
Columbina talpacoti_Ruddy Ground Dove
Limnodromus griseus_Short-billed Dowitcher
Hydroprogne caspia_Caspian Tern
Crotophaga sulcirostris_Groove-billed Ani
Sterna hirundo_Common Tern
Fulica americana_American Coot
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Butorides virescens_Green Heron
Troglodytes aedon_House Wren
Tyrannus savana_Fork-tailed Flycatcher
Pheucticus ludovicianus_Rose-breasted Grosbeak
Thraupis episcopus_Blue-gray Tanager
Sternula antillarum_Least Tern
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Cyanocorax affinis_Black-chested Jay
Progne tapera_Brown-chested Martin
Buteogallus meridionalis_Savanna Hawk
Buteo nitidus_Gray-lined Hawk
Arremonops tocuyensis_Tocuyo Sparrow
Sporophila bouvronides_Lesson's Seedeater
Piranga rubra_Summer Tanager
Ardea cocoi_Cocoi Heron
Vireo olivaceus_Red-eyed Vireo
Megaceryle torquata_Ringed Kingfisher
Myiozetetes similis_Social Flycatcher
Progne chalybea_Gray-breasted Martin
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Pluvialis dominica_American Golden-Plover
Icterus icterus_Venezuelan Troupial
Pitangus lictor_Lesser Kiskadee
Myiarchus venezuelensis_Venezuelan Flycatcher
Riparia riparia_Bank Swallow
Conirostrum bicolor_Bicolored Conebill
Forpus passerinus_Green-rumped Parrotlet
Myiodynastes maculatus_Streaked Flycatcher
Volatinia jacarina_Blue-black Grassquit
Myrmeciza longipes_White-bellied Antbird
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Megaceryle alcyon_Belted Kingfisher
Icterus auricapillus_Orange-crowned Oriole
Crotophaga major_Greater Ani
Galbula ruficauda_Rufous-tailed Jacamar
Gallinago delicata_Wilson's Snipe
Charadrius wilsonia_Wilson's Plover
Amazilia tzacatl_Rufous-tailed Hummingbird
Mycteria americana_Wood Stork
Calidris himantopus_Stilt Sandpiper
Megarynchus pitangua_Boat-billed Flycatcher
Vireo chivi_Chivi Vireo
Colaptes punctigula_Spot-breasted Woodpecker
Amazona ochrocephala_Yellow-crowned Parrot
Nemosia pileata_Hooded Tanager
Accipiter striatus_Sharp-shinned Hawk
Calidris melanotos_Pectoral Sandpiper
Leiothlypis peregrina_Tennessee Warbler
Rostrhamus sociabilis_Snail Kite
Cacicus cela_Yellow-rumped Cacique
Cnemotriccus fuscatus_Fuscous Flycatcher
Icterus galbula_Baltimore Oriole
Podilymbus podiceps_Pied-billed Grebe
Pachyramphus rufus_Cinereous Becard
Chloroceryle amazona_Amazon Kingfisher
Myiarchus panamensis_Panama Flycatcher
Tachycineta albiventer_White-winged Swallow
Ara militaris_Military Macaw
Streptoprocne zonaris_White-collared Swift
Chloroceryle americana_Green Kingfisher
Contopus virens_Eastern Wood-Pewee
Elaenia flavogaster_Yellow-bellied Elaenia
Passer domesticus_House Sparrow
Quiscalus mexicanus_Great-tailed Grackle
Psarocolius decumanus_Crested Oropendola
Parabuteo unicinctus_Harris's Hawk
Arremon schlegeli_Golden-winged Sparrow
Phimosus infuscatus_Bare-faced Ibis
Chrysomus icterocephalus_Yellow-hooded Blackbird
Spiza americana_Dickcissel
Calidris fuscicollis_White-rumped Sandpiper
Hydropsalis cayennensis_White-tailed Nightjar
Elaenia chiriquensis_Lesser Elaenia
Dendrocygna bicolor_Fulvous Whistling-Duck
Synallaxis albescens_Pale-breasted Spinetail
Phaeomyias murina_Mouse-colored Tyrannulet
Euphonia laniirostris_Thick-billed Euphonia
Tyrannus tyrannus_Eastern Kingbird
Catharus fuscescens_Veery
Piaya cayana_Squirrel Cuckoo
Columbina minuta_Plain-breasted Ground Dove
Geranospiza caerulescens_Crane Hawk
Athene cunicularia_Burrowing Owl
Catharus ustulatus_Swainson's Thrush
Tapera naevia_Striped Cuckoo
Patagioenas cayennensis_Pale-vented Pigeon
Herpetotheres cachinnans_Laughing Falcon
Myiopagis gaimardii_Forest Elaenia
Sporophila intermedia_Gray Seedeater
Pionus menstruus_Blue-headed Parrot
Porzana carolina_Sora
Setophaga fusca_Blackburnian Warbler
Buteogallus urubitinga_Great Black Hawk
Anhinga anhinga_Anhinga
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Sula leucogaster_Brown Booby
Geranoaetus albicaudatus_White-tailed Hawk
Empidonax traillii_Willow Flycatcher
Dendrocygna viduata_White-faced Whistling-Duck
Thryophilus rufalbus_Rufous-and-white Wren
Sula dactylatra_Masked Booby
Falco femoralis_Aplomado Falcon
Chordeiles nacunda_Nacunda Nighthawk
Petrochelidon pyrrhonota_Cliff Swallow
Dryocopus lineatus_Lineated Woodpecker
Busarellus nigricollis_Black-collared Hawk
Tersina viridis_Swallow Tanager
Buteogallus anthracinus_Common Black Hawk
Aramides cajaneus_Gray-cowled Wood-Rail
Saltator maximus_Buff-throated Saltator
Tyrannulus elatus_Yellow-crowned Tyrannulet
Bubo virginianus_Great Horned Owl
Cyclarhis gujanensis_Rufous-browed Peppershrike
Campephilus melanoleucos_Crimson-crested Woodpecker
Coccyzus melacoryphus_Dark-billed Cuckoo
Seiurus aurocapilla_Ovenbird
Todirostrum cinereum_Common Tody-Flycatcher
Setophaga castanea_Bay-breasted Warbler
Theristicus caudatus_Buff-necked Ibis
Rupornis magnirostris_Roadside Hawk
Glaucis hirsutus_Rufous-breasted Hermit
Buteo albonotatus_Zone-tailed Hawk
Thamnophilus doliatus_Barred Antshrike
Megascops choliba_Tropical Screech-Owl
Crypturellus soui_Little Tinamou
Ornithion brunneicapillus_Brown-capped Tyrannulet
Ramphocaenus melanurus_Long-billed Gnatwren
Geothlypis trichas_Common Yellowthroat
Geothlypis philadelphia_Mourning Warbler
Chaetura brachyura_Short-tailed Swift
Crypturellus erythropus_Red-legged Tinamou
Aythya affinis_Lesser Scaup
Larus delawarensis_Ring-billed Gull
Gelochelidon nilotica_Gull-billed Tern
Chondrohierax uncinatus_Hook-billed Kite
Ixobrychus exilis_Least Bittern
Chlorostilbon mellisugus_Blue-tailed Emerald
Turdus leucomelas_Pale-breasted Thrush
Sporophila minuta_Ruddy-breasted Seedeater
Chordeiles minor_Common Nighthawk
Falco rufigularis_Bat Falcon
Poecilotriccus sylvia_Slate-headed Tody-Flycatcher
Manacus manacus_White-bearded Manakin
Spatula clypeata_Northern Shoveler
Sicalis flaveola_Saffron Finch
Tigrisoma lineatum_Rufescent Tiger-Heron
Empidonax virescens_Acadian Flycatcher
Campylorhynchus nuchalis_Stripe-backed Wren
Ictinia plumbea_Plumbeous Kite
Sturnella magna_Eastern Meadowlark
Empidonax alnorum_Alder Flycatcher
Campylorhamphus trochilirostris_Red-billed Scythebill
Anthracothorax nigricollis_Black-throated Mango
Myiophobus fasciatus_Bran-colored Flycatcher
Buteo brachyurus_Short-tailed Hawk
Parkesia motacilla_Louisiana Waterthrush
Elaenia parvirostris_Small-billed Elaenia
Chordeiles acutipennis_Lesser Nighthawk
Xenops minutus_Plain Xenops
Myiarchus crinitus_Great Crested Flycatcher
Catharus minimus_Gray-cheeked Thrush
Ara chloropterus_Red-and-green Macaw
Charadrius vociferus_Killdeer
Thraupis palmarum_Palm Tanager
Chlidonias niger_Black Tern
Crax alberti_Blue-billed Curassow
Accipiter bicolor_Bicolored Hawk
Saltator striatipectus_Streaked Saltator
Geotrygon montana_Ruddy Quail-Dove
Claravis pretiosa_Blue Ground Dove
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Phalaropus tricolor_Wilson's Phalarope
Micrastur semitorquatus_Collared Forest-Falcon
Pachyramphus polychopterus_White-winged Becard
Piranga olivacea_Scarlet Tanager
Tiaris olivaceus_Yellow-faced Grassquit
Spatula cyanoptera_Cinnamon Teal
Pachysylvia aurantiifrons_Golden-fronted Greenlet
Legatus leucophaius_Piratic Flycatcher
Progne subis_Purple Martin
Contopus cooperi_Olive-sided Flycatcher
Limosa fedoa_Marbled Godwit
Leptodon cayanensis_Gray-headed Kite
Mionectes oleagineus_Ochre-bellied Flycatcher
Amazona amazonica_Orange-winged Parrot
Mareca americana_American Wigeon
Nyctidromus albicollis_Common Pauraque
Molothrus oryzivorus_Giant Cowbird
Contopus cinereus_Tropical Pewee
Sporophila nigricollis_Yellow-bellied Seedeater
Charadrius nivosus_Snowy Plover
Capsiempis flaveola_Yellow Tyrannulet
Ciccaba virgata_Mottled Owl
Chloroceryle aenea_American Pygmy Kingfisher
Arundinicola leucocephala_White-headed Marsh Tyrant
Myiozetetes cayanensis_Rusty-margined Flycatcher
Setophaga americana_Northern Parula
Elanus leucurus_White-tailed Kite
Turdus albicollis_White-necked Thrush
Ortalis ruficauda_Rufous-vented Chachalaca
Cairina moschata_Muscovy Duck
Myiarchus tuberculifer_Dusky-capped Flycatcher
Xiphorhynchus susurrans_Cocoa Woodcreeper
Myiopagis viridicata_Greenish Elaenia
Chalybura buffonii_White-vented Plumeleteer
Pionus sordidus_Red-billed Parrot
Elanoides forficatus_Swallow-tailed Kite
Patagioenas speciosa_Scaled Pigeon
Cranioleuca hellmayri_Streak-capped Spinetail
Aramides axillaris_Rufous-necked Wood-Rail
Trogon caligatus_Gartered Trogon
Eucometis penicillata_Gray-headed Tanager
