Zosterops japonicus_Warbling White-eye
Acridotheres tristis_Common Myna
Paroaria coronata_Red-crested Cardinal
Copsychus malabaricus_White-rumped Shama
Streptopelia chinensis_Spotted Dove
Geopelia striata_Zebra Dove
Bubulcus ibis_Cattle Egret
Gallus gallus_Red Junglefowl
Pluvialis fulva_Pacific Golden-Plover
Haemorhous mexicanus_House Finch
Cardinalis cardinalis_Northern Cardinal
Psittacula krameri_Rose-ringed Parakeet
Gallinula galeata_Common Gallinule
Phaethon lepturus_White-tailed Tropicbird
Lonchura punctulata_Scaly-breasted Munia
Anas wyvilliana_Hawaiian Duck
Nycticorax nycticorax_Black-crowned Night-Heron
Lonchura atricapilla_Chestnut Munia
Passer domesticus_House Sparrow
Fulica alai_Hawaiian Coot
Himantopus mexicanus_Black-necked Stilt
Mimus polyglottos_Northern Mockingbird
Columba livia_Rock Pigeon
Garrulax canorus_Chinese Hwamei
Branta sandvicensis_Hawaiian Goose
Horornis diphone_Japanese Bush Warbler
Padda oryzivora_Java Sparrow
Sturnella neglecta_Western Meadowlark
Amandava amandava_Red Avadavat
Tringa incana_Wandering Tattler
Chasiempis sclateri_Kauai Elepaio
Arenaria interpres_Ruddy Turnstone
Puffinus newelli_Newell's Shearwater
Magumma parva_Anianiau
Ardenna pacifica_Wedge-tailed Shearwater
Loxops caeruleirostris_Akekee
Tyto alba_Barn Owl
Euodice cantans_African Silverbill
Ducula pacifica_Pacific Imperial-Pigeon
Anous ceruleus_Blue-gray Noddy
Estrilda astrild_Common Waxbill
Onychoprion lunatus_Gray-backed Tern
Urodynamis taitensis_Long-tailed Koel
Numenius phaeopus_Whimbrel
Pterodroma sandwichensis_Hawaiian Petrel
Fregata minor_Great Frigatebird
Puffinus bailloni_Tropical Shearwater
Anous minutus_Black Noddy
Sula leucogaster_Brown Booby
Agapornis roseicollis_Rosy-faced Lovebird
Falco peregrinus_Peregrine Falcon
Stercorarius longicaudus_Long-tailed Jaeger
Gygis alba_White Tern
Limosa lapponica_Bar-tailed Godwit
Onychoprion fuscatus_Sooty Tern
Calidris alba_Sanderling
Sula dactylatra_Masked Booby
Alauda arvensis_Eurasian Skylark
