Fregata magnificens_Magnificent Frigatebird
Arenaria interpres_Ruddy Turnstone
Passer domesticus_House Sparrow
Pluvialis squatarola_Black-bellied Plover
Calidris alba_Sanderling
Ardea alba_Great Egret
Pandion haliaetus_Osprey
Bubulcus ibis_Cattle Egret
Troglodytes aedon_House Wren
Psarocolius decumanus_Crested Oropendola
Hirundo rustica_Barn Swallow
Thraupis episcopus_Blue-gray Tanager
Puffinus puffinus_Manx Shearwater
Sterna hirundo_Common Tern
Falco peregrinus_Peregrine Falcon
Coragyps atratus_Black Vulture
Numenius phaeopus_Whimbrel
Calidris canutus_Red Knot
Streptopelia decaocto_Eurasian Collared-Dove
Progne chalybea_Gray-breasted Martin
Tyto alba_Barn Owl
Turdus leucomelas_Pale-breasted Thrush
Todirostrum maculatum_Spotted Tody-Flycatcher
Thraupis palmarum_Palm Tanager
Volatinia jacarina_Blue-black Grassquit
Sula leucogaster_Brown Booby
Ramphocelus carbo_Silver-beaked Tanager
Columbina talpacoti_Ruddy Ground Dove
Myiozetetes cayanensis_Rusty-margined Flycatcher
Gelochelidon nilotica_Gull-billed Tern
Rissa tridactyla_Black-legged Kittiwake
Egretta garzetta_Little Egret
Pitangus sulphuratus_Great Kiskadee
Calonectris diomedea_Cory's Shearwater
Crotophaga ani_Smooth-billed Ani
Nycticorax nycticorax_Black-crowned Night-Heron
Phaethon aethereus_Red-billed Tropicbird
Patagioenas cayennensis_Pale-vented Pigeon
Stercorarius pomarinus_Pomarine Jaeger
Tringa totanus_Common Redshank
Phalaropus fulicarius_Red Phalarope
Stercorarius parasiticus_Parasitic Jaeger
Milvus milvus_Red Kite
Larus fuscus_Lesser Black-backed Gull
Chroicocephalus ridibundus_Black-headed Gull
Corvus ruficollis_Brown-necked Raven
Eupsittula pertinax_Brown-throated Parakeet
Thalasseus sandvicensis_Sandwich Tern
Charadrius alexandrinus_Kentish Plover
Riparia riparia_Bank Swallow
Limosa lapponica_Bar-tailed Godwit
Tringa ochropus_Green Sandpiper
Milvus migrans_Black Kite
Calidris pusilla_Semipalmated Sandpiper
Anas acuta_Northern Pintail
Tringa erythropus_Spotted Redshank
Hydrobates leucorhous_Leach's Storm-Petrel
Alaemon alaudipes_Greater Hoopoe-Lark
Glareola pratincola_Collared Pratincole
Tringa glareola_Wood Sandpiper
Oenanthe oenanthe_Northern Wheatear
Ammomanes cinctura_Bar-tailed Lark
Recurvirostra avosetta_Pied Avocet
Haematopus ostralegus_Eurasian Oystercatcher
Charadrius hiaticula_Common Ringed Plover
Upupa epops_Eurasian Hoopoe
Circus aeruginosus_Eurasian Marsh-Harrier
Leucophaeus atricilla_Laughing Gull
Ardea cinerea_Gray Heron
Anthus trivialis_Tree Pipit
