Quiscalus mexicanus_Great-tailed Grackle
Melanerpes aurifrons_Golden-fronted Woodpecker
Cathartes aura_Turkey Vulture
Myiozetetes similis_Social Flycatcher
Turdus grayi_Clay-colored Thrush
Dives dives_Melodious Blackbird
Pitangus sulphuratus_Great Kiskadee
Coragyps atratus_Black Vulture
Sporophila morelleti_Morelet's Seedeater
Psilorhinus morio_Brown Jay
Columbina talpacoti_Ruddy Ground Dove
Setophaga petechia_Yellow Warbler
Tyrannus melancholicus_Tropical Kingbird
Eupsittula nana_Olive-throated Parakeet
Pheugopedius maculipectus_Spot-breasted Wren
Zenaida asiatica_White-winged Dove
Setophaga magnolia_Magnolia Warbler
Mimus gilvus_Tropical Mockingbird
Setophaga citrina_Hooded Warbler
Rupornis magnirostris_Roadside Hawk
Dumetella carolinensis_Gray Catbird
Contopus virens_Eastern Wood-Pewee
Crotophaga sulcirostris_Groove-billed Ani
Hirundo rustica_Barn Swallow
Saltator grandis_Cinnamon-bellied Saltator
Tityra semifasciata_Masked Tityra
Amazilia tzacatl_Rufous-tailed Hummingbird
Volatinia jacarina_Blue-black Grassquit
Saltator atriceps_Black-headed Saltator
Thraupis episcopus_Blue-gray Tanager
Piranga rubra_Summer Tanager
Ortalis vetula_Plain Chachalaca
Megarynchus pitangua_Boat-billed Flycatcher
Myiarchus tuberculifer_Dusky-capped Flycatcher
Mniotilta varia_Black-and-white Warbler
Ardea alba_Great Egret
Egretta caerulea_Little Blue Heron
Setophaga ruticilla_American Redstart
Ramphastos sulfuratus_Keel-billed Toucan
Trogon melanocephalus_Black-headed Trogon
Leptotila verreauxi_White-tipped Dove
Amazona albifrons_White-fronted Parrot
Fregata magnificens_Magnificent Frigatebird
Troglodytes aedon_House Wren
Piaya cayana_Squirrel Cuckoo
Parkesia noveboracensis_Northern Waterthrush
Tyrannus tyrannus_Eastern Kingbird
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Myiodynastes luteiventris_Sulphur-bellied Flycatcher
Momotus lessonii_Lesson's Motmot
Setophaga dominica_Yellow-throated Warbler
Xiphorhynchus flavigaster_Ivory-billed Woodcreeper
Patagioenas flavirostris_Red-billed Pigeon
Chlorestes candida_White-bellied Emerald
Euphonia hirundinacea_Yellow-throated Euphonia
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Actitis macularius_Spotted Sandpiper
Butorides virescens_Green Heron
Habia fuscicauda_Red-throated Ant-Tanager
Dryocopus lineatus_Lineated Woodpecker
Amazona autumnalis_Red-lored Parrot
Myiarchus tyrannulus_Brown-crested Flycatcher
Bubulcus ibis_Cattle Egret
Chaetura vauxi_Vaux's Swift
Vireo flavoviridis_Yellow-green Vireo
Elaenia flavogaster_Yellow-bellied Elaenia
Oncostoma cinereigulare_Northern Bentbill
Hylocichla mustelina_Wood Thrush
Amazilia rutila_Cinnamon Hummingbird
Progne subis_Purple Martin
Tachycineta albilinea_Mangrove Swallow
Jacana spinosa_Northern Jacana
Pachysylvia decurtata_Lesser Greenlet
Icterus galbula_Baltimore Oriole
Passerina cyanea_Indigo Bunting
Egretta thula_Snowy Egret
Psarocolius montezuma_Montezuma Oropendola
Geothlypis formosa_Kentucky Warbler
Thraupis abbas_Yellow-winged Tanager
Pachyramphus aglaiae_Rose-throated Becard
Buteo plagiatus_Gray Hawk
Arremonops chloronotus_Green-backed Sparrow
Vireo pallens_Mangrove Vireo
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Pelecanus occidentalis_Brown Pelican
Megaceryle torquata_Ringed Kingfisher
Amblycercus holosericeus_Yellow-billed Cacique
Empidonax flaviventris_Yellow-bellied Flycatcher
Campephilus guatemalensis_Pale-billed Woodpecker
Nannopterum brasilianum_Neotropic Cormorant
Trogon caligatus_Gartered Trogon
Attila spadiceus_Bright-rumped Attila
Icterus gularis_Altamira Oriole
Leucophaeus atricilla_Laughing Gull
Herpetotheres cachinnans_Laughing Falcon
Molothrus aeneus_Bronzed Cowbird
Ardea herodias_Great Blue Heron
Thamnophilus doliatus_Barred Antshrike
Leiothlypis peregrina_Tennessee Warbler
Henicorhina leucosticta_White-breasted Wood-Wren
Cyclarhis gujanensis_Rufous-browed Peppershrike
Setophaga americana_Northern Parula
Melanerpes pygmaeus_Yucatan Woodpecker
Vireo griseus_White-eyed Vireo
Todirostrum cinereum_Common Tody-Flycatcher
Mycteria americana_Wood Stork
Icterus spurius_Orchard Oriole
Tigrisoma mexicanum_Bare-throated Tiger-Heron
Icterus cucullatus_Hooded Oriole
Pteroglossus torquatus_Collared Aracari
Icterus prosthemelas_Black-cowled Oriole
Icteria virens_Yellow-breasted Chat
Formicarius moniliger_Mayan Antthrush
Falco rufigularis_Bat Falcon
Vireo flavifrons_Yellow-throated Vireo
Empidonax minimus_Least Flycatcher
Eumomota superciliosa_Turquoise-browed Motmot
Tiaris olivaceus_Yellow-faced Grassquit
Sittasomus griseicapillus_Olivaceous Woodcreeper
Protonotaria citrea_Prothonotary Warbler
Melanoptila glabrirostris_Black Catbird
Thalasseus maximus_Royal Tern
Progne chalybea_Gray-breasted Martin
Contopus cinereus_Tropical Pewee
Geothlypis poliocephala_Gray-crowned Yellowthroat
Vireo olivaceus_Red-eyed Vireo
Calidris minutilla_Least Sandpiper
Buteogallus anthracinus_Common Black Hawk
Setophaga virens_Black-throated Green Warbler
Setophaga pensylvanica_Chestnut-sided Warbler
Egretta tricolor_Tricolored Heron
Patagioenas nigrirostris_Short-billed Pigeon
Polioptila caerulea_Blue-gray Gnatcatcher
Ramphocaenus melanurus_Long-billed Gnatwren
Cyanerpes cyaneus_Red-legged Honeycreeper
Himantopus mexicanus_Black-necked Stilt
Nyctidromus albicollis_Common Pauraque
Colaptes rubiginosus_Golden-olive Woodpecker
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Catharus ustulatus_Swainson's Thrush
Pheucticus ludovicianus_Rose-breasted Grosbeak
Micrastur semitorquatus_Collared Forest-Falcon
Tyrannus couchii_Couch's Kingbird
Pionus senilis_White-crowned Parrot
Laterallus ruber_Ruddy Crake
Aramides albiventris_Russet-naped Wood-Rail
Patagioenas cayennensis_Pale-vented Pigeon
Pandion haliaetus_Osprey
Crypturellus cinnamomeus_Thicket Tinamou
Myiopagis viridicata_Greenish Elaenia
Thalasseus sandvicensis_Sandwich Tern
Claravis pretiosa_Blue Ground Dove
Geothlypis trichas_Common Yellowthroat
Nyctanassa violacea_Yellow-crowned Night-Heron
Euphonia affinis_Scrub Euphonia
Seiurus aurocapilla_Ovenbird
Habia rubica_Red-crowned Ant-Tanager
Chordeiles acutipennis_Lesser Nighthawk
Streptopelia decaocto_Eurasian Collared-Dove
Ceratopipra mentalis_Red-capped Manakin
Icterus mesomelas_Yellow-tailed Oriole
Anhinga anhinga_Anhinga
Chloroceryle americana_Green Kingfisher
Chloroceryle amazona_Amazon Kingfisher
Dryobates fumigatus_Smoky-brown Woodpecker
Platyrinchus cancrominus_Stub-tailed Spadebill
Megaceryle alcyon_Belted Kingfisher
Helmitheros vermivorum_Worm-eating Warbler
Arenaria interpres_Ruddy Turnstone
Calidris alba_Sanderling
Phaethornis longirostris_Long-billed Hermit
Pluvialis squatarola_Black-bellied Plover
Charadrius semipalmatus_Semipalmated Plover
Buteo brachyurus_Short-tailed Hawk
Aramus guarauna_Limpkin
Columba livia_Rock Pigeon
Uropsila leucogastra_White-bellied Wren
Falco peregrinus_Peregrine Falcon
Camptostoma imberbe_Northern Beardless-Tyrannulet
Trogon collaris_Collared Trogon
Phaethornis striigularis_Stripe-throated Hermit
Vireo magister_Yucatan Vireo
Dendrocincla anabatina_Tawny-winged Woodcreeper
Colinus nigrogularis_Black-throated Bobwhite
Cyanocorax yucatanicus_Yucatan Jay
Columbina passerina_Common Ground Dove
Leptotila plumbeiceps_Gray-headed Dove
Schiffornis veraepacis_Northern Schiffornis
Buteogallus urubitinga_Great Black Hawk
Mionectes oleagineus_Ochre-bellied Flycatcher
Eudocimus albus_White Ibis
Parkesia motacilla_Louisiana Waterthrush
Euphonia gouldi_Olive-backed Euphonia
Celeus castaneus_Chestnut-colored Woodpecker
Falco sparverius_American Kestrel
Myiarchus crinitus_Great Crested Flycatcher
Lanio aurantius_Black-throated Shrike-Tanager
Tringa flavipes_Lesser Yellowlegs
Trogon massena_Slaty-tailed Trogon
Tringa semipalmata_Willet
Platalea ajaja_Roseate Spoonbill
Onychorhynchus coronatus_Royal Flycatcher
Ciccaba virgata_Mottled Owl
Rhynchocyclus brevirostris_Eye-ringed Flatbill
Icterus chrysater_Yellow-backed Oriole
Agelaius phoeniceus_Red-winged Blackbird
Streptoprocne zonaris_White-collared Swift
Pampa curvipennis_Wedge-tailed Sabrewing
Dendrocincla homochroa_Ruddy Woodcreeper
Penelope purpurascens_Crested Guan
Spatula discors_Blue-winged Teal
Nannopterum auritum_Double-crested Cormorant
Tityra inquisitor_Black-crowned Tityra
Galbula ruficauda_Rufous-tailed Jacamar
Cyanoloxia cyanoides_Blue-black Grosbeak
Cyanocompsa parellina_Blue Bunting
Caracara plancus_Crested Caracara
Legatus leucophaius_Piratic Flycatcher
Tringa melanoleuca_Greater Yellowlegs
Tyrannus savana_Fork-tailed Flycatcher
Chondrohierax uncinatus_Hook-billed Kite
Polioptila bilineata_White-browed Gnatcatcher
Tinamus major_Great Tinamou
Crypturellus soui_Little Tinamou
Saltator maximus_Buff-throated Saltator
Rostrhamus sociabilis_Snail Kite
Manacus candei_White-collared Manakin
Tringa solitaria_Solitary Sandpiper
Vermivora cyanoptera_Blue-winged Warbler
Cairina moschata_Muscovy Duck
Pyrilia haematotis_Brown-hooded Parrot
Nyctibius jamaicensis_Northern Potoo
Porphyrio martinica_Purple Gallinule
Vireo philadelphicus_Philadelphia Vireo
Riparia riparia_Bank Swallow
Cercomacroides tyrannina_Dusky Antbird
Geranospiza caerulescens_Crane Hawk
Megascops guatemalae_Middle American Screech-Owl
Caryothraustes poliogaster_Black-faced Grosbeak
