Myadestes obscurus_Omao
Chlorodrepanis virens_Hawaii Amakihi
Himatione sanguinea_Apapane
Zosterops japonicus_Warbling White-eye
Chasiempis sandwichensis_Hawaii Elepaio
Haemorhous mexicanus_House Finch
Passer domesticus_House Sparrow
Oxyura jamaicensis_Ruddy Duck
Podilymbus podiceps_Pied-billed Grebe
Fulica americana_American Coot
Aphelocoma californica_California Scrub-Jay
Sayornis nigricans_Black Phoebe
Branta sandvicensis_Hawaiian Goose
Ardenna grisea_Sooty Shearwater
Callipepla californica_California Quail
Acridotheres tristis_Common Myna
Anous minutus_Black Noddy
Leiothrix lutea_Red-billed Leiothrix
Larus occidentalis_Western Gull
Corvus corax_Common Raven
Streptopelia chinensis_Spotted Dove
Melospiza melodia_Song Sparrow
Anas platyrhynchos_Mallard
Spatula cyanoptera_Cinnamon Teal
Charadrius vociferus_Killdeer
Agelaius phoeniceus_Red-winged Blackbird
Nannopterum auritum_Double-crested Cormorant
Euphagus cyanocephalus_Brewer's Blackbird
Sayornis saya_Say's Phoebe
Sturnus vulgaris_European Starling
Buteo jamaicensis_Red-tailed Hawk
Larus californicus_California Gull
Calypte anna_Anna's Hummingbird
Drepanis coccinea_Iiwi
Junco hyemalis_Dark-eyed Junco
Melozone crissalis_California Towhee
Zonotrichia leucophrys_White-crowned Sparrow
Ardea herodias_Great Blue Heron
Phalaropus fulicarius_Red Phalarope
Phalaropus lobatus_Red-necked Phalarope
Crithagra mozambica_Yellow-fronted Canary
Geopelia striata_Zebra Dove
Ardenna creatopus_Pink-footed Shearwater
Thryomanes bewickii_Bewick's Wren
Setophaga coronata_Yellow-rumped Warbler
Streptopelia decaocto_Eurasian Collared-Dove
Lophura leucomelanos_Kalij Pheasant
Pluvialis fulva_Pacific Golden-Plover
Rallus limicola_Virginia Rail
Spatula clypeata_Northern Shoveler
Falco sparverius_American Kestrel
Cistothorus palustris_Marsh Wren
Cardinalis cardinalis_Northern Cardinal
Sturnella neglecta_Western Meadowlark
Stercorarius pomarinus_Pomarine Jaeger
Hirundo rustica_Barn Swallow
Buteo solitarius_Hawaiian Hawk
Aechmophorus occidentalis_Western Grebe
Pelecanus occidentalis_Brown Pelican
Aythya affinis_Lesser Scaup
Spinus psaltria_Lesser Goldfinch
Zenaida macroura_Mourning Dove
Lonchura punctulata_Scaly-breasted Munia
Pelecanus erythrorhynchos_American White Pelican
Porzana carolina_Sora
Bubulcus ibis_Cattle Egret
Tachycineta bicolor_Tree Swallow
Nycticorax nycticorax_Black-crowned Night-Heron
Larus heermanni_Heermann's Gull
Setophaga petechia_Yellow Warbler
Aechmophorus clarkii_Clark's Grebe
Geothlypis trichas_Common Yellowthroat
Mareca strepera_Gadwall
Xema sabini_Sabine's Gull
Cathartes aura_Turkey Vulture
Calidris minutilla_Least Sandpiper
Aythya collaris_Ring-necked Duck
Charadrius semipalmatus_Semipalmated Plover
Accipiter cooperii_Cooper's Hawk
Bucephala albeola_Bufflehead
Phoebastria nigripes_Black-footed Albatross
Charadrius nivosus_Snowy Plover
Pternistis erckelii_Erckel's Francolin
Molothrus ater_Brown-headed Cowbird
Arenaria interpres_Ruddy Turnstone
Eremophila alpestris_Horned Lark
Corthylio calendula_Ruby-crowned Kinglet
Dryobates nuttallii_Nuttall's Woodpecker
Tringa incana_Wandering Tattler
Mareca americana_American Wigeon
Bombycilla cedrorum_Cedar Waxwing
Catharus guttatus_Hermit Thrush
Larus delawarensis_Ring-billed Gull
Podiceps nigricollis_Eared Grebe
Sternula antillarum_Least Tern
Stercorarius parasiticus_Parasitic Jaeger
Ardea alba_Great Egret
Falco peregrinus_Peregrine Falcon
Limnodromus scolopaceus_Long-billed Dowitcher
Anas acuta_Northern Pintail
Egretta thula_Snowy Egret
Hydroprogne caspia_Caspian Tern
Calidris mauri_Western Sandpiper
Hydrobates leucorhous_Leach's Storm-Petrel
Pluvialis squatarola_Black-bellied Plover
Tyto alba_Barn Owl
Passerculus sandwichensis_Savannah Sparrow
Vireo gilvus_Warbling Vireo
Pandion haliaetus_Osprey
Gelochelidon nilotica_Gull-billed Tern
Mimus polyglottos_Northern Mockingbird
Polioptila caerulea_Blue-gray Gnatcatcher
Troglodytes aedon_House Wren
Circus hudsonius_Northern Harrier
Anas crecca_Green-winged Teal
Aeronautes saxatalis_White-throated Swift
Anthus rubescens_American Pipit
Setophaga townsendi_Townsend's Warbler
Piranga ludoviciana_Western Tanager
Empidonax difficilis_Pacific-slope Flycatcher
Melospiza lincolnii_Lincoln's Sparrow
Bucephala clangula_Common Goldeneye
Phaethon lepturus_White-tailed Tropicbird
Tyrannus vociferans_Cassin's Kingbird
Limnodromus griseus_Short-billed Dowitcher
Falco columbarius_Merlin
Larus argentatus_Herring Gull
Gallinago delicata_Wilson's Snipe
Tachycineta thalassina_Violet-green Swallow
Numenius phaeopus_Whimbrel
Myiopsitta monachus_Monk Parakeet
Arenaria melanocephala_Black Turnstone
Recurvirostra americana_American Avocet
Zonotrichia atricapilla_Golden-crowned Sparrow
Himantopus mexicanus_Black-necked Stilt
Ardenna bulleri_Buller's Shearwater
Stercorarius longicaudus_Long-tailed Jaeger
Petrochelidon pyrrhonota_Cliff Swallow
Tringa melanoleuca_Greater Yellowlegs
Paroaria capitata_Yellow-billed Cardinal
Columba livia_Rock Pigeon
Leiothlypis celata_Orange-crowned Warbler
Loxops mana_Hawaii Creeper
Athene cunicularia_Burrowing Owl
Elanus leucurus_White-tailed Kite
Tringa semipalmata_Willet
Melanitta perspicillata_Surf Scoter
Lanius ludovicianus_Loggerhead Shrike
Thalasseus maximus_Royal Tern
Accipiter striatus_Sharp-shinned Hawk
Haematopus bachmani_Black Oystercatcher
Sterna paradisaea_Arctic Tern
Numenius americanus_Long-billed Curlew
Fulmarus glacialis_Northern Fulmar
Chroicocephalus philadelphia_Bonaparte's Gull
Calidris alba_Sanderling
Setophaga nigrescens_Black-throated Gray Warbler
Butorides virescens_Green Heron
Pipilo maculatus_Spotted Towhee
Baeolophus inornatus_Oak Titmouse
Sterna hirundo_Common Tern
Garrulax canorus_Chinese Hwamei
Phalaropus tricolor_Wilson's Phalarope
Megascops kennicottii_Western Screech-Owl
Chamaea fasciata_Wrentit
Plegadis chihi_White-faced Ibis
Falco mexicanus_Prairie Falcon
Salpinctes obsoletus_Rock Wren
Artemisiospiza belli_Bell's Sparrow
Tringa flavipes_Lesser Yellowlegs
Stercorarius maccormicki_South Polar Skua
Haematopus palliatus_American Oystercatcher
Megaceryle alcyon_Belted Kingfisher
Actitis macularius_Spotted Sandpiper
Ixobrychus exilis_Least Bittern
Cardellina pusilla_Wilson's Warbler
Passerina amoena_Lazuli Bunting
Selasphorus rufus_Rufous Hummingbird
Thalasseus elegans_Elegant Tern
Sicalis flaveola_Saffron Finch
Myiarchus cinerascens_Ash-throated Flycatcher
Geothlypis tolmiei_MacGillivray's Warbler
Aythya americana_Redhead
Calidris alpina_Dunlin
Aimophila ruficeps_Rufous-crowned Sparrow
