Copsychus malabaricus_White-rumped Shama
Paroaria coronata_Red-crested Cardinal
Acridotheres tristis_Common Myna
Bubulcus ibis_Cattle Egret
Geopelia striata_Zebra Dove
Zosterops japonicus_Warbling White-eye
Streptopelia chinensis_Spotted Dove
Gallus gallus_Red Junglefowl
Phaethon lepturus_White-tailed Tropicbird
Pluvialis fulva_Pacific Golden-Plover
Gallinula galeata_Common Gallinule
Haemorhous mexicanus_House Finch
Lonchura punctulata_Scaly-breasted Munia
Lonchura atricapilla_Chestnut Munia
Cardinalis cardinalis_Northern Cardinal
Nycticorax nycticorax_Black-crowned Night-Heron
Psittacula krameri_Rose-ringed Parakeet
Anas wyvilliana_Hawaiian Duck
Mimus polyglottos_Northern Mockingbird
Branta sandvicensis_Hawaiian Goose
Garrulax canorus_Chinese Hwamei
Sturnella neglecta_Western Meadowlark
Fulica alai_Hawaiian Coot
Himantopus mexicanus_Black-necked Stilt
Passer domesticus_House Sparrow
Columba livia_Rock Pigeon
Horornis diphone_Japanese Bush Warbler
Fregata minor_Great Frigatebird
Tringa incana_Wandering Tattler
Arenaria interpres_Ruddy Turnstone
Anous ceruleus_Blue-gray Noddy
Ducula pacifica_Pacific Imperial-Pigeon
Onychoprion lunatus_Gray-backed Tern
Sternula albifrons_Little Tern
Numenius phaeopus_Whimbrel
Ardenna pacifica_Wedge-tailed Shearwater
Padda oryzivora_Java Sparrow
Urodynamis taitensis_Long-tailed Koel
Chasiempis sclateri_Kauai Elepaio
Sula leucogaster_Brown Booby
Gygis alba_White Tern
Amandava amandava_Red Avadavat
Stercorarius longicaudus_Long-tailed Jaeger
Thalasseus bergii_Great Crested Tern
Tringa brevipes_Gray-tailed Tattler
Sula sula_Red-footed Booby
Actitis hypoleucos_Common Sandpiper
Limosa lapponica_Bar-tailed Godwit
Pterodroma cervicalis_White-necked Petrel
Anous stolidus_Brown Noddy
Fregata ariel_Lesser Frigatebird
Sula dactylatra_Masked Booby
Magumma parva_Anianiau
Puffinus bailloni_Tropical Shearwater
Egretta sacra_Pacific Reef-Heron
Calidris acuminata_Sharp-tailed Sandpiper
Hydrobates leucorhous_Leach's Storm-Petrel
Tyto alba_Barn Owl
Sterna sumatrana_Black-naped Tern
Onychoprion fuscatus_Sooty Tern
Puffinus newelli_Newell's Shearwater
Phaethon rubricauda_Red-tailed Tropicbird
Pterodroma cookii_Cook's Petrel
Stercorarius pomarinus_Pomarine Jaeger
Anas acuta_Northern Pintail
Ardenna tenuirostris_Short-tailed Shearwater
Calidris alba_Sanderling
Pterodroma hypoleuca_Bonin Petrel
Pluvialis squatarola_Black-bellied Plover
Numenius tahitiensis_Bristle-thighed Curlew
Loxops caeruleirostris_Akekee
Ardenna grisea_Sooty Shearwater
Anas crecca_Green-winged Teal
Pterodroma inexpectata_Mottled Petrel
Puffinus nativitatis_Christmas Shearwater
Anous minutus_Black Noddy
Pterodroma externa_Juan Fernandez Petrel
Stercorarius maccormicki_South Polar Skua
Pterodroma nigripennis_Black-winged Petrel
Mareca penelope_Eurasian Wigeon
Bulweria bulwerii_Bulwer's Petrel
Falco peregrinus_Peregrine Falcon
Pterodroma sandwichensis_Hawaiian Petrel
Ardenna creatopus_Pink-footed Shearwater
Calidris canutus_Red Knot
Chlorodrepanis stejnegeri_Kauai Amakihi
