Streptopelia chinensis_Spotted Dove
Copsychus saularis_Oriental Magpie-Robin
Passer montanus_Eurasian Tree Sparrow
Hirundo rustica_Barn Swallow
Motacilla alba_White Wagtail
Parus minor_Japanese Tit
Pycnonotus xanthorrhous_Brown-breasted Bulbul
Orthotomus sutorius_Common Tailorbird
Erythrogenys gravivox_Black-streaked Scimitar-Babbler
Heterophasia desgodinsi_Black-headed Sibia
Pycnonotus aurigaster_Sooty-headed Bulbul
Pycnonotus jocosus_Red-whiskered Bulbul
Lonchura punctulata_Scaly-breasted Munia
Pterorhinus sannio_White-browed Laughingthrush
Paradoxornis guttaticollis_Spot-breasted Parrotbill
Phylloscopus inornatus_Yellow-browed Warbler
Zosterops palpebrosus_Indian White-eye
Saxicola maurus_Siberian Stonechat
Egretta garzetta_Little Egret
Monticola solitarius_Blue Rock-Thrush
Lanius schach_Long-tailed Shrike
Passer domesticus_House Sparrow
Ardeola bacchus_Chinese Pond-Heron
Sitta nagaensis_Chestnut-vented Nuthatch
Aegithalos concinnus_Black-throated Tit
Corvus macrorhynchos_Large-billed Crow
Spizixos canifrons_Crested Finchbill
Actinodura cyanouroptera_Blue-winged Minla
Rhipidura albicollis_White-throated Fantail
Motacilla cinerea_Gray Wagtail
Culicicapa ceylonensis_Gray-headed Canary-Flycatcher
Actitis hypoleucos_Common Sandpiper
Cacomantis merulinus_Plaintive Cuckoo
Alcedo atthis_Common Kingfisher
Schoeniparus dubius_Rusty-capped Fulvetta
Turdus dissimilis_Black-breasted Thrush
Staphida torqueola_Indochinese Yuhina
Prinia superciliaris_Hill Prinia
Saxicola ferreus_Gray Bushchat
Alcippe fratercula_Yunnan Fulvetta
Monticola rufiventris_Chestnut-bellied Rock-Thrush
Suthora verreauxi_Golden Parrotbill
Ficedula hyperythra_Snowy-browed Flycatcher
Tropicoperdix chloropus_Scaly-breasted Partridge
Falco tinnunculus_Eurasian Kestrel
Psittiparus gularis_Gray-headed Parrotbill
Acridotheres grandis_Great Myna
Bubulcus ibis_Cattle Egret
Merops orientalis_Green Bee-eater
Chelidorhynx hypoxanthus_Yellow-bellied Fairy-Fantail
Prinia hodgsonii_Gray-breasted Prinia
Pernis ptilorhynchus_Oriental Honey-buzzard
Enicurus leschenaulti_White-crowned Forktail
Phylloscopus subaffinis_Buff-throated Warbler
Locustella luteoventris_Brown Bush Warbler
Machlolophus spilonotus_Yellow-cheeked Tit
Pnoepyga pusilla_Pygmy Cupwing
Pericrocotus ethologus_Long-tailed Minivet
Dicrurus leucophaeus_Ashy Drongo
Motacilla tschutschensis_Eastern Yellow Wagtail
Pluvialis fulva_Pacific Golden-Plover
Zosterops simplex_Swinhoe's White-eye
Cyanoderma ruficeps_Rufous-capped Babbler
Falco amurensis_Amur Falcon
Liocichla ripponi_Scarlet-faced Liocichla
Charadrius dubius_Little Ringed Plover
Tesia olivea_Slaty-bellied Tesia
Hypsipetes leucocephalus_Black Bulbul
Vanellus cinereus_Gray-headed Lapwing
Muscicapa ferruginea_Ferruginous Flycatcher
Anas poecilorhyncha_Indian Spot-billed Duck
Dendrocopos major_Great Spotted Woodpecker
Locustella mandelli_Russet Bush Warbler
Gampsorhynchus torquatus_Collared Babbler
Lonchura striata_White-rumped Munia
Pericrocotus speciosus_Scarlet Minivet
Emberiza lathami_Crested Bunting
Blythipicus pyrrhotis_Bay Woodpecker
Megaceryle lugubris_Crested Kingfisher
Abroscopus albogularis_Rufous-faced Warbler
Saxicola stejnegeri_Amur Stonechat
Pomatorhinus ruficollis_Streak-breasted Scimitar-Babbler
Buteo japonicus_Eastern Buzzard
Pteruthius aeralatus_Blyth's Shrike-Babbler
Psilopogon asiaticus_Blue-throated Barbet
Erpornis zantholeuca_White-bellied Erpornis
Ixos mcclellandii_Mountain Bulbul
Saxicola caprata_Pied Bushchat
Taenioptynx brodiei_Collared Owlet
Myiomela leucura_White-tailed Robin
Nisaetus nipalensis_Mountain Hawk-Eagle
Leiothrix argentauris_Silver-eared Mesia
Harpactes erythrocephalus_Red-headed Trogon
Pericrocotus solaris_Gray-chinned Minivet
Picus vittatus_Laced Woodpecker
Psilopogon virens_Great Barbet
Cochoa viridis_Green Cochoa
Oriolus traillii_Maroon Oriole
Chloropsis hardwickii_Orange-bellied Leafbird
Cecropis striolata_Striated Swallow
Arborophila brunneopectus_Bar-backed Partridge
Certhia manipurensis_Hume's Treecreeper
Turdus mandarinus_Chinese Blackbird
Riparia chinensis_Gray-throated Martin
