Corvus ruficollis_Brown-necked Raven
Passer domesticus_House Sparrow
Larus michahellis_Yellow-legged Gull
Ammomanes cinctura_Bar-tailed Lark
Streptopelia decaocto_Eurasian Collared-Dove
Curruca conspicillata_Spectacled Warbler
Sylvia atricapilla_Eurasian Blackcap
Pandion haliaetus_Osprey
Bubulcus ibis_Cattle Egret
Alaemon alaudipes_Greater Hoopoe-Lark
Ardea alba_Great Egret
Falco tinnunculus_Eurasian Kestrel
Ardea cinerea_Gray Heron
Hirundo rustica_Barn Swallow
Passer hispaniolensis_Spanish Sparrow
Numenius phaeopus_Whimbrel
Eremopterix nigriceps_Black-crowned Sparrow-Lark
Milvus migrans_Black Kite
Egretta garzetta_Little Egret
Arenaria interpres_Ruddy Turnstone
Calidris alba_Sanderling
Stercorarius skua_Great Skua
Pluvialis squatarola_Black-bellied Plover
Tringa ochropus_Green Sandpiper
Chroicocephalus ridibundus_Black-headed Gull
Circus aeruginosus_Eurasian Marsh-Harrier
Calidris alpina_Dunlin
Apus apus_Common Swift
Rissa tridactyla_Black-legged Kittiwake
Tringa glareola_Wood Sandpiper
Charadrius alexandrinus_Kentish Plover
Egretta gularis_Western Reef-Heron
Sula leucogaster_Brown Booby
Charadrius hiaticula_Common Ringed Plover
Bulweria bulwerii_Bulwer's Petrel
Milvus milvus_Red Kite
Delichon urbicum_Common House-Martin
Actitis hypoleucos_Common Sandpiper
Tringa nebularia_Common Greenshank
Limosa limosa_Black-tailed Godwit
Phalaropus fulicarius_Red Phalarope
Platalea leucorodia_Eurasian Spoonbill
Tyto alba_Barn Owl
Ardea purpurea_Purple Heron
Himantopus himantopus_Black-winged Stilt
Larus fuscus_Lesser Black-backed Gull
Calidris ferruginea_Curlew Sandpiper
Falco peregrinus_Peregrine Falcon
Ardeola ralloides_Squacco Heron
Anas crecca_Green-winged Teal
Haematopus ostralegus_Eurasian Oystercatcher
Calidris pugnax_Ruff
Coturnix coturnix_Common Quail
Limosa lapponica_Bar-tailed Godwit
Plegadis falcinellus_Glossy Ibis
Upupa epops_Eurasian Hoopoe
Gallinago gallinago_Common Snipe
Oenanthe oenanthe_Northern Wheatear
Calonectris diomedea_Cory's Shearwater
Calidris minuta_Little Stint
Phaethon aethereus_Red-billed Tropicbird
Charadrius dubius_Little Ringed Plover
Tringa totanus_Common Redshank
Merops apiaster_European Bee-eater
Gallinula chloropus_Eurasian Moorhen
Recurvirostra avosetta_Pied Avocet
Glareola pratincola_Collared Pratincole
Sterna hirundo_Common Tern
Thalasseus sandvicensis_Sandwich Tern
Tringa erythropus_Spotted Redshank
Stercorarius pomarinus_Pomarine Jaeger
Circus pygargus_Montagu's Harrier
Calidris canutus_Red Knot
Fulica atra_Eurasian Coot
Hydrobates leucorhous_Leach's Storm-Petrel
Asio flammeus_Short-eared Owl
Phylloscopus trochilus_Willow Warbler
Streptopelia turtur_European Turtle-Dove
Halcyon leucocephala_Gray-headed Kingfisher
Anas acuta_Northern Pintail
Hydroprogne caspia_Caspian Tern
Anthus trivialis_Tree Pipit
Nycticorax nycticorax_Black-crowned Night-Heron
Riparia riparia_Bank Swallow
Fregata magnificens_Magnificent Frigatebird
Anthus cervinus_Red-throated Pipit
Numida meleagris_Helmeted Guineafowl
Puffinus puffinus_Manx Shearwater
Sternula albifrons_Little Tern
Stercorarius parasiticus_Parasitic Jaeger
Ardea intermedia_Intermediate Egret
Cecropis daurica_Red-rumped Swallow
Psittacula krameri_Rose-ringed Parakeet
Ploceus cucullatus_Village Weaver
Estrilda astrild_Common Waxbill
Columba livia_Rock Pigeon
Gelochelidon nilotica_Gull-billed Tern
Calidris temminckii_Temminck's Stint
Columba palumbus_Common Wood-Pigeon
Fringilla coelebs_Common Chaffinch
Carduelis carduelis_European Goldfinch
Motacilla alba_White Wagtail
Asio otus_Long-eared Owl
Phylloscopus collybita_Common Chiffchaff
Erithacus rubecula_European Robin
Morus bassanus_Northern Gannet
Muscicapa striata_Spotted Flycatcher
Spatula clypeata_Northern Shoveler
Ficedula hypoleuca_European Pied Flycatcher
Phylloscopus bonelli_Western Bonelli's Warbler
Spatula querquedula_Garganey
Saxicola rubetra_Whinchat
Anthus campestris_Tawny Pipit
Vanellus vanellus_Northern Lapwing
Buteo buteo_Common Buzzard
Clamator glandarius_Great Spotted Cuckoo
Apus pallidus_Pallid Swift
Hieraaetus pennatus_Booted Eagle
Phalacrocorax carbo_Great Cormorant
Ardenna grisea_Sooty Shearwater
Curruca melanocephala_Sardinian Warbler
Sylvia borin_Garden Warbler
Phylloscopus inornatus_Yellow-browed Warbler
Jynx torquilla_Eurasian Wryneck
Porzana porzana_Spotted Crake
Phylloscopus sibilatrix_Wood Warbler
