Arenaria interpres_Ruddy Turnstone
Fregata magnificens_Magnificent Frigatebird
Passer domesticus_House Sparrow
Calidris alba_Sanderling
Pluvialis squatarola_Black-bellied Plover
Hirundo rustica_Barn Swallow
Larus michahellis_Yellow-legged Gull
Sterna hirundo_Common Tern
Puffinus puffinus_Manx Shearwater
Numenius phaeopus_Whimbrel
Bubulcus ibis_Cattle Egret
Ardea alba_Great Egret
Calonectris diomedea_Cory's Shearwater
Sylvia atricapilla_Eurasian Blackcap
Streptopelia decaocto_Eurasian Collared-Dove
Egretta garzetta_Little Egret
Phaethon aethereus_Red-billed Tropicbird
Pandion haliaetus_Osprey
Tringa ochropus_Green Sandpiper
Ardea cinerea_Gray Heron
Chroicocephalus ridibundus_Black-headed Gull
Sula leucogaster_Brown Booby
Falco peregrinus_Peregrine Falcon
Tringa glareola_Wood Sandpiper
Circus aeruginosus_Eurasian Marsh-Harrier
Anas crecca_Green-winged Teal
Charadrius alexandrinus_Kentish Plover
Milvus migrans_Black Kite
Limosa limosa_Black-tailed Godwit
Larus fuscus_Lesser Black-backed Gull
Oenanthe oenanthe_Northern Wheatear
Anthus trivialis_Tree Pipit
Rissa tridactyla_Black-legged Kittiwake
Calidris pugnax_Ruff
Gallinago gallinago_Common Snipe
Tringa totanus_Common Redshank
Tringa nebularia_Common Greenshank
Charadrius hiaticula_Common Ringed Plover
Gelochelidon nilotica_Gull-billed Tern
Glareola pratincola_Collared Pratincole
Recurvirostra avosetta_Pied Avocet
Egretta gularis_Western Reef-Heron
Anas acuta_Northern Pintail
Platalea leucorodia_Eurasian Spoonbill
Coturnix coturnix_Common Quail
Upupa epops_Eurasian Hoopoe
Delichon urbicum_Common House-Martin
Tringa erythropus_Spotted Redshank
Corvus ruficollis_Brown-necked Raven
Calidris canutus_Red Knot
Calidris alpina_Dunlin
Ardeola ralloides_Squacco Heron
Milvus milvus_Red Kite
Haematopus ostralegus_Eurasian Oystercatcher
Nycticorax nycticorax_Black-crowned Night-Heron
Thalasseus sandvicensis_Sandwich Tern
Calidris minuta_Little Stint
Himantopus himantopus_Black-winged Stilt
Merops apiaster_European Bee-eater
Tyto alba_Barn Owl
Streptopelia turtur_European Turtle-Dove
Hydrobates leucorhous_Leach's Storm-Petrel
Ardea purpurea_Purple Heron
Calidris temminckii_Temminck's Stint
Stercorarius skua_Great Skua
Calidris ferruginea_Curlew Sandpiper
Ammomanes cinctura_Bar-tailed Lark
Alaemon alaudipes_Greater Hoopoe-Lark
Eremopterix nigriceps_Black-crowned Sparrow-Lark
Circus pygargus_Montagu's Harrier
Numida meleagris_Helmeted Guineafowl
Apus apus_Common Swift
Curruca conspicillata_Spectacled Warbler
Phalaropus fulicarius_Red Phalarope
Actitis hypoleucos_Common Sandpiper
Riparia riparia_Bank Swallow
Passer hispaniolensis_Spanish Sparrow
Ardea intermedia_Intermediate Egret
Bulweria bulwerii_Bulwer's Petrel
Hydroprogne caspia_Caspian Tern
Limosa lapponica_Bar-tailed Godwit
Stercorarius parasiticus_Parasitic Jaeger
Halcyon leucocephala_Gray-headed Kingfisher
Falco tinnunculus_Eurasian Kestrel
Ploceus cucullatus_Village Weaver
