Corvus macrorhynchos_Large-billed Crow
Copsychus saularis_Oriental Magpie-Robin
Pycnonotus cafer_Red-vented Bulbul
Motacilla alba_White Wagtail
Passer montanus_Eurasian Tree Sparrow
Hypsipetes leucocephalus_Black Bulbul
Psilopogon asiaticus_Blue-throated Barbet
Streptopelia chinensis_Spotted Dove
Myophonus caeruleus_Blue Whistling-Thrush
Culicicapa ceylonensis_Gray-headed Canary-Flycatcher
Psilopogon virens_Great Barbet
Orthotomus sutorius_Common Tailorbird
Halcyon smyrnensis_White-throated Kingfisher
Zosterops palpebrosus_Indian White-eye
Lanius tephronotus_Gray-backed Shrike
Parus monticolus_Green-backed Tit
Leiothrix argentauris_Silver-eared Mesia
Bubulcus ibis_Cattle Egret
Hirundo rustica_Barn Swallow
Lanius schach_Long-tailed Shrike
Dicrurus aeneus_Bronzed Drongo
Hierococcyx sparverioides_Large Hawk-Cuckoo
Dicrurus leucophaeus_Ashy Drongo
Chelidorhynx hypoxanthus_Yellow-bellied Fairy-Fantail
Rhipidura albicollis_White-throated Fantail
Actinodura cyanouroptera_Blue-winged Minla
Streptopelia orientalis_Oriental Turtle-Dove
Glaucidium cuculoides_Asian Barred Owlet
Anthus hodgsoni_Olive-backed Pipit
Harpactes erythrocephalus_Red-headed Trogon
Passer domesticus_House Sparrow
Pnoepyga pusilla_Pygmy Cupwing
Alophoixus flaveolus_White-throated Bulbul
Falco tinnunculus_Eurasian Kestrel
Ficedula strophiata_Rufous-gorgeted Flycatcher
Saxicola ferreus_Gray Bushchat
Arachnothera magna_Streaked Spiderhunter
Pericrocotus speciosus_Scarlet Minivet
Phoenicurus fuliginosus_Plumbeous Redstart
Dendrocitta formosae_Gray Treepie
Acridotheres tristis_Common Myna
Oriolus traillii_Maroon Oriole
Phylloscopus castaniceps_Chestnut-crowned Warbler
Macropygia unchall_Barred Cuckoo-Dove
Aethopyga nipalensis_Green-tailed Sunbird
Cyanoderma ruficeps_Rufous-capped Babbler
Phylloscopus maculipennis_Ashy-throated Warbler
Phalacrocorax carbo_Great Cormorant
Treron sphenurus_Wedge-tailed Green-Pigeon
Lalage melaschistos_Black-winged Cuckooshrike
Machlolophus spilonotus_Yellow-cheeked Tit
Accipiter trivirgatus_Crested Goshawk
Cuculus micropterus_Indian Cuckoo
Eudynamys scolopaceus_Asian Koel
Blythipicus pyrrhotis_Bay Woodpecker
Pernis ptilorhynchus_Oriental Honey-buzzard
Phoenicurus leucocephalus_White-capped Redstart
Enicurus schistaceus_Slaty-backed Forktail
Gracupica contra_Asian Pied Starling
Pericrocotus solaris_Gray-chinned Minivet
Taenioptynx brodiei_Collared Owlet
Spilornis cheela_Crested Serpent-Eagle
Dicaeum ignipectus_Fire-breasted Flowerpecker
Ixos mcclellandii_Mountain Bulbul
Chloropsis hardwickii_Orange-bellied Leafbird
Heterophasia pulchella_Beautiful Sibia
Yuhina flavicollis_Whiskered Yuhina
Sitta nagaensis_Chestnut-vented Nuthatch
Psittacula alexandri_Red-breasted Parakeet
Motacilla cinerea_Gray Wagtail
Surniculus lugubris_Square-tailed Drongo-Cuckoo
Aethopyga saturata_Black-throated Sunbird
Aethopyga gouldiae_Mrs. Gould's Sunbird
Vanellus indicus_Red-wattled Lapwing
Saxicola maurus_Siberian Stonechat
Phylloscopus reguloides_Blyth's Leaf Warbler
Cacomantis merulinus_Plaintive Cuckoo
Phoenicurus frontalis_Blue-fronted Redstart
Enicurus leschenaulti_White-crowned Forktail
Megaceryle lugubris_Crested Kingfisher
Minla ignotincta_Red-tailed Minla
Eumyias thalassinus_Verditer Flycatcher
Dicrurus hottentottus_Hair-crested Drongo
Otus lettia_Collared Scops-Owl
Sturnia malabarica_Chestnut-tailed Starling
Melanochlora sultanea_Sultan Tit
Phylloscopus intermedius_White-spectacled Warbler
Brachypteryx leucophris_Lesser Shortwing
Muscicapa ferruginea_Ferruginous Flycatcher
Yuhina nigrimenta_Black-chinned Yuhina
Phylloscopus pulcher_Buff-barred Warbler
Chrysophlegma flavinucha_Greater Yellownape
Tesia olivea_Slaty-bellied Tesia
Phoenicurus auroreus_Daurian Redstart
Pteruthius aeralatus_Blyth's Shrike-Babbler
Psittacula krameri_Rose-ringed Parakeet
Monticola rufiventris_Chestnut-bellied Rock-Thrush
Oriolus xanthornus_Black-hooded Oriole
Yuhina occipitalis_Rufous-vented Yuhina
Niltava grandis_Large Niltava
Alcippe nipalensis_Nepal Fulvetta
Lioparus chrysotis_Golden-breasted Fulvetta
Ictinaetus malaiensis_Black Eagle
Actinodura strigula_Chestnut-tailed Minla
Pycnonotus xanthorrhous_Brown-breasted Bulbul
Monticola solitarius_Blue Rock-Thrush
Picus canus_Gray-headed Woodpecker
Muscicapa sibirica_Dark-sided Flycatcher
Pycnonotus jocosus_Red-whiskered Bulbul
Accipiter virgatus_Besra
Dicrurus macrocercus_Black Drongo
Pomatorhinus ruficollis_Streak-breasted Scimitar-Babbler
Dicrurus remifer_Lesser Racket-tailed Drongo
Enicurus maculatus_Spotted Forktail
Anthus roseatus_Rosy Pipit
Lonchura striata_White-rumped Munia
Microcarbo niger_Little Cormorant
Stachyris nigriceps_Gray-throated Babbler
Abroscopus albogularis_Rufous-faced Warbler
Aegithalos concinnus_Black-throated Tit
Yuhina gularis_Stripe-throated Yuhina
Emberiza pusilla_Little Bunting
Copsychus malabaricus_White-rumped Shama
Alcedo atthis_Common Kingfisher
Phylloscopus poliogenys_Gray-cheeked Warbler
Dicaeum minullum_Plain Flowerpecker
Gracula religiosa_Common Hill Myna
Mixornis gularis_Pin-striped Tit-Babbler
Garrulax leucolophus_White-crested Laughingthrush
Acridotheres grandis_Great Myna
Myiomela leucura_White-tailed Robin
Cypsiurus balasiensis_Asian Palm-Swift
Lonchura punctulata_Scaly-breasted Munia
Cinclus pallasii_Brown Dipper
Turdus obscurus_Eyebrowed Thrush
Anas platyrhynchos_Mallard
Ducula badia_Mountain Imperial-Pigeon
Cettia castaneocoronata_Chestnut-headed Tesia
Periparus ater_Coal Tit
Egretta garzetta_Little Egret
Pericrocotus ethologus_Long-tailed Minivet
Falco amurensis_Amur Falcon
Polyplectron bicalcaratum_Gray Peacock-Pheasant
Sylviparus modestus_Yellow-browed Tit
Ardea cinerea_Gray Heron
Caprimulgus jotaka_Gray Nightjar
Abroscopus schisticeps_Black-faced Warbler
Niltava macgrigoriae_Small Niltava
Parus minor_Japanese Tit
Rhyticeros undulatus_Wreathed Hornbill
Brachypteryx cruralis_Himalayan Shortwing
Chloropsis aurifrons_Golden-fronted Leafbird
Micropternus brachyurus_Rufous Woodpecker
Amaurornis phoenicurus_White-breasted Waterhen
Nisaetus nipalensis_Mountain Hawk-Eagle
Actinodura egertoni_Rusty-fronted Barwing
Passer cinnamomeus_Russet Sparrow
Cuculus poliocephalus_Lesser Cuckoo
Hierococcyx nisicolor_Hodgson's Hawk-Cuckoo
Tarsiger chrysaeus_Golden Bush-Robin
Niltava sundara_Rufous-bellied Niltava
Upupa epops_Eurasian Hoopoe
Ibidorhyncha struthersii_Ibisbill
Prunella strophiata_Rufous-breasted Accentor
Erpornis zantholeuca_White-bellied Erpornis
Ficedula westermanni_Little Pied Flycatcher
Ardea alba_Great Egret
Pyrrhula nipalensis_Brown Bullfinch
Picumnus innominatus_Speckled Piculet
Psilopogon franklinii_Golden-throated Barbet
Tarsiger rufilatus_Himalayan Bluetail
Horornis fortipes_Brownish-flanked Bush Warbler
Chalcophaps indica_Asian Emerald Dove
Leiothrix lutea_Red-billed Leiothrix
Phyllergates cucullatus_Mountain Tailorbird
Tadorna ferruginea_Ruddy Shelduck
Podiceps cristatus_Great Crested Grebe
Tarsiger indicus_White-browed Bush-Robin
Motacilla citreola_Citrine Wagtail
Pterorhinus pectoralis_Greater Necklaced Laughingthrush
Ficedula hyperythra_Snowy-browed Flycatcher
Circus cyaneus_Hen Harrier
Trochalopteron affine_Black-faced Laughingthrush
Phylloscopus magnirostris_Large-billed Leaf Warbler
Hemixos flavala_Ashy Bulbul
Lophura leucomelanos_Kalij Pheasant
Gallus gallus_Red Junglefowl
Heterophasia picaoides_Long-tailed Sibia
Hirundapus caudacutus_White-throated Needletail
Cyanoderma chrysaeum_Golden Babbler
Garrulus glandarius_Eurasian Jay
Procarduelis nipalensis_Dark-breasted Rosefinch
Cettia major_Chestnut-crowned Bush Warbler
Cisticola juncidis_Zitting Cisticola
Dendrocopos darjellensis_Darjeeling Woodpecker
Picus chlorolophus_Lesser Yellownape
Emberiza fucata_Chestnut-eared Bunting
Phylloscopus inornatus_Yellow-browed Warbler
Pycnonotus striatus_Striated Bulbul
Buceros bicornis_Great Hornbill
Dendrocopos hyperythrus_Rufous-bellied Woodpecker
Psarisomus dalhousiae_Long-tailed Broadbill
Delichon dasypus_Asian House-Martin
Cettia brunnifrons_Gray-sided Bush Warbler
Artamus fuscus_Ashy Woodswallow
Pellorneum ruficeps_Puff-throated Babbler
Turdus boulboul_Gray-winged Blackbird
Lophotriorchis kienerii_Rufous-bellied Eagle
Cochoa viridis_Green Cochoa
Cuculus saturatus_Himalayan Cuckoo
Megalurus palustris_Striated Grassbird
Carpodacus erythrinus_Common Rosefinch
Psittiparus gularis_Gray-headed Parrotbill
Ficedula tricolor_Slaty-blue Flycatcher
Nyctyornis athertoni_Blue-bearded Bee-eater
Charadrius dubius_Little Ringed Plover
Strix leptogrammica_Brown Wood-Owl
Aythya nyroca_Ferruginous Duck
Tephrodornis virgatus_Large Woodshrike
Anthracoceros albirostris_Oriental Pied-Hornbill
Erythrogenys gravivox_Black-streaked Scimitar-Babbler
Phoenicurus hodgsoni_Hodgson's Redstart
Anas zonorhyncha_Eastern Spot-billed Duck
Calliope tschebaiewi_Chinese Rubythroat
Pyrrhula erythaca_Gray-headed Bullfinch
Nycticorax nycticorax_Black-crowned Night-Heron
Cissa chinensis_Common Green-Magpie
Arborophila atrogularis_White-cheeked Partridge
Chroicocephalus ridibundus_Black-headed Gull
Strix nivicolum_Himalayan Owl
Buteo japonicus_Eastern Buzzard
Falco subbuteo_Eurasian Hobby
Arborophila rufogularis_Rufous-throated Partridge
Hemipus picatus_Bar-winged Flycatcher-shrike
Turdus eunomus_Dusky Thrush
Sasia ochracea_White-browed Piculet
Psilopogon haemacephalus_Coppersmith Barbet
Pteruthius xanthochlorus_Green Shrike-Babbler
Regulus regulus_Goldcrest
Abroscopus superciliaris_Yellow-bellied Warbler
Accipiter nisus_Eurasian Sparrowhawk
Ficedula hodgsoni_Pygmy Flycatcher
Chrysocolaptes guttacristatus_Greater Flameback
Fulica atra_Eurasian Coot
Dryobates cathpharius_Crimson-breasted Woodpecker
Phaenicophaeus tristis_Green-billed Malkoha
Actitis hypoleucos_Common Sandpiper
Tachybaptus ruficollis_Little Grebe
Saxicola stejnegeri_Amur Stonechat
Schoeniparus castaneceps_Rufous-winged Fulvetta
Cyornis unicolor_Pale Blue Flycatcher
Gallinula chloropus_Eurasian Moorhen
Turdus ruficollis_Red-throated Thrush
Treron curvirostra_Thick-billed Green-Pigeon
Charadrius placidus_Long-billed Plover
Dicrurus paradiseus_Greater Racket-tailed Drongo
Dicaeum cruentatum_Scarlet-backed Flowerpecker
Chloropsis cochinchinensis_Blue-winged Leafbird
Sitta frontalis_Velvet-fronted Nuthatch
Pterorhinus ruficollis_Rufous-necked Laughingthrush
Pluvialis fulva_Pacific Golden-Plover
Carpodacus sibiricus_Long-tailed Rosefinch
Garrulax monileger_Lesser Necklaced Laughingthrush
Prinia hodgsonii_Gray-breasted Prinia
Anser indicus_Bar-headed Goose
Emberiza lathami_Crested Bunting
Troglodytes troglodytes_Eurasian Wren
Spelaeornis troglodytoides_Bar-winged Wren-Babbler
Anastomus oscitans_Asian Openbill
Cacomantis sonneratii_Banded Bay Cuckoo
Irena puella_Asian Fairy-bluebird
Ardea intermedia_Intermediate Egret
Locustella mandelli_Russet Bush Warbler
Sturnus vulgaris_European Starling
Hypothymis azurea_Black-naped Monarch
Ardeola bacchus_Chinese Pond-Heron
Mycerobas affinis_Collared Grosbeak
Grammatoptila striata_Striated Laughingthrush
Turdus rubrocanus_Chestnut Thrush
Pomatorhinus ferruginosus_Coral-billed Scimitar-Babbler
Psilopogon duvaucelii_Blue-eared Barbet
Cecropis daurica_Red-rumped Swallow
Locustella thoracica_Spotted Bush Warbler
Pteruthius melanotis_Black-eared Shrike-Babbler
Pitta sordida_Hooded Pitta
Gampsorhynchus rufulus_White-hooded Babbler
Heterophasia desgodinsi_Black-headed Sibia
Nucifraga caryocatactes_Eurasian Nutcracker
Horornis flavolivaceus_Aberrant Bush Warbler
Leioptila annectens_Rufous-backed Sibia
Centropus bengalensis_Lesser Coucal
Trochalopteron squamatum_Blue-winged Laughingthrush
Phylloscopus fuscatus_Dusky Warbler
Tesia cyaniventer_Gray-bellied Tesia
Phylloscopus cantator_Yellow-vented Warbler
Vanellus cinereus_Gray-headed Lapwing
Aethopyga ignicauda_Fire-tailed Sunbird
Lanius cristatus_Brown Shrike
Otus spilocephalus_Mountain Scops-Owl
Prunella collaris_Alpine Accentor
Scolopax rusticola_Eurasian Woodcock
Cuculus canorus_Common Cuckoo
Merops philippinus_Blue-tailed Bee-eater
Pomatorhinus superciliaris_Slender-billed Scimitar-Babbler
Aethopyga siparaja_Crimson Sunbird
Cyornis poliogenys_Pale-chinned Blue Flycatcher
Aegithalos iouschistos_Black-browed Tit
Emberiza spodocephala_Black-faced Bunting
Turdus dissimilis_Black-breasted Thrush
Tringa glareola_Wood Sandpiper
Arborophila torqueola_Hill Partridge
Anas poecilorhyncha_Indian Spot-billed Duck
Cholornis unicolor_Brown Parrotbill
Elachura formosa_Spotted Elachura
Rubigula flaviventris_Black-crested Bulbul
Alauda gulgula_Oriental Skylark
Cisticola exilis_Golden-headed Cisticola
Mareca penelope_Eurasian Wigeon
