Drepanis coccinea_Iiwi
Myadestes obscurus_Omao
Leiothrix lutea_Red-billed Leiothrix
Chasiempis sandwichensis_Hawaii Elepaio
Chlorodrepanis virens_Hawaii Amakihi
Himatione sanguinea_Apapane
Haemorhous mexicanus_House Finch
Zosterops japonicus_Warbling White-eye
Cathartes aura_Turkey Vulture
Larus occidentalis_Western Gull
Sayornis nigricans_Black Phoebe
Larus californicus_California Gull
Melospiza melodia_Song Sparrow
Zonotrichia leucophrys_White-crowned Sparrow
Loxops mana_Hawaii Creeper
Ardenna grisea_Sooty Shearwater
Poecile rufescens_Chestnut-backed Chickadee
Passer domesticus_House Sparrow
Ardenna bulleri_Buller's Shearwater
Sturnus vulgaris_European Starling
Corvus brachyrhynchos_American Crow
Loxops coccineus_Hawaii Akepa
Buteo solitarius_Hawaiian Hawk
Calypte anna_Anna's Hummingbird
Phalaropus fulicarius_Red Phalarope
Junco hyemalis_Dark-eyed Junco
Geopelia striata_Zebra Dove
Psaltriparus minimus_Bushtit
Zonotrichia atricapilla_Golden-crowned Sparrow
Euphagus cyanocephalus_Brewer's Blackbird
Branta sandvicensis_Hawaiian Goose
Cardinalis cardinalis_Northern Cardinal
Nannopterum auritum_Double-crested Cormorant
Lonchura punctulata_Scaly-breasted Munia
Ardenna creatopus_Pink-footed Shearwater
Pipilo maculatus_Spotted Towhee
Setophaga coronata_Yellow-rumped Warbler
Lophura leucomelanos_Kalij Pheasant
Streptopelia chinensis_Spotted Dove
Buteo jamaicensis_Red-tailed Hawk
Pelecanus occidentalis_Brown Pelican
Xema sabini_Sabine's Gull
Anas platyrhynchos_Mallard
Uria aalge_Common Murre
Melozone crissalis_California Towhee
Crithagra mozambica_Yellow-fronted Canary
Acridotheres tristis_Common Myna
Fulmarus glacialis_Northern Fulmar
Hemignathus wilsoni_Akiapolaau
Hirundo rustica_Barn Swallow
Pluvialis fulva_Pacific Golden-Plover
Aphelocoma californica_California Scrub-Jay
Phalaropus lobatus_Red-necked Phalarope
Chamaea fasciata_Wrentit
Phoebastria nigripes_Black-footed Albatross
Sicalis flaveola_Saffron Finch
Phasianus colchicus_Ring-necked Pheasant
Paroaria capitata_Yellow-billed Cardinal
Setophaga townsendi_Townsend's Warbler
Agelaius phoeniceus_Red-winged Blackbird
Pternistis erckelii_Erckel's Francolin
Colaptes auratus_Northern Flicker
Podilymbus podiceps_Pied-billed Grebe
Ardea herodias_Great Blue Heron
Buteo lineatus_Red-shouldered Hawk
Nycticorax nycticorax_Black-crowned Night-Heron
Callipepla californica_California Quail
Sterna paradisaea_Arctic Tern
Charadrius vociferus_Killdeer
Thryomanes bewickii_Bewick's Wren
Tringa incana_Wandering Tattler
Fulica americana_American Coot
Cardellina pusilla_Wilson's Warbler
Columba livia_Rock Pigeon
Oxyura jamaicensis_Ruddy Duck
Corthylio calendula_Ruby-crowned Kinglet
Bubulcus ibis_Cattle Egret
Stercorarius pomarinus_Pomarine Jaeger
Horornis diphone_Japanese Bush Warbler
Garrulax canorus_Chinese Hwamei
Spatula cyanoptera_Cinnamon Teal
Turdus migratorius_American Robin
Empidonax difficilis_Pacific-slope Flycatcher
Streptopelia decaocto_Eurasian Collared-Dove
Hydroprogne caspia_Caspian Tern
Aechmophorus occidentalis_Western Grebe
Geothlypis trichas_Common Yellowthroat
Passerella iliaca_Fox Sparrow
Spinus tristis_American Goldfinch
Arenaria interpres_Ruddy Turnstone
Haemorhous purpureus_Purple Finch
Sialia mexicana_Western Bluebird
Sturnella neglecta_Western Meadowlark
Corvus corax_Common Raven
Melanitta perspicillata_Surf Scoter
Catharus guttatus_Hermit Thrush
Alauda arvensis_Eurasian Skylark
Anous minutus_Black Noddy
Tachycineta bicolor_Tree Swallow
Passerculus sandwichensis_Savannah Sparrow
Falco sparverius_American Kestrel
Vireo huttoni_Hutton's Vireo
Sitta pygmaea_Pygmy Nuthatch
Petrochelidon pyrrhonota_Cliff Swallow
Larus argentatus_Herring Gull
Dryobates nuttallii_Nuttall's Woodpecker
Lonchura atricapilla_Chestnut Munia
Leiothlypis celata_Orange-crowned Warbler
Fulica alai_Hawaiian Coot
Anthus rubescens_American Pipit
Melanerpes formicivorus_Acorn Woodpecker
Spinus psaltria_Lesser Goldfinch
Stercorarius longicaudus_Long-tailed Jaeger
Podiceps nigricollis_Eared Grebe
Spatula clypeata_Northern Shoveler
Asio flammeus_Short-eared Owl
Meleagris gallopavo_Wild Turkey
Larus heermanni_Heermann's Gull
Catharus ustulatus_Swainson's Thrush
Mareca strepera_Gadwall
Cistothorus palustris_Marsh Wren
Cyanocitta stelleri_Steller's Jay
Himantopus mexicanus_Black-necked Stilt
Haematopus bachmani_Black Oystercatcher
Toxostoma redivivum_California Thrasher
Zenaida macroura_Mourning Dove
Selasphorus sasin_Allen's Hummingbird
Hydrobates leucorhous_Leach's Storm-Petrel
Stercorarius parasiticus_Parasitic Jaeger
Mimus polyglottos_Northern Mockingbird
Melospiza lincolnii_Lincoln's Sparrow
Bombycilla cedrorum_Cedar Waxwing
Calidris alba_Sanderling
Paroreomyza montana_Maui Alauahio
Pluvialis squatarola_Black-bellied Plover
Dryobates pubescens_Downy Woodpecker
Gavia pacifica_Pacific Loon
Bucephala albeola_Bufflehead
Aythya affinis_Lesser Scaup
Falco peregrinus_Peregrine Falcon
Molothrus ater_Brown-headed Cowbird
Ardea alba_Great Egret
Pheucticus melanocephalus_Black-headed Grosbeak
Estrilda astrild_Common Waxbill
Patagioenas fasciata_Band-tailed Pigeon
Tachycineta thalassina_Violet-green Swallow
Vireo gilvus_Warbling Vireo
Setophaga petechia_Yellow Warbler
Sayornis saya_Say's Phoebe
Tyto alba_Barn Owl
Larus delawarensis_Ring-billed Gull
Charadrius semipalmatus_Semipalmated Plover
Calidris minutilla_Least Sandpiper
Gallinula galeata_Common Gallinule
Troglodytes pacificus_Pacific Wren
Baeolophus inornatus_Oak Titmouse
Circus hudsonius_Northern Harrier
Larus glaucescens_Glaucous-winged Gull
Calidris mauri_Western Sandpiper
Numenius phaeopus_Whimbrel
Gavia stellata_Red-throated Loon
