Acridotheres tristis_Common Myna
Erythrogenys gravivox_Black-streaked Scimitar-Babbler
Ianthocincla maxima_Giant Laughingthrush
Carpodacus dubius_Chinese White-browed Rosefinch
Trochalopteron elliotii_Elliot's Laughingthrush
Parus minor_Japanese Tit
Trochalopteron henrici_Prince Henry's Laughingthrush
Urocynchramus pylzowi_Przevalski's Pinktail
Spelaeornis troglodytoides_Bar-winged Wren-Babbler
Montifringilla taczanowskii_White-rumped Snowfinch
Poecile weigoldicus_Sichuan Tit
Carpodacus rubicilla_Great Rosefinch
Corvus macrorhynchos_Large-billed Crow
Sitta nagaensis_Chestnut-vented Nuthatch
Melanocorypha maxima_Tibetan Lark
Pica bottanensis_Black-rumped Magpie
Psittiparus gularis_Gray-headed Parrotbill
Myophonus caeruleus_Blue Whistling-Thrush
Sitta yunnanensis_Yunnan Nuthatch
Pyrrhula erythaca_Gray-headed Bullfinch
Carpodacus rubicilloides_Streaked Rosefinch
Pseudopodoces humilis_Ground Tit
Actinodura waldeni_Streak-throated Barwing
Pycnonotus xanthorrhous_Brown-breasted Bulbul
Brachypteryx hyperythra_Rusty-bellied Shortwing
Aegithalos iouschistos_Black-browed Tit
Locustella luteoventris_Brown Bush Warbler
Lioparus chrysotis_Golden-breasted Fulvetta
Phoenicurus auroreus_Daurian Redstart
Heterophasia pulchella_Beautiful Sibia
Leptopoecile sophiae_White-browed Tit-Warbler
Calliope pectardens_Firethroat
Conostoma aemodium_Great Parrotbill
Cholornis unicolor_Brown Parrotbill
Napothera epilepidota_Eyebrowed Wren-Babbler
Enicurus leschenaulti_White-crowned Forktail
Pycnonotus cafer_Red-vented Bulbul
Motacilla alba_White Wagtail
Minla ignotincta_Red-tailed Minla
Ithaginis cruentus_Blood Pheasant
Anas zonorhyncha_Eastern Spot-billed Duck
Calliope tschebaiewi_Chinese Rubythroat
Ficedula hyperythra_Snowy-browed Flycatcher
Dendrocopos darjellensis_Darjeeling Woodpecker
Serinus pusillus_Fire-fronted Serin
Harpactes erythrocephalus_Red-headed Trogon
Phylloscopus armandii_Yellow-streaked Warbler
Emberiza godlewskii_Godlewski's Bunting
Tetraogallus tibetanus_Tibetan Snowcock
Troglodytes troglodytes_Eurasian Wren
Cacomantis merulinus_Plaintive Cuckoo
Yuhina nigrimenta_Black-chinned Yuhina
Schoeniparus cinereus_Yellow-throated Fulvetta
Abroscopus albogularis_Rufous-faced Warbler
Chrysophlegma flavinucha_Greater Yellownape
Trochalopteron affine_Black-faced Laughingthrush
Pteruthius aeralatus_Blyth's Shrike-Babbler
Stachyris nigriceps_Gray-throated Babbler
Dryobates cathpharius_Crimson-breasted Woodpecker
Abroscopus superciliaris_Yellow-bellied Warbler
Dicaeum cruentatum_Scarlet-backed Flowerpecker
Sasia ochracea_White-browed Piculet
Tickellia hodgsoni_Broad-billed Warbler
Pteruthius rufiventer_Black-headed Shrike-Babbler
Ficedula westermanni_Little Pied Flycatcher
Alaudala cheleensis_Asian Short-toed Lark
Phalacrocorax carbo_Great Cormorant
Arborophila mandellii_Chestnut-breasted Partridge
Ardea cinerea_Gray Heron
Prunella rubeculoides_Robin Accentor
Pericrocotus solaris_Gray-chinned Minivet
Yuhina occipitalis_Rufous-vented Yuhina
Phoenicurus ochruros_Black Redstart
Cissa chinensis_Common Green-Magpie
Phylloscopus intermedius_White-spectacled Warbler
Locustella mandelli_Russet Bush Warbler
Ardeola bacchus_Chinese Pond-Heron
Corvus corax_Common Raven
Phoenicurus leucocephalus_White-capped Redstart
Cochoa viridis_Green Cochoa
Napothera malacoptila_Long-billed Wren-Babbler
Phoenicurus hodgsoni_Hodgson's Redstart
Alcippe nipalensis_Nepal Fulvetta
Otus lettia_Collared Scops-Owl
Falco tinnunculus_Eurasian Kestrel
Myiomela leucura_White-tailed Robin
Pyrrhula nipalensis_Brown Bullfinch
Certhia discolor_Sikkim Treecreeper
Carpodacus sibiricus_Long-tailed Rosefinch
Grus nigricollis_Black-necked Crane
Pterorhinus ruficollis_Rufous-necked Laughingthrush
Turdus ruficollis_Red-throated Thrush
Strix nivicolum_Himalayan Owl
Erpornis zantholeuca_White-bellied Erpornis
Fulvetta vinipectus_White-browed Fulvetta
Phylloscopus maculipennis_Ashy-throated Warbler
Saxicola stejnegeri_Amur Stonechat
Charadrius placidus_Long-billed Plover
Ficedula hodgsoni_Pygmy Flycatcher
Emberiza spodocephala_Black-faced Bunting
Mycerobas affinis_Collared Grosbeak
Cinclus pallasii_Brown Dipper
Parus monticolus_Green-backed Tit
Brachypteryx cruralis_Himalayan Shortwing
Pnoepyga pusilla_Pygmy Cupwing
Pomatorhinus ruficollis_Streak-breasted Scimitar-Babbler
Phyllergates cucullatus_Mountain Tailorbird
Macropygia unchall_Barred Cuckoo-Dove
Yuhina gularis_Stripe-throated Yuhina
Ianthocincla ocellata_Spotted Laughingthrush
Montifringilla blanfordi_Blanford's Snowfinch
Surniculus lugubris_Square-tailed Drongo-Cuckoo
Garrulus glandarius_Eurasian Jay
Hemixos flavala_Ashy Bulbul
Rhipidura albicollis_White-throated Fantail
Machlolophus spilonotus_Yellow-cheeked Tit
Harpactes wardi_Ward's Trogon
Arachnothera magna_Streaked Spiderhunter
Ibidorhyncha struthersii_Ibisbill
Prunella fulvescens_Brown Accentor
Pyrrhocorax graculus_Yellow-billed Chough
Corvus dauuricus_Daurian Jackdaw
Dendrocitta formosae_Gray Treepie
Lophura leucomelanos_Kalij Pheasant
Blythipicus pyrrhotis_Bay Woodpecker
Anas platyrhynchos_Mallard
Trochalopteron subunicolor_Scaly Laughingthrush
Abroscopus schisticeps_Black-faced Warbler
Carduelis carduelis_European Goldfinch
Actinodura strigula_Chestnut-tailed Minla
Tesia olivea_Slaty-bellied Tesia
Gallinago megala_Swinhoe's Snipe
Tarsiger indicus_White-browed Bush-Robin
Aegithalos concinnus_Black-throated Tit
Pteruthius xanthochlorus_Green Shrike-Babbler
Caprimulgus jotaka_Gray Nightjar
Brachypteryx leucophris_Lesser Shortwing
Cuculus canorus_Common Cuckoo
Sylviparus modestus_Yellow-browed Tit
Anas poecilorhyncha_Indian Spot-billed Duck
Lonchura punctulata_Scaly-breasted Munia
Lonchura striata_White-rumped Munia
Locustella thoracica_Spotted Bush Warbler
Motacilla cinerea_Gray Wagtail
Psarisomus dalhousiae_Long-tailed Broadbill
Leiothrix argentauris_Silver-eared Mesia
Cyanoderma ruficeps_Rufous-capped Babbler
Hemipus picatus_Bar-winged Flycatcher-shrike
Accipiter trivirgatus_Crested Goshawk
Lophophanes dichrous_Gray-crested Tit
Liocichla phoenicea_Red-faced Liocichla
Trochalopteron lineatum_Streaked Laughingthrush
Cyornis unicolor_Pale Blue Flycatcher
Orthotomus sutorius_Common Tailorbird
Tarsiger rufilatus_Himalayan Bluetail
Upupa epops_Eurasian Hoopoe
Enicurus schistaceus_Slaty-backed Forktail
Dicrurus aeneus_Bronzed Drongo
Cutia nipalensis_Himalayan Cutia
Chroicocephalus ridibundus_Black-headed Gull
Ixos mcclellandii_Mountain Bulbul
Trochalopteron variegatum_Variegated Laughingthrush
Pericrocotus speciosus_Scarlet Minivet
Chalcophaps indica_Asian Emerald Dove
Psilopogon virens_Great Barbet
Delichon urbicum_Common House-Martin
Tringa nebularia_Common Greenshank
Cinnyris asiaticus_Purple Sunbird
Tringa totanus_Common Redshank
Aethopyga saturata_Black-throated Sunbird
Hirundo rustica_Barn Swallow
Cettia castaneocoronata_Chestnut-headed Tesia
Actitis hypoleucos_Common Sandpiper
Pycnonotus leucogenys_Himalayan Bulbul
