Drepanis coccinea_Iiwi
Zosterops japonicus_Warbling White-eye
Himatione sanguinea_Apapane
Chlorodrepanis virens_Hawaii Amakihi
Leiothrix lutea_Red-billed Leiothrix
Haemorhous mexicanus_House Finch
Paroreomyza montana_Maui Alauahio
Passer domesticus_House Sparrow
Cardinalis cardinalis_Northern Cardinal
Myadestes obscurus_Omao
Phasianus colchicus_Ring-necked Pheasant
Chasiempis sandwichensis_Hawaii Elepaio
Acridotheres tristis_Common Myna
Horornis diphone_Japanese Bush Warbler
Branta sandvicensis_Hawaiian Goose
Streptopelia chinensis_Spotted Dove
Loxops mana_Hawaii Creeper
Geopelia striata_Zebra Dove
Lonchura punctulata_Scaly-breasted Munia
Loxops coccineus_Hawaii Akepa
Garrulax canorus_Chinese Hwamei
Pluvialis fulva_Pacific Golden-Plover
Palmeria dolei_Akohekohe
Lophura leucomelanos_Kalij Pheasant
Buteo solitarius_Hawaiian Hawk
Phalaropus fulicarius_Red Phalarope
Lonchura atricapilla_Chestnut Munia
Hemignathus wilsoni_Akiapolaau
Asio flammeus_Short-eared Owl
Ardenna bulleri_Buller's Shearwater
Fulica alai_Hawaiian Coot
Sicalis flaveola_Saffron Finch
Ardenna grisea_Sooty Shearwater
Phoebastria nigripes_Black-footed Albatross
Tringa incana_Wandering Tattler
Paroaria coronata_Red-crested Cardinal
Ardenna creatopus_Pink-footed Shearwater
Alauda arvensis_Eurasian Skylark
Columba livia_Rock Pigeon
Paroaria capitata_Yellow-billed Cardinal
Pternistis erckelii_Erckel's Francolin
Zonotrichia atricapilla_Golden-crowned Sparrow
Sterna paradisaea_Arctic Tern
Phalaropus lobatus_Red-necked Phalarope
Nycticorax nycticorax_Black-crowned Night-Heron
Sturnus vulgaris_European Starling
Passerella iliaca_Fox Sparrow
Uria aalge_Common Murre
Zonotrichia leucophrys_White-crowned Sparrow
Anous minutus_Black Noddy
Melospiza melodia_Song Sparrow
Callipepla californica_California Quail
Bubulcus ibis_Cattle Egret
Fulmarus glacialis_Northern Fulmar
Cathartes aura_Turkey Vulture
Junco hyemalis_Dark-eyed Junco
Sturnella neglecta_Western Meadowlark
Meleagris gallopavo_Wild Turkey
Pseudonestor xanthophrys_Maui Parrotbill
Buteo regalis_Ferruginous Hawk
Arenaria interpres_Ruddy Turnstone
Poecile rufescens_Chestnut-backed Chickadee
Cyanocitta stelleri_Steller's Jay
Xema sabini_Sabine's Gull
Pterodroma sandwichensis_Hawaiian Petrel
Crithagra mozambica_Yellow-fronted Canary
Larus californicus_California Gull
Spinus tristis_American Goldfinch
Francolinus francolinus_Black Francolin
Turdus migratorius_American Robin
Cardellina pusilla_Wilson's Warbler
Colaptes auratus_Northern Flicker
Hydroprogne caspia_Caspian Tern
Melanitta perspicillata_Surf Scoter
Amandava amandava_Red Avadavat
Anas platyrhynchos_Mallard
Stercorarius pomarinus_Pomarine Jaeger
Spinus pinus_Pine Siskin
Anthus rubescens_American Pipit
Gavia pacifica_Pacific Loon
Larus argentatus_Herring Gull
Catharus ustulatus_Swainson's Thrush
Passerculus sandwichensis_Savannah Sparrow
Psittacula krameri_Rose-ringed Parakeet
Hirundo rustica_Barn Swallow
Nannopterum auritum_Double-crested Cormorant
Leiothlypis celata_Orange-crowned Warbler
Troglodytes pacificus_Pacific Wren
Setophaga coronata_Yellow-rumped Warbler
Buteo jamaicensis_Red-tailed Hawk
Selasphorus sasin_Allen's Hummingbird
Catharus guttatus_Hermit Thrush
Padda oryzivora_Java Sparrow
Pavo cristatus_Indian Peafowl
Stercorarius longicaudus_Long-tailed Jaeger
Gallinula galeata_Common Gallinule
Patagioenas fasciata_Band-tailed Pigeon
Setophaga townsendi_Townsend's Warbler
Phaethon lepturus_White-tailed Tropicbird
Himantopus mexicanus_Black-necked Stilt
Ortygornis pondicerianus_Gray Francolin
Mimus polyglottos_Northern Mockingbird
Bombycilla cedrorum_Cedar Waxwing
Ixoreus naevius_Varied Thrush
Empidonax difficilis_Pacific-slope Flycatcher
Estrilda astrild_Common Waxbill
Tachycineta bicolor_Tree Swallow
Gavia stellata_Red-throated Loon
Spatula clypeata_Northern Shoveler
Gavia immer_Common Loon
Molothrus ater_Brown-headed Cowbird
Haematopus bachmani_Black Oystercatcher
Pluvialis squatarola_Black-bellied Plover
Vireo gilvus_Warbling Vireo
Corvus corax_Common Raven
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Hydrobates leucorhous_Leach's Storm-Petrel
Larus occidentalis_Western Gull
Ardea herodias_Great Blue Heron
Sitta pygmaea_Pygmy Nuthatch
Falco peregrinus_Peregrine Falcon
Lophodytes cucullatus_Hooded Merganser
Mergus serrator_Red-breasted Merganser
Calidris alba_Sanderling
Cepphus columba_Pigeon Guillemot
Melospiza lincolnii_Lincoln's Sparrow
Megaceryle alcyon_Belted Kingfisher
Tachycineta thalassina_Violet-green Swallow
Larus glaucescens_Glaucous-winged Gull
Dryobates pubescens_Downy Woodpecker
Mareca strepera_Gadwall
Agelaius phoeniceus_Red-winged Blackbird
Larus glaucoides_Iceland Gull
