Cardinalis cardinalis_Northern Cardinal
Junco hyemalis_Dark-eyed Junco
Zenaida macroura_Mourning Dove
Turdus migratorius_American Robin
Molothrus ater_Brown-headed Cowbird
Agelaius phoeniceus_Red-winged Blackbird
Colaptes auratus_Northern Flicker
Cathartes aura_Turkey Vulture
Spinus tristis_American Goldfinch
Buteo jamaicensis_Red-tailed Hawk
Spiza americana_Dickcissel
Setophaga coronata_Yellow-rumped Warbler
Cyanocitta cristata_Blue Jay
Hirundo rustica_Barn Swallow
Charadrius vociferus_Killdeer
Melanerpes carolinus_Red-bellied Woodpecker
Quiscalus quiscula_Common Grackle
Sturnus vulgaris_European Starling
Ardea herodias_Great Blue Heron
Branta canadensis_Canada Goose
Passer domesticus_House Sparrow
Melospiza melodia_Song Sparrow
Streptopelia decaocto_Eurasian Collared-Dove
Tyrannus tyrannus_Eastern Kingbird
Dryobates pubescens_Downy Woodpecker
Corvus brachyrhynchos_American Crow
Zonotrichia leucophrys_White-crowned Sparrow
Spatula discors_Blue-winged Teal
Anas platyrhynchos_Mallard
Sturnella magna_Eastern Meadowlark
Spizella passerina_Chipping Sparrow
Falco sparverius_American Kestrel
Myiarchus crinitus_Great Crested Flycatcher
Sialia sialis_Eastern Bluebird
Zonotrichia querula_Harris's Sparrow
Mareca strepera_Gadwall
Spatula clypeata_Northern Shoveler
Icterus galbula_Baltimore Oriole
Sayornis phoebe_Eastern Phoebe
Haemorhous mexicanus_House Finch
Colinus virginianus_Northern Bobwhite
Passerina cyanea_Indigo Bunting
Fulica americana_American Coot
Petrochelidon pyrrhonota_Cliff Swallow
Nannopterum auritum_Double-crested Cormorant
Melanerpes erythrocephalus_Red-headed Woodpecker
Podilymbus podiceps_Pied-billed Grebe
Mimus polyglottos_Northern Mockingbird
Tyrannus forficatus_Scissor-tailed Flycatcher
Coccyzus americanus_Yellow-billed Cuckoo
Chondestes grammacus_Lark Sparrow
Tyrannus verticalis_Western Kingbird
Circus hudsonius_Northern Harrier
Toxostoma rufum_Brown Thrasher
Sitta carolinensis_White-breasted Nuthatch
Sturnella neglecta_Western Meadowlark
Thryothorus ludovicianus_Carolina Wren
Anser caerulescens_Snow Goose
Anas crecca_Green-winged Teal
Vireo gilvus_Warbling Vireo
Ictinia mississippiensis_Mississippi Kite
Setophaga petechia_Yellow Warbler
Eremophila alpestris_Horned Lark
Haliaeetus leucocephalus_Bald Eagle
Polioptila caerulea_Blue-gray Gnatcatcher
Icterus spurius_Orchard Oriole
Chordeiles minor_Common Nighthawk
Spizella pusilla_Field Sparrow
Larus delawarensis_Ring-billed Gull
Troglodytes aedon_House Wren
Aythya collaris_Ring-necked Duck
Branta hutchinsii_Cackling Goose
