Cathartes aura_Turkey Vulture
Zonotrichia leucophrys_White-crowned Sparrow
Melospiza melodia_Song Sparrow
Junco hyemalis_Dark-eyed Junco
Cyanocitta stelleri_Steller's Jay
Poecile rufescens_Chestnut-backed Chickadee
Colaptes auratus_Northern Flicker
Corvus corax_Common Raven
Sayornis nigricans_Black Phoebe
Cardellina pusilla_Wilson's Warbler
Zonotrichia atricapilla_Golden-crowned Sparrow
Turdus migratorius_American Robin
Hirundo rustica_Barn Swallow
Haemorhous mexicanus_House Finch
Uria aalge_Common Murre
Catharus ustulatus_Swainson's Thrush
Corvus brachyrhynchos_American Crow
Corthylio calendula_Ruby-crowned Kinglet
Empidonax difficilis_Pacific-slope Flycatcher
Buteo jamaicensis_Red-tailed Hawk
Chamaea fasciata_Wrentit
Larus occidentalis_Western Gull
Larus californicus_California Gull
Passerella iliaca_Fox Sparrow
Patagioenas fasciata_Band-tailed Pigeon
Passerculus sandwichensis_Savannah Sparrow
Phoebastria nigripes_Black-footed Albatross
Setophaga coronata_Yellow-rumped Warbler
Sturnus vulgaris_European Starling
Sialia mexicana_Western Bluebird
Catharus guttatus_Hermit Thrush
Bombycilla cedrorum_Cedar Waxwing
Leiothlypis celata_Orange-crowned Warbler
Nannopterum auritum_Double-crested Cormorant
Melanitta perspicillata_Surf Scoter
Cepphus columba_Pigeon Guillemot
Spinus tristis_American Goldfinch
Pheucticus melanocephalus_Black-headed Grosbeak
Spinus pinus_Pine Siskin
Bucephala albeola_Bufflehead
Phalaropus lobatus_Red-necked Phalarope
Fulmarus glacialis_Northern Fulmar
Ardenna creatopus_Pink-footed Shearwater
Tachycineta bicolor_Tree Swallow
Calypte anna_Anna's Hummingbird
Ardenna grisea_Sooty Shearwater
Larus glaucescens_Glaucous-winged Gull
Anas platyrhynchos_Mallard
Anthus rubescens_American Pipit
Megaceryle alcyon_Belted Kingfisher
Sterna paradisaea_Arctic Tern
Buteo lineatus_Red-shouldered Hawk
Passer domesticus_House Sparrow
Haematopus bachmani_Black Oystercatcher
Troglodytes pacificus_Pacific Wren
Ardea herodias_Great Blue Heron
Tachycineta thalassina_Violet-green Swallow
Molothrus ater_Brown-headed Cowbird
Pelecanus occidentalis_Brown Pelican
Branta canadensis_Canada Goose
Larus argentatus_Herring Gull
Charadrius vociferus_Killdeer
Petrochelidon pyrrhonota_Cliff Swallow
Mergus serrator_Red-breasted Merganser
Regulus satrapa_Golden-crowned Kinglet
Vireo gilvus_Warbling Vireo
Phalaropus fulicarius_Red Phalarope
Xema sabini_Sabine's Gull
Setophaga townsendi_Townsend's Warbler
Dryobates pubescens_Downy Woodpecker
Gavia immer_Common Loon
Ardenna bulleri_Buller's Shearwater
Leiothrix lutea_Red-billed Leiothrix
Mareca americana_American Wigeon
Buteo regalis_Ferruginous Hawk
Melospiza lincolnii_Lincoln's Sparrow
Chaetura vauxi_Vaux's Swift
Ixoreus naevius_Varied Thrush
Gavia pacifica_Pacific Loon
Callipepla californica_California Quail
Drepanis coccinea_Iiwi
Calidris minutilla_Least Sandpiper
Streptopelia decaocto_Eurasian Collared-Dove
Haemorhous purpureus_Purple Finch
Spinus psaltria_Lesser Goldfinch
Agelaius phoeniceus_Red-winged Blackbird
Vireo huttoni_Hutton's Vireo
Stercorarius pomarinus_Pomarine Jaeger
Tringa melanoleuca_Greater Yellowlegs
Euphagus cyanocephalus_Brewer's Blackbird
Aechmophorus occidentalis_Western Grebe
Larus brachyrhynchus_Short-billed Gull
Thryomanes bewickii_Bewick's Wren
Mergus merganser_Common Merganser
Pipilo maculatus_Spotted Towhee
Falco sparverius_American Kestrel
Circus hudsonius_Northern Harrier
Hydroprogne caspia_Caspian Tern
Anas crecca_Green-winged Teal
Spatula clypeata_Northern Shoveler
Sitta canadensis_Red-breasted Nuthatch
Calidris mauri_Western Sandpiper
Rissa tridactyla_Black-legged Kittiwake
Gavia stellata_Red-throated Loon
Ardea alba_Great Egret
Piranga ludoviciana_Western Tanager
Mareca strepera_Gadwall
Podilymbus podiceps_Pied-billed Grebe
Psaltriparus minimus_Bushtit
Anas acuta_Northern Pintail
Podiceps auritus_Horned Grebe
Falco peregrinus_Peregrine Falcon
Stercorarius longicaudus_Long-tailed Jaeger
Branta hutchinsii_Cackling Goose
Dendragapus fuliginosus_Sooty Grouse
Sphyrapicus ruber_Red-breasted Sapsucker
Lophodytes cucullatus_Hooded Merganser
Charadrius semipalmatus_Semipalmated Plover
Aythya marila_Greater Scaup
Bucephala clangula_Common Goldeneye
Hydrobates leucorhous_Leach's Storm-Petrel
Sturnella neglecta_Western Meadowlark
Cardinalis cardinalis_Northern Cardinal
Haliaeetus leucocephalus_Bald Eagle
Aphelocoma californica_California Scrub-Jay
Arenaria melanocephala_Black Turnstone
Phasianus colchicus_Ring-necked Pheasant
