Sturnus vulgaris_European Starling
Larus argentatus_Herring Gull
Sterna hirundo_Common Tern
Passer domesticus_House Sparrow
Columba livia_Rock Pigeon
Junco hyemalis_Dark-eyed Junco
Corvus brachyrhynchos_American Crow
Spinus tristis_American Goldfinch
Arenaria interpres_Ruddy Turnstone
Numenius phaeopus_Whimbrel
Larus marinus_Great Black-backed Gull
Anas rubripes_American Black Duck
Turdus migratorius_American Robin
Poecile atricapillus_Black-capped Chickadee
Larus delawarensis_Ring-billed Gull
Sylvia atricapilla_Eurasian Blackcap
Cyanocitta cristata_Blue Jay
Setophaga coronata_Yellow-rumped Warbler
Anas platyrhynchos_Mallard
Erithacus rubecula_European Robin
Anas crecca_Green-winged Teal
Columba palumbus_Common Wood-Pigeon
Fringilla coelebs_Common Chaffinch
Cepphus grylle_Black Guillemot
Turdus merula_Eurasian Blackbird
Melospiza melodia_Song Sparrow
Colaptes auratus_Northern Flicker
Larus glaucoides_Iceland Gull
Motacilla cinerea_Gray Wagtail
Calidris alba_Sanderling
Melospiza georgiana_Swamp Sparrow
Poecile hudsonicus_Boreal Chickadee
Aythya marila_Greater Scaup
Anas acuta_Northern Pintail
Haliaeetus leucocephalus_Bald Eagle
Gavia immer_Common Loon
Charadrius hiaticula_Common Ringed Plover
Larus michahellis_Yellow-legged Gull
Tachycineta bicolor_Tree Swallow
Serinus canaria_Island Canary
Pluvialis squatarola_Black-bellied Plover
Calonectris diomedea_Cory's Shearwater
Setophaga petechia_Yellow Warbler
Mareca americana_American Wigeon
Chroicocephalus ridibundus_Black-headed Gull
Clangula hyemalis_Long-tailed Duck
Corvus corax_Common Raven
Setophaga striata_Blackpoll Warbler
Rissa tridactyla_Black-legged Kittiwake
Bombycilla cedrorum_Cedar Waxwing
Regulus regulus_Goldcrest
Gallinago delicata_Wilson's Snipe
Passerculus sandwichensis_Savannah Sparrow
Megaceryle alcyon_Belted Kingfisher
Aythya fuligula_Tufted Duck
Plectrophenax nivalis_Snow Bunting
Tringa melanoleuca_Greater Yellowlegs
Mareca penelope_Eurasian Wigeon
Larus hyperboreus_Glaucous Gull
Regulus satrapa_Golden-crowned Kinglet
Egretta garzetta_Little Egret
Sterna dougallii_Roseate Tern
Calidris fuscicollis_White-rumped Sandpiper
Nannopterum auritum_Double-crested Cormorant
Somateria mollissima_Common Eider
Aythya collaris_Ring-necked Duck
Mniotilta varia_Black-and-white Warbler
Zonotrichia albicollis_White-throated Sparrow
Passerella iliaca_Fox Sparrow
Haemorhous purpureus_Purple Finch
Calidris maritima_Purple Sandpiper
Actitis macularius_Spotted Sandpiper
Bubo scandiacus_Snowy Owl
Pandion haliaetus_Osprey
Charadrius semipalmatus_Semipalmated Plover
Buteo buteo_Common Buzzard
Calidris alpina_Dunlin
Uria aalge_Common Murre
Spatula clypeata_Northern Shoveler
Coturnix coturnix_Common Quail
Ardenna grisea_Sooty Shearwater
Calidris melanotos_Pectoral Sandpiper
Mergus serrator_Red-breasted Merganser
Fulica americana_American Coot
Morus bassanus_Northern Gannet
Pinicola enucleator_Pine Grosbeak
Spatula discors_Blue-winged Teal
Aythya affinis_Lesser Scaup
Anthus rubescens_American Pipit
Calidris pusilla_Semipalmated Sandpiper
Ardea cinerea_Gray Heron
Mareca strepera_Gadwall
Sterna paradisaea_Arctic Tern
Sitta canadensis_Red-breasted Nuthatch
Parkesia noveboracensis_Northern Waterthrush
Carduelis carduelis_European Goldfinch
Circus hudsonius_Northern Harrier
Gavia stellata_Red-throated Loon
Spinus pinus_Pine Siskin
Calidris canutus_Red Knot
Melanitta perspicillata_Surf Scoter
Alca torda_Razorbill
Acanthis flammea_Common Redpoll
Uria lomvia_Thick-billed Murre
Calcarius lapponicus_Lapland Longspur
Cardellina pusilla_Wilson's Warbler
Nyctanassa violacea_Yellow-crowned Night-Heron
Streptopelia decaocto_Eurasian Collared-Dove
Hydroprogne caspia_Caspian Tern
Calidris subruficollis_Buff-breasted Sandpiper
Gallinago gallinago_Common Snipe
Somateria spectabilis_King Eider
Branta canadensis_Canada Goose
Puffinus puffinus_Manx Shearwater
Falco columbarius_Merlin
Mergus merganser_Common Merganser
Empidonax flaviventris_Yellow-bellied Flycatcher
Fratercula arctica_Atlantic Puffin
Melanitta americana_Black Scoter
Riparia riparia_Bank Swallow
Histrionicus histrionicus_Harlequin Duck
Phalacrocorax carbo_Great Cormorant
