Sturnella neglecta_Western Meadowlark
Zenaida macroura_Mourning Dove
Turdus migratorius_American Robin
Junco hyemalis_Dark-eyed Junco
Agelaius phoeniceus_Red-winged Blackbird
Tyrannus tyrannus_Eastern Kingbird
Charadrius vociferus_Killdeer
Quiscalus quiscula_Common Grackle
Branta canadensis_Canada Goose
Molothrus ater_Brown-headed Cowbird
Hirundo rustica_Barn Swallow
Tyrannus verticalis_Western Kingbird
Passer domesticus_House Sparrow
Colaptes auratus_Northern Flicker
Streptopelia decaocto_Eurasian Collared-Dove
Anas platyrhynchos_Mallard
Spinus tristis_American Goldfinch
Sturnus vulgaris_European Starling
Setophaga petechia_Yellow Warbler
Eremophila alpestris_Horned Lark
Troglodytes aedon_House Wren
Setophaga coronata_Yellow-rumped Warbler
Buteo jamaicensis_Red-tailed Hawk
Cyanocitta cristata_Blue Jay
Haemorhous mexicanus_House Finch
Spatula discors_Blue-winged Teal
Spatula clypeata_Northern Shoveler
Zonotrichia leucophrys_White-crowned Sparrow
Phasianus colchicus_Ring-necked Pheasant
Chondestes grammacus_Lark Sparrow
Dryobates pubescens_Downy Woodpecker
Petrochelidon pyrrhonota_Cliff Swallow
Mareca strepera_Gadwall
Spizella passerina_Chipping Sparrow
Spizelloides arborea_American Tree Sparrow
Fulica americana_American Coot
Spiza americana_Dickcissel
Cathartes aura_Turkey Vulture
Anas acuta_Northern Pintail
Icterus spurius_Orchard Oriole
Ammodramus savannarum_Grasshopper Sparrow
Toxostoma rufum_Brown Thrasher
Sitta carolinensis_White-breasted Nuthatch
Circus hudsonius_Northern Harrier
Larus delawarensis_Ring-billed Gull
Mareca americana_American Wigeon
Leiothlypis celata_Orange-crowned Warbler
Falco sparverius_American Kestrel
Pipilo maculatus_Spotted Towhee
Melanerpes erythrocephalus_Red-headed Woodpecker
Aythya affinis_Lesser Scaup
Pooecetes gramineus_Vesper Sparrow
Nannopterum auritum_Double-crested Cormorant
Chordeiles minor_Common Nighthawk
Anas crecca_Green-winged Teal
Branta hutchinsii_Cackling Goose
Haliaeetus leucocephalus_Bald Eagle
Calamospiza melanocorys_Lark Bunting
Ardea herodias_Great Blue Heron
Bombycilla cedrorum_Cedar Waxwing
Spinus pinus_Pine Siskin
Melospiza melodia_Song Sparrow
Aythya americana_Redhead
Poecile atricapillus_Black-capped Chickadee
Tachycineta bicolor_Tree Swallow
Spizella pallida_Clay-colored Sparrow
Podilymbus podiceps_Pied-billed Grebe
Corvus brachyrhynchos_American Crow
Buteo lagopus_Rough-legged Hawk
Zonotrichia querula_Harris's Sparrow
Dumetella carolinensis_Gray Catbird
Bucephala albeola_Bufflehead
Oxyura jamaicensis_Ruddy Duck
Meleagris gallopavo_Wild Turkey
Sitta canadensis_Red-breasted Nuthatch
Myadestes townsendi_Townsend's Solitaire
Vireo gilvus_Warbling Vireo
Aechmophorus occidentalis_Western Grebe
Phalaropus tricolor_Wilson's Phalarope
Bartramia longicauda_Upland Sandpiper
Columba livia_Rock Pigeon
Anser caerulescens_Snow Goose
Xanthocephalus xanthocephalus_Yellow-headed Blackbird
Melospiza lincolnii_Lincoln's Sparrow
Icterus galbula_Baltimore Oriole
Geothlypis trichas_Common Yellowthroat
Dryobates villosus_Hairy Woodpecker
Cardellina pusilla_Wilson's Warbler
Pelecanus erythrorhynchos_American White Pelican
Passerculus sandwichensis_Savannah Sparrow
Aythya collaris_Ring-necked Duck
Buteo swainsoni_Swainson's Hawk
Catharus ustulatus_Swainson's Thrush
Actitis macularius_Spotted Sandpiper
Bucephala clangula_Common Goldeneye
Leucophaeus pipixcan_Franklin's Gull
Bubo virginianus_Great Horned Owl
Contopus sordidulus_Western Wood-Pewee
Aythya valisineria_Canvasback
