Turdus migratorius_American Robin
Corvus corax_Common Raven
Junco hyemalis_Dark-eyed Junco
Colaptes auratus_Northern Flicker
Branta canadensis_Canada Goose
Anas platyrhynchos_Mallard
Setophaga coronata_Yellow-rumped Warbler
Agelaius phoeniceus_Red-winged Blackbird
Poecile atricapillus_Black-capped Chickadee
Sturnus vulgaris_European Starling
Melospiza melodia_Song Sparrow
Sitta canadensis_Red-breasted Nuthatch
Setophaga petechia_Yellow Warbler
Buteo jamaicensis_Red-tailed Hawk
Pica hudsonia_Black-billed Magpie
Spinus pinus_Pine Siskin
Tachycineta bicolor_Tree Swallow
Haliaeetus leucocephalus_Bald Eagle
Corthylio calendula_Ruby-crowned Kinglet
Zonotrichia leucophrys_White-crowned Sparrow
Corvus brachyrhynchos_American Crow
Bombycilla cedrorum_Cedar Waxwing
Haemorhous mexicanus_House Finch
Spinus tristis_American Goldfinch
Bucephala albeola_Bufflehead
Molothrus ater_Brown-headed Cowbird
Zenaida macroura_Mourning Dove
Piranga ludoviciana_Western Tanager
Fulica americana_American Coot
Streptopelia decaocto_Eurasian Collared-Dove
Mareca americana_American Wigeon
Tachycineta thalassina_Violet-green Swallow
Charadrius vociferus_Killdeer
Spizella passerina_Chipping Sparrow
Vireo gilvus_Warbling Vireo
Euphagus cyanocephalus_Brewer's Blackbird
Sturnella neglecta_Western Meadowlark
Hirundo rustica_Barn Swallow
Mergus merganser_Common Merganser
Contopus sordidulus_Western Wood-Pewee
Aythya collaris_Ring-necked Duck
Bucephala clangula_Common Goldeneye
Pandion haliaetus_Osprey
Ardea herodias_Great Blue Heron
Tyrannus tyrannus_Eastern Kingbird
Selasphorus rufus_Rufous Hummingbird
Falco sparverius_American Kestrel
Actitis macularius_Spotted Sandpiper
Passerina amoena_Lazuli Bunting
Dryobates pubescens_Downy Woodpecker
Passer domesticus_House Sparrow
Poecile gambeli_Mountain Chickadee
Callipepla californica_California Quail
Pipilo maculatus_Spotted Towhee
Empidonax traillii_Willow Flycatcher
Passerculus sandwichensis_Savannah Sparrow
Geothlypis trichas_Common Yellowthroat
Larus delawarensis_Ring-billed Gull
Anas crecca_Green-winged Teal
Megaceryle alcyon_Belted Kingfisher
Catharus ustulatus_Swainson's Thrush
Spatula clypeata_Northern Shoveler
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Circus hudsonius_Northern Harrier
Buteo lagopus_Rough-legged Hawk
Petrochelidon pyrrhonota_Cliff Swallow
Dryobates villosus_Hairy Woodpecker
Haemorhous cassinii_Cassin's Finch
Bucephala islandica_Barrow's Goldeneye
Regulus satrapa_Golden-crowned Kinglet
Aythya affinis_Lesser Scaup
Cyanocitta stelleri_Steller's Jay
Oxyura jamaicensis_Ruddy Duck
Troglodytes aedon_House Wren
Sphyrapicus nuchalis_Red-naped Sapsucker
Cardellina pusilla_Wilson's Warbler
Leiothlypis celata_Orange-crowned Warbler
Gallinago delicata_Wilson's Snipe
Pheucticus melanocephalus_Black-headed Grosbeak
Empidonax oberholseri_Dusky Flycatcher
Mareca strepera_Gadwall
Lophodytes cucullatus_Hooded Merganser
Ixoreus naevius_Varied Thrush
Xanthocephalus xanthocephalus_Yellow-headed Blackbird
Dumetella carolinensis_Gray Catbird
Empidonax hammondii_Hammond's Flycatcher
Spatula cyanoptera_Cinnamon Teal
Pooecetes gramineus_Vesper Sparrow
Coccothraustes vespertinus_Evening Grosbeak
Cathartes aura_Turkey Vulture
Geothlypis tolmiei_MacGillivray's Warbler
Icterus bullockii_Bullock's Oriole
Nucifraga columbiana_Clark's Nutcracker
Sialia currucoides_Mountain Bluebird
Gavia immer_Common Loon
Anas acuta_Northern Pintail
Selasphorus calliope_Calliope Hummingbird
Columba livia_Rock Pigeon
Nannopterum auritum_Double-crested Cormorant
Podilymbus podiceps_Pied-billed Grebe
Antigone canadensis_Sandhill Crane
Loxia curvirostra_Red Crossbill
Aechmophorus occidentalis_Western Grebe
Anthus rubescens_American Pipit
Vireo cassinii_Cassin's Vireo
Dryocopus pileatus_Pileated Woodpecker
Myadestes townsendi_Townsend's Solitaire
Melospiza lincolnii_Lincoln's Sparrow
Pelecanus erythrorhynchos_American White Pelican
Cinclus mexicanus_American Dipper
Larus californicus_California Gull
Aix sponsa_Wood Duck
Catharus guttatus_Hermit Thrush
Cistothorus palustris_Marsh Wren
Phasianus colchicus_Ring-necked Pheasant
Aythya americana_Redhead
Eremophila alpestris_Horned Lark
Chordeiles minor_Common Nighthawk
Aquila chrysaetos_Golden Eagle
Setophaga townsendi_Townsend's Warbler
Certhia americana_Brown Creeper
Podiceps nigricollis_Eared Grebe
Troglodytes pacificus_Pacific Wren
Cygnus buccinator_Trumpeter Swan
Accipiter striatus_Sharp-shinned Hawk
Tyrannus verticalis_Western Kingbird
Perisoreus canadensis_Canada Jay
Accipiter cooperii_Cooper's Hawk
Archilochus alexandri_Black-chinned Hummingbird
Podiceps auritus_Horned Grebe
Acanthis flammea_Common Redpoll
Buteo swainsoni_Swainson's Hawk
Riparia riparia_Bank Swallow
Contopus cooperi_Olive-sided Flycatcher
Tringa melanoleuca_Greater Yellowlegs
Tringa semipalmata_Willet
Aythya valisineria_Canvasback
Lanius borealis_Northern Shrike
Porzana carolina_Sora
Cygnus columbianus_Tundra Swan
Meleagris gallopavo_Wild Turkey
Numenius americanus_Long-billed Curlew
Bombycilla garrulus_Bohemian Waxwing
Phalaropus tricolor_Wilson's Phalarope
Chaetura vauxi_Vaux's Swift
Pinicola enucleator_Pine Grosbeak
Bonasa umbellus_Ruffed Grouse
Bubo virginianus_Great Horned Owl
Falco columbarius_Merlin
Catharus fuscescens_Veery
Recurvirostra americana_American Avocet
Leiothlypis ruficapilla_Nashville Warbler
