Corvus corax_Common Raven
Plectrophenax nivalis_Snow Bunting
Bubo scandiacus_Snowy Owl
Larus hyperboreus_Glaucous Gull
Acanthis flammea_Common Redpoll
Lagopus lagopus_Willow Ptarmigan
Acanthis hornemanni_Hoary Redpoll
Falco rusticolus_Gyrfalcon
Clangula hyemalis_Long-tailed Duck
Somateria spectabilis_King Eider
Calcarius lapponicus_Lapland Longspur
Gavia pacifica_Pacific Loon
Aythya marila_Greater Scaup
Turdus migratorius_American Robin
Calcarius pictus_Smith's Longspur
Anser albifrons_Greater White-fronted Goose
Cygnus columbianus_Tundra Swan
Rissa tridactyla_Black-legged Kittiwake
Spizelloides arborea_American Tree Sparrow
Junco hyemalis_Dark-eyed Junco
Mergus serrator_Red-breasted Merganser
Phalaropus lobatus_Red-necked Phalarope
Ixoreus naevius_Varied Thrush
Gallinago delicata_Wilson's Snipe
Rhodostethia rosea_Ross's Gull
Fulmarus glacialis_Northern Fulmar
Branta hutchinsii_Cackling Goose
Aquila chrysaetos_Golden Eagle
Spatula clypeata_Northern Shoveler
Pluvialis dominica_American Golden-Plover
Larus glaucescens_Glaucous-winged Gull
Passerella iliaca_Fox Sparrow
Zonotrichia leucophrys_White-crowned Sparrow
Mareca americana_American Wigeon
Larus argentatus_Herring Gull
Anas acuta_Northern Pintail
Larus brachyrhynchus_Short-billed Gull
Passerculus sandwichensis_Savannah Sparrow
Gavia stellata_Red-throated Loon
Gavia immer_Common Loon
Mergus merganser_Common Merganser
Somateria mollissima_Common Eider
Falco peregrinus_Peregrine Falcon
Limnodromus scolopaceus_Long-billed Dowitcher
Uria lomvia_Thick-billed Murre
Petrochelidon pyrrhonota_Cliff Swallow
Calidris alpina_Dunlin
Anas crecca_Green-winged Teal
Anthus rubescens_American Pipit
Calidris melanotos_Pectoral Sandpiper
Branta bernicla_Brant
Antigone canadensis_Sandhill Crane
Haliaeetus leucocephalus_Bald Eagle
Melanitta americana_Black Scoter
Catharus minimus_Gray-cheeked Thrush
Charadrius semipalmatus_Semipalmated Plover
Anser caerulescens_Snow Goose
Asio flammeus_Short-eared Owl
Zonotrichia atricapilla_Golden-crowned Sparrow
Gavia adamsii_Yellow-billed Loon
Calidris bairdii_Baird's Sandpiper
Podiceps grisegena_Red-necked Grebe
Numenius phaeopus_Whimbrel
Stercorarius pomarinus_Pomarine Jaeger
Calidris pusilla_Semipalmated Sandpiper
Sterna paradisaea_Arctic Tern
Phalaropus fulicarius_Red Phalarope
Oenanthe oenanthe_Northern Wheatear
Falco sparverius_American Kestrel
Stercorarius parasiticus_Parasitic Jaeger
Branta canadensis_Canada Goose
Circus hudsonius_Northern Harrier
Histrionicus histrionicus_Harlequin Duck
Stercorarius longicaudus_Long-tailed Jaeger
Lanius borealis_Northern Shrike
Motacilla tschutschensis_Eastern Yellow Wagtail
Podiceps auritus_Horned Grebe
Tachycineta bicolor_Tree Swallow
Limosa lapponica_Bar-tailed Godwit
Calidris mauri_Western Sandpiper
Anas platyrhynchos_Mallard
Ardenna tenuirostris_Short-tailed Shearwater
Tringa incana_Wandering Tattler
Lagopus muta_Rock Ptarmigan
Arenaria interpres_Ruddy Turnstone
Melanitta perspicillata_Surf Scoter
Pluvialis squatarola_Black-bellied Plover
Calidris minutilla_Least Sandpiper
Luscinia svecica_Bluethroat
Aythya affinis_Lesser Scaup
Xema sabini_Sabine's Gull
Catharus guttatus_Hermit Thrush
Calidris subruficollis_Buff-breasted Sandpiper
Falco columbarius_Merlin
Buteo lagopus_Rough-legged Hawk
Cardellina pusilla_Wilson's Warbler
Sayornis saya_Say's Phoebe
Calidris alba_Sanderling
Calidris himantopus_Stilt Sandpiper
Setophaga coronata_Yellow-rumped Warbler
Eremophila alpestris_Horned Lark
Cepphus grylle_Black Guillemot
Calidris canutus_Red Knot
Catharus ustulatus_Swainson's Thrush
Tringa flavipes_Lesser Yellowlegs
Setophaga petechia_Yellow Warbler
Riparia riparia_Bank Swallow
Leiothlypis celata_Orange-crowned Warbler
Pandion haliaetus_Osprey
Calidris fuscicollis_White-rumped Sandpiper
Uria aalge_Common Murre
Larus schistisagus_Slaty-backed Gull
Larus glaucoides_Iceland Gull
Mareca strepera_Gadwall
Melospiza lincolnii_Lincoln's Sparrow
Limosa haemastica_Hudsonian Godwit
Arenaria melanocephala_Black Turnstone
Leucosticte tephrocotis_Gray-crowned Rosy-Finch
Bartramia longicauda_Upland Sandpiper
Actitis macularius_Spotted Sandpiper
Perisoreus canadensis_Canada Jay
Accipiter gentilis_Northern Goshawk
Calidris ruficollis_Red-necked Stint
Bucephala clangula_Common Goldeneye
Aethia pusilla_Least Auklet
Spinus pinus_Pine Siskin
Parkesia noveboracensis_Northern Waterthrush
Bucephala islandica_Barrow's Goldeneye
Cinclus mexicanus_American Dipper
Empidonax alnorum_Alder Flycatcher
