Crinifer piscator_Western Plantain-eater
Pycnonotus barbatus_Common Bulbul
Hypergerus atriceps_Oriole Warbler
Gymnobucco calvus_Naked-faced Barbet
Hedydipna platura_Pygmy Sunbird
Cinnyris coccinigastrus_Splendid Sunbird
Illadopsis cleaveri_Blackcap Illadopsis
Spermophaga haematina_Western Bluebill
Tauraco macrorhynchus_Yellow-billed Turaco
Turdoides reinwardtii_Blackcap Babbler
Emberiza cabanisi_Cabanis's Bunting
Tauraco persa_Guinea Turaco
Sylvietta virens_Green Crombec
Bostrychia hagedash_Hadada Ibis
Malimbus nitens_Blue-billed Malimbe
Streptopelia semitorquata_Red-eyed Dove
Thescelocichla leucopleura_Swamp Greenbul
Oriolus nigripennis_Black-winged Oriole
Turtur brehmeri_Blue-headed Wood-Dove
Caprimulgus climacurus_Long-tailed Nightjar
Smithornis rufolateralis_Rufous-sided Broadbill
Pogoniulus scolopaceus_Speckled Tinkerbird
Buccanodon duchaillui_Yellow-spotted Barbet
Camaroptera superciliaris_Yellow-browed Camaroptera
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Psittacus erithacus_Gray Parrot
Urotriorchis macrourus_Long-tailed Hawk
Corythaeola cristata_Great Blue Turaco
Centropus leucogaster_Black-throated Coucal
Bias musicus_Black-and-white Shrike-flycatcher
Lamprotornis splendidus_Splendid Starling
Hylia prasina_Green Hylia
Dryotriorchis spectabilis_Congo Serpent-Eagle
Dicrurus atripennis_Shining Drongo
Eurillas virens_Little Greenbul
Stiphrornis erythrothorax_Forest Robin
Trochocercus nitens_Blue-headed Crested-Flycatcher
Crithagra mozambica_Yellow-fronted Canary
Spermestes cucullata_Bronze Mannikin
Halcyon malimbica_Blue-breasted Kingfisher
Nicator chloris_Western Nicator
Sarothrura pulchra_White-spotted Flufftail
Lophoceros camurus_Red-billed Dwarf Hornbill
Macrosphenus concolor_Gray Longbill
Bycanistes fistulator_Piping Hornbill
Halcyon badia_Chocolate-backed Kingfisher
Cypsiurus parvus_African Palm-Swift
Illadopsis fulvescens_Brown Illadopsis
Vidua macroura_Pin-tailed Whydah
Eurillas curvirostris_Plain Greenbul
Corvus albus_Pied Crow
