Pycnonotus barbatus_Common Bulbul
Crinifer piscator_Western Plantain-eater
Spermophaga haematina_Western Bluebill
Alethe diademata_White-tailed Alethe
Malimbus nitens_Blue-billed Malimbe
Hypergerus atriceps_Oriole Warbler
Hedydipna platura_Pygmy Sunbird
Thescelocichla leucopleura_Swamp Greenbul
Cinnyris coccinigastrus_Splendid Sunbird
Turdoides reinwardtii_Blackcap Babbler
Bleda canicapillus_Gray-headed Bristlebill
Bostrychia hagedash_Hadada Ibis
Pternistis ahantensis_Ahanta Francolin
Laniarius barbarus_Yellow-crowned Gonolek
Lamprotornis splendidus_Splendid Starling
Pternistis bicalcaratus_Double-spurred Francolin
Eurillas virens_Little Greenbul
Streptopelia semitorquata_Red-eyed Dove
Gymnobucco calvus_Naked-faced Barbet
Caprimulgus climacurus_Long-tailed Nightjar
Butorides striata_Striated Heron
Crithagra mozambica_Yellow-fronted Canary
Tauraco persa_Guinea Turaco
Bycanistes fistulator_Piping Hornbill
Apalis sharpii_Sharpe's Apalis
Bubulcus ibis_Cattle Egret
Hylia prasina_Green Hylia
Tauraco macrorhynchus_Yellow-billed Turaco
Ceuthmochares aereus_Blue Malkoha
Turtur brehmeri_Blue-headed Wood-Dove
Prinia erythroptera_Red-winged Prinia
Corythaeola cristata_Great Blue Turaco
Lamprotornis caudatus_Long-tailed Glossy Starling
Halcyon malimbica_Blue-breasted Kingfisher
Eremomela pusilla_Senegal Eremomela
Illadopsis puveli_Puvel's Illadopsis
Lybius vieilloti_Vieillot's Barbet
Criniger calurus_Red-tailed Greenbul
Spermestes cucullata_Bronze Mannikin
Cinnyris chloropygius_Olive-bellied Sunbird
Ardea alba_Great Egret
Nicator chloris_Western Nicator
Poicephalus senegalus_Senegal Parrot
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Sarothrura pulchra_White-spotted Flufftail
Sylvietta virens_Green Crombec
Emberiza cabanisi_Cabanis's Bunting
Criniger barbatus_Western Bearded-Greenbul
Bias musicus_Black-and-white Shrike-flycatcher
Neocossyphus finschi_Finsch's Flycatcher-Thrush
Cecropis abyssinica_Lesser Striped Swallow
Ploceus cucullatus_Village Weaver
Cuculus solitarius_Red-chested Cuckoo
Hedydipna collaris_Collared Sunbird
Macrosphenus kempi_Kemp's Longbill
Dicrurus divaricatus_Glossy-backed Drongo
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Centropus senegalensis_Senegal Coucal
Corvus albus_Pied Crow
Smithornis rufolateralis_Rufous-sided Broadbill
Passer griseus_Northern Gray-headed Sparrow
Streptopelia senegalensis_Laughing Dove
Vidua macroura_Pin-tailed Whydah
Cypsiurus parvus_African Palm-Swift
Platysteira blissetti_Red-cheeked Wattle-eye
Corythornis cristatus_Malachite Kingfisher
Treron calvus_African Green-Pigeon
Chlorocichla simplex_Simple Greenbul
Dicrurus atripennis_Shining Drongo
Vanellus senegallus_Wattled Lapwing
Lophoceros fasciatus_African Pied Hornbill
Coracias abyssinicus_Abyssinian Roller
Oriolus nigripennis_Black-winged Oriole
Elminia longicauda_African Blue Flycatcher
Pogoniulus scolopaceus_Speckled Tinkerbird
Cyanomitra olivacea_Olive Sunbird
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Cinnyris venustus_Variable Sunbird
Halcyon senegalensis_Woodland Kingfisher
Buccanodon duchaillui_Yellow-spotted Barbet
Bubalornis albirostris_White-billed Buffalo-Weaver
Cinnyris cupreus_Copper Sunbird
Chrysococcyx caprius_Dideric Cuckoo
Lophoceros camurus_Red-billed Dwarf Hornbill
Strix woodfordii_African Wood-Owl
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Halcyon badia_Chocolate-backed Kingfisher
Stiphrornis erythrothorax_Forest Robin
Turtur afer_Blue-spotted Wood-Dove
Merops persicus_Blue-cheeked Bee-eater
Polyboroides typus_African Harrier-Hawk
Caprimulgus natalensis_Swamp Nightjar
Chrysococcyx cupreus_African Emerald Cuckoo
Stelgidillas gracilirostris_Slender-billed Greenbul
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Camaroptera chloronota_Olive-green Camaroptera
Illadopsis cleaveri_Blackcap Illadopsis
Burhinus senegalensis_Senegal Thick-knee
Hirundo rustica_Barn Swallow
Thalasseus sandvicensis_Sandwich Tern
Oriolus brachyrynchus_Western Black-headed Oriole
Terpsiphone viridis_African Paradise-Flycatcher
Chrysococcyx klaas_Klaas's Cuckoo
Haematopus ostralegus_Eurasian Oystercatcher
Lophoceros nasutus_African Gray Hornbill
Prinia subflava_Tawny-flanked Prinia
Saxicola torquatus_African Stonechat
Macrosphenus concolor_Gray Longbill
Ixonotus guttatus_Spotted Greenbul
Actophilornis africanus_African Jacana
Illadopsis fulvescens_Brown Illadopsis
Lamprotornis chloropterus_Lesser Blue-eared Starling
Apus affinis_Little Swift
Anthus leucophrys_Plain-backed Pipit
Eurystomus glaucurus_Broad-billed Roller
Camaroptera brachyura_Green-backed Camaroptera
Pogoniulus atroflavus_Red-rumped Tinkerbird
Neocossyphus poensis_White-tailed Ant-Thrush
Ploceus nigerrimus_Vieillot's Weaver
Arenaria interpres_Ruddy Turnstone
Merops albicollis_White-throated Bee-eater
Cyanomitra cyanolaema_Blue-throated Brown Sunbird
Lagonosticta senegala_Red-billed Firefinch
Ardea melanocephala_Black-headed Heron
Tchagra senegalus_Black-crowned Tchagra
Turdus pelios_African Thrush
Phoenicopterus roseus_Greater Flamingo
Scopus umbretta_Hamerkop
Buphagus africanus_Yellow-billed Oxpecker
Otus senegalensis_African Scops-Owl
Trochocercus nitens_Blue-headed Crested-Flycatcher
Tricholaema hirsuta_Hairy-breasted Barbet
Merops pusillus_Little Bee-eater
Zapornia flavirostra_Black Crake
Lanius humeralis_Northern Fiscal
Baeopogon indicator_Honeyguide Greenbul
Streptopelia vinacea_Vinaceous Dove
Vidua funerea_Variable Indigobird
Kaupifalco monogrammicus_Lizard Buzzard
Tchagra australis_Brown-crowned Tchagra
Macronyx croceus_Yellow-throated Longclaw
Eurillas ansorgei_Ansorge's Greenbul
Turtur tympanistria_Tambourine Dove
Cinnyricinclus leucogaster_Violet-backed Starling
Haliaeetus vocifer_African Fish-Eagle
Cisticola marginatus_Winding Cisticola
Melaenornis edolioides_Northern Black-Flycatcher
Illadopsis rufipennis_Pale-breasted Illadopsis
Lybius bidentatus_Double-toothed Barbet
Chalcomitra senegalensis_Scarlet-chested Sunbird
Ploceus nigricollis_Black-necked Weaver
Platysteira cyanea_Brown-throated Wattle-eye
Pachyphantes superciliosus_Compact Weaver
Fraseria plumbea_Gray Tit-Flycatcher
Eurillas latirostris_Yellow-whiskered Greenbul
Halcyon chelicuti_Striped Kingfisher
Tringa totanus_Common Redshank
Cercococcyx olivinus_Olive Long-tailed Cuckoo
Sterna dougallii_Roseate Tern
Tyto alba_Barn Owl
Motacilla aguimp_African Pied Wagtail
Cuculus clamosus_Black Cuckoo
Ptilopsis leucotis_Northern White-faced Owl
Horizocerus albocristatus_White-crested Hornbill
Euplectes hordeaceus_Black-winged Bishop
Phoeniconaias minor_Lesser Flamingo
Accipiter melanoleucus_Black Goshawk
Cercococcyx mechowi_Dusky Long-tailed Cuckoo
Dryoscopus gambensis_Northern Puffback
Accipiter badius_Shikra
Clamator levaillantii_Levaillant's Cuckoo
Vidua chalybeata_Village Indigobird
Ceratogymna atrata_Black-casqued Hornbill
Prionops plumatus_White Helmetshrike
Estrilda astrild_Common Waxbill
Laniarius major_Tropical Boubou
Salpornis salvadori_African Spotted Creeper
Lophaetus occipitalis_Long-crested Eagle
Cecropis semirufa_Rufous-chested Swallow
Indicator indicator_Greater Honeyguide
Halcyon leucocephala_Gray-headed Kingfisher
Bleda syndactylus_Red-tailed Bristlebill
Psittacula krameri_Rose-ringed Parakeet
Columba iriditorques_Bronze-naped Pigeon
Numenius phaeopus_Whimbrel
Milvus migrans_Black Kite
Indicator minor_Lesser Honeyguide
Passer domesticus_House Sparrow
Dendrocygna viduata_White-faced Whistling-Duck
Apaloderma narina_Narina Trogon
Chloropicus fuscescens_Cardinal Woodpecker
Telophorus sulfureopectus_Sulphur-breasted Bushshrike
Columba unicincta_Afep Pigeon
Cuculus gularis_African Cuckoo
Megaceryle maxima_Giant Kingfisher
Pluvialis squatarola_Black-bellied Plover
Cinnyris pulchellus_Beautiful Sunbird
Motacilla flava_Western Yellow Wagtail
Rallus caerulescens_African Rail
Macheiramphus alcinus_Bat Hawk
Ceryle rudis_Pied Kingfisher
Nigrita canicapillus_Gray-headed Nigrita
Melocichla mentalis_Moustached Grass-Warbler
Nycticorax nycticorax_Black-crowned Night-Heron
Uraeginthus angolensis_Southern Cordonbleu
Egretta gularis_Western Reef-Heron
Sylvietta brachyura_Northern Crombec
Amblyospiza albifrons_Grosbeak Weaver
Phylloscopus trochilus_Willow Warbler
Iduna pallida_Eastern Olivaceous Warbler
Psittacus erithacus_Gray Parrot
Gallinula chloropus_Eurasian Moorhen
Quelea quelea_Red-billed Quelea
Estrilda troglodytes_Black-rumped Waxbill
Ortygospiza atricollis_Quailfinch
Urotriorchis macrourus_Long-tailed Hawk
Zosterops senegalensis_Northern Yellow White-eye
Dryotriorchis spectabilis_Congo Serpent-Eagle
Centropus leucogaster_Black-throated Coucal
Numida meleagris_Helmeted Guineafowl
Ardea cinerea_Gray Heron
Actitis hypoleucos_Common Sandpiper
Cisticola lateralis_Whistling Cisticola
Ardea intermedia_Intermediate Egret
Malaconotus blanchoti_Gray-headed Bushshrike
Circus aeruginosus_Eurasian Marsh-Harrier
Estrilda melpoda_Orange-cheeked Waxbill
Cisticola cantans_Singing Cisticola
Euplectes afer_Yellow-crowned Bishop
Porphyrio madagascariensis_African Swamphen
Oriolus auratus_African Golden Oriole
Falco tinnunculus_Eurasian Kestrel
Rostratula benghalensis_Greater Painted-Snipe
Apus apus_Common Swift
Charadrius dubius_Little Ringed Plover
Cecropis daurica_Red-rumped Swallow
Glaucidium perlatum_Pearl-spotted Owlet
Camaroptera superciliaris_Yellow-browed Camaroptera
Mirafra rufocinnamomea_Flappet Lark
Cisticola anonymus_Chattering Cisticola
Chloropicus goertae_African Gray Woodpecker
Cisticola erythrops_Red-faced Cisticola
Muscicapa striata_Spotted Flycatcher
Ardeola ralloides_Squacco Heron
Euplectes franciscanus_Northern Red Bishop
Delichon urbicum_Common House-Martin
Pandion haliaetus_Osprey
Merops apiaster_European Bee-eater
Sylvia borin_Garden Warbler
Cisticola natalensis_Croaking Cisticola
Charadrius alexandrinus_Kentish Plover
Eurillas curvirostris_Plain Greenbul
Sporopipes frontalis_Speckle-fronted Weaver
Gallinago gallinago_Common Snipe
Fraseria griseigularis_Gray-throated Tit-Flycatcher
Cyanomitra verticalis_Green-headed Sunbird
Falco peregrinus_Peregrine Falcon
Platysteira concreta_Yellow-bellied Wattle-eye
Bubo lacteus_Verreaux's Eagle-Owl
Saxicola rubetra_Whinchat
Ficedula hypoleuca_European Pied Flycatcher
Cisticola juncidis_Zitting Cisticola
Euplectes ardens_Red-collared Widowbird
Trachyphonus purpuratus_Yellow-billed Barbet
Sterna paradisaea_Arctic Tern
Acrocephalus arundinaceus_Great Reed Warbler
Upupa epops_Eurasian Hoopoe
Ardea purpurea_Purple Heron
Egretta garzetta_Little Egret
Apus caffer_White-rumped Swift
Elanus caeruleus_Black-winged Kite
Calidris alba_Sanderling
Lagonosticta rubricata_African Firefinch
Glareola pratincola_Collared Pratincole
Smithornis capensis_African Broadbill
Micronisus gabar_Gabar Goshawk
Centropus monachus_Blue-headed Coucal
Lanius senator_Woodchat Shrike
Luscinia megarhynchos_Common Nightingale
Hippolais polyglotta_Melodious Warbler
Tringa nebularia_Common Greenshank
Fraseria ocreata_African Forest-Flycatcher
Fraseria caerulescens_Ashy Flycatcher
Clamator glandarius_Great Spotted Cuckoo
Acrocephalus scirpaceus_Eurasian Reed Warbler
Anthus trivialis_Tree Pipit
Himantopus himantopus_Black-winged Stilt
Chamaetylas poliocephala_Brown-chested Alethe
Gelochelidon nilotica_Gull-billed Tern
Larus fuscus_Lesser Black-backed Gull
Cossypha cyanocampter_Blue-shouldered Robin-Chat
Mirafra africana_Rufous-naped Lark
Ptyonoprogne fuligula_Rock Martin
Caprimulgus tristigma_Freckled Nightjar
Cisticola brachypterus_Siffling Cisticola
Melaniparus funereus_Dusky Tit
Guttera pucherani_Crested Guineafowl
Glaucidium tephronotum_Red-chested Owlet
Sternula albifrons_Little Tern
Tringa ochropus_Green Sandpiper
Anthus cervinus_Red-throated Pipit
Gallinago media_Great Snipe
Stephanoaetus coronatus_Crowned Eagle
Acrocephalus schoenobaenus_Sedge Warbler
Turtur abyssinicus_Black-billed Wood-Dove
Crithagra sulphurata_Brimstone Canary
Tachybaptus ruficollis_Little Grebe
Phoenicurus phoenicurus_Common Redstart
Tringa stagnatilis_Marsh Sandpiper
Sterna hirundo_Common Tern
Calidris pugnax_Ruff
Chlidonias hybrida_Whiskered Tern
Columba larvata_Lemon Dove
Anthus similis_Long-billed Pipit
Uraeginthus bengalus_Red-cheeked Cordonbleu
Thamnolaea cinnamomeiventris_Mocking Cliff-Chat
Motacilla clara_Mountain Wagtail
Cuculus canorus_Common Cuckoo
Calidris temminckii_Temminck's Stint
Charadrius hiaticula_Common Ringed Plover
Lagonosticta rhodopareia_Jameson's Firefinch
Cryptospiza reichenovii_Red-faced Crimsonwing
Stercorarius parasiticus_Parasitic Jaeger
Ixobrychus minutus_Little Bittern
Calidris minuta_Little Stint
Emberiza flaviventris_Golden-breasted Bunting
Poicephalus fuscicollis_Brown-necked Parrot
Neocossyphus fraseri_Rufous Flycatcher-Thrush
Limosa lapponica_Bar-tailed Godwit
Chlidonias niger_Black Tern
Pytilia melba_Green-winged Pytilia
Tringa glareola_Wood Sandpiper
Jynx torquilla_Eurasian Wryneck
Hydroprogne caspia_Caspian Tern
Calidris ferruginea_Curlew Sandpiper
Iduna opaca_Western Olivaceous Warbler
Circus pygargus_Montagu's Harrier
Cossypha polioptera_Gray-winged Robin-Chat
Phoeniculus bollei_White-headed Woodhoopoe
Eupodotis senegalensis_White-bellied Bustard
Campephaga quiscalina_Purple-throated Cuckooshrike
Cisticola aberrans_Rock-loving Cisticola
Chlidonias leucopterus_White-winged Tern
Oenanthe oenanthe_Northern Wheatear
Calonectris diomedea_Cory's Shearwater
Calidris canutus_Red Knot
Apus melba_Alpine Swift
Circus macrourus_Pallid Harrier
Pernis apivorus_European Honey-buzzard
Curruca communis_Greater Whitethroat
Phylloscopus collybita_Common Chiffchaff
Chroicocephalus cirrocephalus_Gray-hooded Gull
Tringa erythropus_Spotted Redshank
Circaetus gallicus_Short-toed Snake-Eagle
Limosa limosa_Black-tailed Godwit
Columba guinea_Speckled Pigeon
Gymnoris dentata_Sahel Bush Sparrow
Phylloscopus sibilatrix_Wood Warbler
Riparia riparia_Bank Swallow
Buteo buteo_Common Buzzard
Nilaus afer_Brubru
Turnix sylvaticus_Small Buttonquail
Hirundo smithii_Wire-tailed Swallow
Stercorarius pomarinus_Pomarine Jaeger
Porzana porzana_Spotted Crake
