Setophaga petechia_Yellow Warbler
Pelecanus occidentalis_Brown Pelican
Fregata magnificens_Magnificent Frigatebird
Sula nebouxii_Blue-footed Booby
Anous stolidus_Brown Noddy
Tringa incana_Wandering Tattler
Butorides striata_Striated Heron
Crotophaga ani_Smooth-billed Ani
Arenaria interpres_Ruddy Turnstone
Numenius phaeopus_Whimbrel
Ardea herodias_Great Blue Heron
Phoenicopterus ruber_American Flamingo
Charadrius semipalmatus_Semipalmated Plover
Haematopus palliatus_American Oystercatcher
Gallinula galeata_Common Gallinule
Fregata minor_Great Frigatebird
Pterodroma phaeopygia_Galapagos Petrel
Himantopus mexicanus_Black-necked Stilt
Bubulcus ibis_Cattle Egret
Phalaropus lobatus_Red-necked Phalarope
Coccyzus melacoryphus_Dark-billed Cuckoo
Calidris alba_Sanderling
Creagrus furcatus_Swallow-tailed Gull
Hydrobates castro_Band-rumped Storm-Petrel
Nyctanassa violacea_Yellow-crowned Night-Heron
Ardea alba_Great Egret
Leucophaeus pipixcan_Franklin's Gull
Spatula discors_Blue-winged Teal
Pluvialis squatarola_Black-bellied Plover
Leucophaeus atricilla_Laughing Gull
Phaethon aethereus_Red-billed Tropicbird
Calidris minutilla_Least Sandpiper
Hirundo rustica_Barn Swallow
Tyto alba_Barn Owl
Tringa semipalmata_Willet
Thalasseus maximus_Royal Tern
Phalaropus tricolor_Wilson's Phalarope
Tringa flavipes_Lesser Yellowlegs
Actitis macularius_Spotted Sandpiper
Phalaropus fulicarius_Red Phalarope
Podilymbus podiceps_Pied-billed Grebe
Egretta thula_Snowy Egret
