Spermophaga haematina_Western Bluebill
Gymnobucco calvus_Naked-faced Barbet
Tauraco persa_Guinea Turaco
Tauraco macrorhynchus_Yellow-billed Turaco
Turtur brehmeri_Blue-headed Wood-Dove
Cinnyris coccinigastrus_Splendid Sunbird
Malimbus nitens_Blue-billed Malimbe
Emberiza cabanisi_Cabanis's Bunting
Sylvietta ruficapilla_Red-capped Crombec
Streptopelia senegalensis_Laughing Dove
Thescelocichla leucopleura_Swamp Greenbul
Bias musicus_Black-and-white Shrike-flycatcher
Sylvietta virens_Green Crombec
Pycnonotus barbatus_Common Bulbul
Uraeginthus angolensis_Southern Cordonbleu
Smithornis rufolateralis_Rufous-sided Broadbill
Melaniparus rufiventris_Rufous-bellied Tit
Corythaeola cristata_Great Blue Turaco
Buccanodon duchaillui_Yellow-spotted Barbet
Streptopelia capicola_Ring-necked Dove
Oriolus nigripennis_Black-winged Oriole
Dryotriorchis spectabilis_Congo Serpent-Eagle
Cisticola anonymus_Chattering Cisticola
Sarothrura pulchra_White-spotted Flufftail
Urotriorchis macrourus_Long-tailed Hawk
Lophoceros camurus_Red-billed Dwarf Hornbill
Cinnyris venustus_Variable Sunbird
Psittacus erithacus_Gray Parrot
Eurillas virens_Little Greenbul
Corvus albus_Pied Crow
Caprimulgus climacurus_Long-tailed Nightjar
Hylia prasina_Green Hylia
Telophorus viridis_Four-colored Bushshrike
Pogoniulus scolopaceus_Speckled Tinkerbird
Trochocercus nitens_Blue-headed Crested-Flycatcher
Streptopelia semitorquata_Red-eyed Dove
Nicator chloris_Western Nicator
Cypsiurus parvus_African Palm-Swift
Camaroptera brachyura_Green-backed Camaroptera
Halcyon badia_Chocolate-backed Kingfisher
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Fraseria griseigularis_Gray-throated Tit-Flycatcher
Bostrychia hagedash_Hadada Ibis
Bycanistes fistulator_Piping Hornbill
Colius striatus_Speckled Mousebird
Camaroptera superciliaris_Yellow-browed Camaroptera
Lamprotornis splendidus_Splendid Starling
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Bleda notatus_Lesser Bristlebill
Illadopsis fulvescens_Brown Illadopsis
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Eurillas curvirostris_Plain Greenbul
Ixonotus guttatus_Spotted Greenbul
Tricholaema hirsuta_Hairy-breasted Barbet
Neocossyphus poensis_White-tailed Ant-Thrush
Chlorocichla simplex_Simple Greenbul
Macrosphenus concolor_Gray Longbill
Baeopogon indicator_Honeyguide Greenbul
Trachyphonus purpuratus_Yellow-billed Barbet
Oriolus brachyrynchus_Western Black-headed Oriole
Chalcomitra amethystina_Amethyst Sunbird
Criniger chloronotus_Eastern Bearded-Greenbul
Halcyon malimbica_Blue-breasted Kingfisher
Illadopsis rufipennis_Pale-breasted Illadopsis
Cecropis abyssinica_Lesser Striped Swallow
Turtur chalcospilos_Emerald-spotted Wood-Dove
Fraseria ocreata_African Forest-Flycatcher
Cercotrichas leucophrys_Red-backed Scrub-Robin
Cisticola fulvicapilla_Piping Cisticola
Laniarius bicolor_Gabon Boubou
Halcyon albiventris_Brown-hooded Kingfisher
Eurillas ansorgei_Ansorge's Greenbul
Elminia longicauda_African Blue Flycatcher
Ploceus nigerrimus_Vieillot's Weaver
Centropus superciliosus_White-browed Coucal
Apalis flavida_Yellow-breasted Apalis
Melaniparus leucomelas_White-winged Black-Tit
Corythornis cristatus_Malachite Kingfisher
Cinnyris chloropygius_Olive-bellied Sunbird
Lybius bidentatus_Double-toothed Barbet
Cercococcyx mechowi_Dusky Long-tailed Cuckoo
Lophoceros nasutus_African Gray Hornbill
Pogoniulus atroflavus_Red-rumped Tinkerbird
Cuculus solitarius_Red-chested Cuckoo
Pternistis afer_Red-necked Francolin
Cercococcyx olivinus_Olive Long-tailed Cuckoo
Crithagra atrogularis_Black-throated Canary
Ceuthmochares aereus_Blue Malkoha
Columba larvata_Lemon Dove
Ploceus cucullatus_Village Weaver
Batis molitor_Chinspot Batis
Bleda syndactylus_Red-tailed Bristlebill
Halcyon senegalensis_Woodland Kingfisher
Chamaetylas poliocephala_Brown-chested Alethe
Cyanomitra olivacea_Olive Sunbird
Cisticola ayresii_Wing-snapping Cisticola
Ploceus velatus_Southern Masked-Weaver
Cyanomitra cyanolaema_Blue-throated Brown Sunbird
Merops pusillus_Little Bee-eater
Cinnyricinclus leucogaster_Violet-backed Starling
Chrysococcyx cupreus_African Emerald Cuckoo
Eurillas latirostris_Yellow-whiskered Greenbul
Chrysococcyx klaas_Klaas's Cuckoo
Crithagra mozambica_Yellow-fronted Canary
Alethe castanea_Fire-crested Alethe
Coracias caudatus_Lilac-breasted Roller
Gymnoris superciliaris_Yellow-throated Bush Sparrow
Vidua macroura_Pin-tailed Whydah
Lophoceros fasciatus_African Pied Hornbill
Apus affinis_Little Swift
Glaucidium perlatum_Pearl-spotted Owlet
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Oriolus auratus_African Golden Oriole
Melaniparus funereus_Dusky Tit
Cecropis semirufa_Rufous-chested Swallow
Spermestes cucullata_Bronze Mannikin
Cossypha heuglini_White-browed Robin-Chat
Ploceus bicolor_Forest Weaver
Merops bullockoides_White-fronted Bee-eater
Chrysococcyx caprius_Dideric Cuckoo
Turtur tympanistria_Tambourine Dove
Estrilda astrild_Common Waxbill
Platysteira castanea_Chestnut Wattle-eye
Macheiramphus alcinus_Bat Hawk
Quelea quelea_Red-billed Quelea
Mirafra africana_Rufous-naped Lark
Coturnix delegorguei_Harlequin Quail
Apaloderma narina_Narina Trogon
Turdoides jardineii_Arrow-marked Babbler
Prinia subflava_Tawny-flanked Prinia
Milvus migrans_Black Kite
Motacilla aguimp_African Pied Wagtail
Caprimulgus nigriscapularis_Black-shouldered Nightjar
Ardea melanocephala_Black-headed Heron
Haliaeetus vocifer_African Fish-Eagle
Centropus senegalensis_Senegal Coucal
Hedydipna collaris_Collared Sunbird
Eupodotis senegalensis_White-bellied Bustard
Kaupifalco monogrammicus_Lizard Buzzard
Horizocerus albocristatus_White-crested Hornbill
Actophilornis africanus_African Jacana
Macrosphenus flavicans_Yellow Longbill
Caprimulgus natalensis_Swamp Nightjar
Nicator vireo_Yellow-throated Nicator
Treron calvus_African Green-Pigeon
Columba unicincta_Afep Pigeon
Gymnobucco bonapartei_Gray-throated Barbet
Jynx ruficollis_Rufous-necked Wryneck
Ceratogymna atrata_Black-casqued Hornbill
Eurystomus glaucurus_Broad-billed Roller
Fraseria caerulescens_Ashy Flycatcher
Cinnyris cupreus_Copper Sunbird
Passer griseus_Northern Gray-headed Sparrow
Ardea cinerea_Gray Heron
Columba iriditorques_Bronze-naped Pigeon
Eremomela scotops_Greencap Eremomela
Turdus pelios_African Thrush
Bycanistes subcylindricus_Black-and-white-casqued Hornbill
Lophaetus occipitalis_Long-crested Eagle
Cinnyris bifasciatus_Purple-banded Sunbird
Gallinula chloropus_Eurasian Moorhen
Cecropis cucullata_Greater Striped Swallow
Zapornia flavirostra_Black Crake
Pachyphantes superciliosus_Compact Weaver
Emberiza tahapisi_Cinnamon-breasted Bunting
Caprimulgus rufigena_Rufous-cheeked Nightjar
Caprimulgus fossii_Square-tailed Nightjar
Megaceryle maxima_Giant Kingfisher
Ceryle rudis_Pied Kingfisher
Euplectes hordeaceus_Black-winged Bishop
Musophaga rossae_Ross's Turaco
Campethera cailliautii_Green-backed Woodpecker
Centropus monachus_Blue-headed Coucal
Scopus umbretta_Hamerkop
Terpsiphone viridis_African Paradise-Flycatcher
Petrochelidon spilodera_South African Swallow
Platysteira blissetti_Red-cheeked Wattle-eye
Merops hirundineus_Swallow-tailed Bee-eater
Saxicola torquatus_African Stonechat
Pytilia melba_Green-winged Pytilia
Apus apus_Common Swift
Cossypha natalensis_Red-capped Robin-Chat
Polyboroides typus_African Harrier-Hawk
Lanius humeralis_Northern Fiscal
Strix woodfordii_African Wood-Owl
Neocossyphus fraseri_Rufous Flycatcher-Thrush
Turtur afer_Blue-spotted Wood-Dove
Macronyx croceus_Yellow-throated Longclaw
Ortygospiza atricollis_Quailfinch
Ploceus xanthops_Holub's Golden-Weaver
Cisticola lateralis_Whistling Cisticola
Cisticola erythrops_Red-faced Cisticola
Nigrita canicapillus_Gray-headed Nigrita
Tchagra australis_Brown-crowned Tchagra
Actitis hypoleucos_Common Sandpiper
Sarothrura elegans_Buff-spotted Flufftail
Amblyospiza albifrons_Grosbeak Weaver
Psalidoprocne pristoptera_Black Sawwing
Hirundo angolensis_Angola Swallow
Tchagra senegalus_Black-crowned Tchagra
Anthus leucophrys_Plain-backed Pipit
Charadrius tricollaris_Three-banded Plover
Arenaria interpres_Ruddy Turnstone
Merops variegatus_Blue-breasted Bee-eater
Accipiter melanoleucus_Black Goshawk
Buphagus africanus_Yellow-billed Oxpecker
Mirafra rufocinnamomea_Flappet Lark
Bubulcus ibis_Cattle Egret
Tringa nebularia_Common Greenshank
Stelgidillas gracilirostris_Slender-billed Greenbul
Accipiter minullus_Little Sparrowhawk
Motacilla clara_Mountain Wagtail
Butorides striata_Striated Heron
Ploceus nigricollis_Black-necked Weaver
Passer domesticus_House Sparrow
Stephanoaetus coronatus_Crowned Eagle
Laniarius luehderi_Lühder's Bushshrike
