Thalasseus bergii_Great Crested Tern
Dromas ardeola_Crab-Plover
Passer domesticus_House Sparrow
Actitis hypoleucos_Common Sandpiper
Numenius phaeopus_Whimbrel
Butorides striata_Striated Heron
Thalasseus bengalensis_Lesser Crested Tern
Anous stolidus_Brown Noddy
Eurystomus glaucurus_Broad-billed Roller
Charadrius leschenaultii_Greater Sand-Plover
Milvus migrans_Black Kite
Arenaria interpres_Ruddy Turnstone
Merops superciliosus_Madagascar Bee-eater
Phaethon lepturus_White-tailed Tropicbird
Tringa nebularia_Common Greenshank
Gallinula chloropus_Eurasian Moorhen
Dendrocygna viduata_White-faced Whistling-Duck
Oena capensis_Namaqua Dove
Egretta garzetta_Little Egret
Xenus cinereus_Terek Sandpiper
Fregata ariel_Lesser Frigatebird
Phaethon rubricauda_Red-tailed Tropicbird
Onychoprion anaethetus_Bridled Tern
Ardea alba_Great Egret
Sterna dougallii_Roseate Tern
Corvus albus_Pied Crow
Acridotheres tristis_Common Myna
Porphyrio madagascariensis_African Swamphen
Sula leucogaster_Brown Booby
Numenius arquata_Eurasian Curlew
Ardea cinerea_Gray Heron
Bubulcus ibis_Cattle Egret
Fregata minor_Great Frigatebird
Calidris ferruginea_Curlew Sandpiper
Ardeola ralloides_Squacco Heron
Saxicola torquatus_African Stonechat
Tachybaptus ruficollis_Little Grebe
Onychoprion fuscatus_Sooty Tern
Sula dactylatra_Masked Booby
Numida meleagris_Helmeted Guineafowl
Limosa lapponica_Bar-tailed Godwit
Charadrius tricollaris_Three-banded Plover
Charadrius hiaticula_Common Ringed Plover
Pluvialis squatarola_Black-bellied Plover
Rostratula benghalensis_Greater Painted-Snipe
Himantopus himantopus_Black-winged Stilt
Sternula saundersi_Saunders's Tern
Calidris alba_Sanderling
Sterna hirundo_Common Tern
Tringa glareola_Wood Sandpiper
Hirundo rustica_Barn Swallow
Scopus umbretta_Hamerkop
Chroicocephalus cirrocephalus_Gray-hooded Gull
Ardea purpurea_Purple Heron
Fulica cristata_Red-knobbed Coot
Dendrocygna bicolor_Fulvous Whistling-Duck
Phoenicopterus roseus_Greater Flamingo
Tringa stagnatilis_Marsh Sandpiper
Riparia paludicola_Plain Martin
Cuculus rochii_Madagascar Cuckoo
Phoeniconaias minor_Lesser Flamingo
Calidris minuta_Little Stint
Macheiramphus alcinus_Bat Hawk
Stercorarius antarcticus_Brown Skua
Tyto alba_Barn Owl
Falco peregrinus_Peregrine Falcon
Hydroprogne caspia_Caspian Tern
Nycticorax nycticorax_Black-crowned Night-Heron
Ardenna pacifica_Wedge-tailed Shearwater
Apus melba_Alpine Swift
Anous tenuirostris_Lesser Noddy
Foudia madagascariensis_Red Fody
Chlidonias hybrida_Whiskered Tern
Larus dominicanus_Kelp Gull
Plegadis falcinellus_Glossy Ibis
Coturnix coturnix_Common Quail
Phedina borbonica_Mascarene Martin
Ixobrychus minutus_Little Bittern
Coracopsis nigra_Lesser Vasa Parrot
Agapornis canus_Gray-headed Lovebird
Turtur tympanistria_Tambourine Dove
Dicrurus forficatus_Crested Drongo
Hypsipetes madagascariensis_Malagasy Bulbul
Centropus toulou_Malagasy Coucal
Coturnix delegorguei_Harlequin Quail
Coracopsis vasa_Greater Vasa Parrot
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Zosterops maderaspatanus_Malagasy White-eye
Leptosomus discolor_Cuckoo-roller
Cyanolanius madagascarinus_Blue Vanga
Nesillas typica_Malagasy Brush-Warbler
Phylloscopus trochilus_Willow Warbler
Zapornia pusilla_Baillon's Crake
Motacilla alba_White Wagtail
Athene superciliaris_White-browed Owl
Spermestes cucullata_Bronze Mannikin
Vidua macroura_Pin-tailed Whydah
Coua cristata_Crested Coua
Coua gigas_Giant Coua
Schetba rufa_Rufous Vanga
Otus madagascariensis_Torotoroka Scops-Owl
Xenopirostris damii_Van Dam's Vanga
Crossleyia xanthophrys_Yellow-browed Oxylabes
Ploceus sakalava_Sakalava Weaver
Vanga curvirostris_Hook-billed Vanga
Nesillas lantzii_Subdesert Brush-Warbler
Mesitornis variegatus_White-breasted Mesite
Xenopirostris polleni_Pollen's Vanga
Coua ruficeps_Red-capped Coua
Mesitornis unicolor_Brown Mesite
Philepitta schlegeli_Schlegel's Asity
Atelornis pittoides_Pitta-like Ground-Roller
Coua coquereli_Coquerel's Coua
Falculea palliata_Sickle-billed Vanga
Dryolimnas cuvieri_White-throated Rail
Coua serriana_Red-breasted Coua
Bradypterus brunneus_Brown Emutail
Charadrius mongolus_Lesser Sand-Plover
Upupa marginata_Madagascar Hoopoe
Newtonia amphichroa_Dark Newtonia
Coua reynaudii_Red-fronted Coua
Acrocephalus newtoni_Madagascar Swamp Warbler
Caprimulgus madagascariensis_Madagascar Nightjar
Newtonia archboldi_Archbold's Newtonia
Cryptosylvicola randrianasoloi_Cryptic Warbler
Eremopterix hova_Madagascar Lark
Atelornis crossleyi_Rufous-headed Ground-Roller
Otus rutilus_Madagascar Scops-Owl
