Rhyticeros plicatus_Blyth's Hornbill
Hemiprocne mystacea_Moustached Treeswift
Accipiter hiogaster_Variable Goshawk
Ptilinopus rivoli_White-breasted Fruit-Dove
Phylloscopus poliocephalus_Island Leaf Warbler
Leptocoma aspasia_Black Sunbird
Macropygia amboinensis_Amboyna Cuckoo-Dove
Trichoglossus haematodus_Coconut Lorikeet
Tanysiptera galatea_Common Paradise-Kingfisher
Reinwardtoena reinwardti_Great Cuckoo-Dove
Chalcophaps stephani_Stephan's Dove
Phonygammus keraudrenii_Trumpet Manucode
Cracticus cassicus_Hooded Butcherbird
Erythropitta macklotii_Papuan Pitta
Ducula zoeae_Zoe's Imperial-Pigeon
Ptilinopus iozonus_Orange-bellied Fruit-Dove
Ducula pinon_Pinon's Imperial-Pigeon
Mino dumontii_Yellow-faced Myna
Megapodius freycinet_Dusky Scrubfowl
Cicinnurus regius_King Bird-of-Paradise
Pseudorectes ferrugineus_Rusty Pitohui
Malurus cyanocephalus_Emperor Fairywren
Otidiphaps nobilis_Pheasant Pigeon
Arses telescopthalmus_Frilled Monarch
Rhipidura maculipectus_Black Thicket-Fantail
Toxorhamphus novaeguineae_Yellow-bellied Longbill
Geoffroyus geoffroyi_Red-cheeked Parrot
Aplonis mysolensis_Moluccan Starling
Carterornis chrysomela_Golden Monarch
Geopelia striata_Zebra Dove
Vanellus miles_Masked Lapwing
Ptilinopus viridis_Claret-breasted Fruit-Dove
Phaethon rubricauda_Red-tailed Tropicbird
Talegalla fuscirostris_Yellow-legged Brushturkey
Pitohui kirhocephalus_Northern Variable Pitohui
Colluricincla megarhyncha_Arafura Shrikethrush
Megapodius reinwardt_Orange-footed Scrubfowl
Ducula concinna_Elegant Imperial-Pigeon
Bubulcus ibis_Cattle Egret
Myzomela erythrocephala_Red-headed Myzomela
Oriolus flavocinctus_Green Oriole
Otus magicus_Moluccan Scops-Owl
Cacatua galerita_Sulphur-crested Cockatoo
Ducula spilorrhoa_Torresian Imperial-Pigeon
Rhipidura leucophrys_Willie-wagtail
Fregata ariel_Lesser Frigatebird
Anas superciliosa_Pacific Black Duck
Butorides striata_Striated Heron
Thalasseus bergii_Great Crested Tern
Sterna sumatrana_Black-naped Tern
Tringa brevipes_Gray-tailed Tattler
Streptopelia chinensis_Spotted Dove
Egretta novaehollandiae_White-faced Heron
Egretta sacra_Pacific Reef-Heron
Myiagra ruficollis_Broad-billed Flycatcher
Myzomela obscura_Dusky Myzomela
Esacus magnirostris_Beach Thick-knee
Charadrius mongolus_Lesser Sand-Plover
Fregata minor_Great Frigatebird
Egretta garzetta_Little Egret
Ardea sumatrana_Great-billed Heron
Chrysococcyx minutillus_Little Bronze-Cuckoo
Threskiornis molucca_Australian Ibis
Sphecotheres vieilloti_Australasian Figbird
Cracticus quoyi_Black Butcherbird
Pitta sordida_Hooded Pitta
Rhipidura dryas_Arafura Fantail
Rhipidura rufiventris_Northern Fantail
Artamus leucorynchus_White-breasted Woodswallow
Charadrius leschenaultii_Greater Sand-Plover
Cecropis striolata_Striated Swallow
Actitis hypoleucos_Common Sandpiper
Todiramphus chloris_Collared Kingfisher
Pachycephala simplex_Gray Whistler
Falco peregrinus_Peregrine Falcon
Bulweria bulwerii_Bulwer's Petrel
Sula leucogaster_Brown Booby
Corvus orru_Torresian Crow
Lanius schach_Long-tailed Shrike
Thalasseus bengalensis_Lesser Crested Tern
Chalcophaps longirostris_Pacific Emerald Dove
Dicrurus bracteatus_Spangled Drongo
Amaurornis moluccana_Pale-vented Bush-hen
Cuculus optatus_Oriental Cuckoo
Pluvialis squatarola_Black-bellied Plover
Pelecanus conspicillatus_Australian Pelican
Poliolimnas cinereus_White-browed Crake
Porphyrio melanotus_Australasian Swamphen
Philemon buceroides_Helmeted Friarbird
Radjah radjah_Radjah Shelduck
Himantopus leucocephalus_Pied Stilt
Columba vitiensis_Metallic Pigeon
Eclectus roratus_Eclectus Parrot
Numenius minutus_Little Curlew
Motacilla tschutschensis_Eastern Yellow Wagtail
Synoicus chinensis_Blue-breasted Quail
Pandion haliaetus_Osprey
Calidris tenuirostris_Great Knot
Charadrius veredus_Oriental Plover
Edolisoma tenuirostre_Common Cicadabird
Haliastur indus_Brahminy Kite
Arenaria interpres_Ruddy Turnstone
Gelochelidon nilotica_Gull-billed Tern
Petrochelidon nigricans_Tree Martin
Phaethon lepturus_White-tailed Tropicbird
Centropus phasianinus_Pheasant Coucal
Tachybaptus novaehollandiae_Australasian Grebe
Dendrocygna arcuata_Wandering Whistling-Duck
Sternula albifrons_Little Tern
Hirundapus caudacutus_White-throated Needletail
Tringa nebularia_Common Greenshank
Numenius phaeopus_Whimbrel
