Pelecanus occidentalis_Brown Pelican
Setophaga petechia_Yellow Warbler
Fregata magnificens_Magnificent Frigatebird
Sula nebouxii_Blue-footed Booby
Anous stolidus_Brown Noddy
Tringa incana_Wandering Tattler
Phoenicopterus ruber_American Flamingo
Crotophaga ani_Smooth-billed Ani
Arenaria interpres_Ruddy Turnstone
Butorides striata_Striated Heron
Numenius phaeopus_Whimbrel
Ardea herodias_Great Blue Heron
Charadrius semipalmatus_Semipalmated Plover
Gallinula galeata_Common Gallinule
Calidris alba_Sanderling
Haematopus palliatus_American Oystercatcher
Himantopus mexicanus_Black-necked Stilt
Fregata minor_Great Frigatebird
Bubulcus ibis_Cattle Egret
Coccyzus melacoryphus_Dark-billed Cuckoo
Pterodroma phaeopygia_Galapagos Petrel
Ardea alba_Great Egret
Phalaropus lobatus_Red-necked Phalarope
Nyctanassa violacea_Yellow-crowned Night-Heron
Creagrus furcatus_Swallow-tailed Gull
Spatula discors_Blue-winged Teal
Pluvialis squatarola_Black-bellied Plover
Hydrobates castro_Band-rumped Storm-Petrel
Leucophaeus pipixcan_Franklin's Gull
Leucophaeus atricilla_Laughing Gull
Calidris minutilla_Least Sandpiper
Phaethon aethereus_Red-billed Tropicbird
Calidris melanotos_Pectoral Sandpiper
Thalasseus maximus_Royal Tern
Tringa semipalmata_Willet
Tringa flavipes_Lesser Yellowlegs
Podilymbus podiceps_Pied-billed Grebe
Actitis macularius_Spotted Sandpiper
Hirundo rustica_Barn Swallow
Phalaropus tricolor_Wilson's Phalarope
Tyto alba_Barn Owl
Calidris pusilla_Semipalmated Sandpiper
Zapornia tabuensis_Spotless Crake
Sula leucogaster_Brown Booby
Onychoprion fuscatus_Sooty Tern
Urodynamis taitensis_Long-tailed Koel
Phalaropus fulicarius_Red Phalarope
