Thalasseus bergii_Great Crested Tern
Lalage maculosa_Polynesian Triller
Acridotheres tristis_Common Myna
Acridotheres fuscus_Jungle Myna
Egretta sacra_Pacific Reef-Heron
Sula sula_Red-footed Booby
Aplonis tabuensis_Polynesian Starling
Anas superciliosa_Pacific Black Duck
Fregata minor_Great Frigatebird
Pycnonotus cafer_Red-vented Bulbul
Petroica pusilla_Pacific Robin
Poliolimnas cinereus_White-browed Crake
Anous stolidus_Brown Noddy
Phaethon lepturus_White-tailed Tropicbird
Fregata ariel_Lesser Frigatebird
Columba vitiensis_Metallic Pigeon
Turdus poliocephalus_Island Thrush
Anous minutus_Black Noddy
Sterna sumatrana_Black-naped Tern
Gygis alba_White Tern
Porphyrio melanotus_Australasian Swamphen
Sula leucogaster_Brown Booby
Gallus gallus_Red Junglefowl
Onychoprion anaethetus_Bridled Tern
Gallirallus philippensis_Buff-banded Rail
Sula dactylatra_Masked Booby
Calidris ruficollis_Red-necked Stint
Ardenna grisea_Sooty Shearwater
Numenius tahitiensis_Bristle-thighed Curlew
Numenius madagascariensis_Far Eastern Curlew
Tyto alba_Barn Owl
Numenius phaeopus_Whimbrel
Pluvialis fulva_Pacific Golden-Plover
Urodynamis taitensis_Long-tailed Koel
Tringa incana_Wandering Tattler
Onychoprion fuscatus_Sooty Tern
Ardenna bulleri_Buller's Shearwater
Calidris canutus_Red Knot
Ptilinopus porphyraceus_Crimson-crowned Fruit-Dove
Ducula pacifica_Pacific Imperial-Pigeon
Arenaria interpres_Ruddy Turnstone
Pachycephala flavifrons_Samoan Whistler
Foulehaio carunculatus_Eastern Wattled-Honeyeater
Limosa lapponica_Bar-tailed Godwit
Puffinus bailloni_Tropical Shearwater
Ardenna pacifica_Wedge-tailed Shearwater
Aplonis atrifusca_Samoan Starling
Falco peregrinus_Peregrine Falcon
Zapornia tabuensis_Spotless Crake
Anous ceruleus_Blue-gray Noddy
Gymnomyza samoensis_Mao
Onychoprion lunatus_Gray-backed Tern
Calidris alba_Sanderling
Ardenna tenuirostris_Short-tailed Shearwater
Columba livia_Rock Pigeon
Tringa brevipes_Gray-tailed Tattler
Puffinus nativitatis_Christmas Shearwater
Pterodroma nigripennis_Black-winged Petrel
Charadrius mongolus_Lesser Sand-Plover
Phaethon rubricauda_Red-tailed Tropicbird
Platycercus eximius_Eastern Rosella
Circus approximans_Swamp Harrier
Zosterops lateralis_Silvereye
Cacomantis flabelliformis_Fan-tailed Cuckoo
Stercorarius longicaudus_Long-tailed Jaeger
Padda oryzivora_Java Sparrow
Prosopeia tabuensis_Red Shining-Parrot
Anas acuta_Northern Pintail
Pluvialis squatarola_Black-bellied Plover
Stercorarius pomarinus_Pomarine Jaeger
Himantopus mexicanus_Black-necked Stilt
