Thalasseus bergii_Great Crested Tern
Passer domesticus_House Sparrow
Dromas ardeola_Crab-Plover
Acridotheres tristis_Common Myna
Butorides striata_Striated Heron
Numenius phaeopus_Whimbrel
Phaethon lepturus_White-tailed Tropicbird
Thalasseus bengalensis_Lesser Crested Tern
Actitis hypoleucos_Common Sandpiper
Charadrius leschenaultii_Greater Sand-Plover
Phaethon rubricauda_Red-tailed Tropicbird
Porphyrio madagascariensis_African Swamphen
Eurystomus glaucurus_Broad-billed Roller
Gallinula chloropus_Eurasian Moorhen
Anous stolidus_Brown Noddy
Merops superciliosus_Madagascar Bee-eater
Arenaria interpres_Ruddy Turnstone
Fregata ariel_Lesser Frigatebird
Oena capensis_Namaqua Dove
Tringa nebularia_Common Greenshank
Milvus migrans_Black Kite
Numida meleagris_Helmeted Guineafowl
Dendrocygna viduata_White-faced Whistling-Duck
Fulica cristata_Red-knobbed Coot
Chroicocephalus cirrocephalus_Gray-hooded Gull
Riparia paludicola_Plain Martin
Xenus cinereus_Terek Sandpiper
Saxicola torquatus_African Stonechat
Onychoprion fuscatus_Sooty Tern
Fregata minor_Great Frigatebird
Sterna dougallii_Roseate Tern
Ardeola ralloides_Squacco Heron
Corvus albus_Pied Crow
Charadrius tricollaris_Three-banded Plover
Sula leucogaster_Brown Booby
Onychoprion anaethetus_Bridled Tern
Cuculus rochii_Madagascar Cuckoo
Scopus umbretta_Hamerkop
Bubulcus ibis_Cattle Egret
Calidris ferruginea_Curlew Sandpiper
Limosa lapponica_Bar-tailed Godwit
Egretta garzetta_Little Egret
Ardea cinerea_Gray Heron
Tachybaptus ruficollis_Little Grebe
Sula dactylatra_Masked Booby
Larus dominicanus_Kelp Gull
Rostratula benghalensis_Greater Painted-Snipe
Himantopus himantopus_Black-winged Stilt
Phoenicopterus roseus_Greater Flamingo
Foudia madagascariensis_Red Fody
Dendrocygna bicolor_Fulvous Whistling-Duck
Ardea alba_Great Egret
Sternula saundersi_Saunders's Tern
Pluvialis squatarola_Black-bellied Plover
Ardenna pacifica_Wedge-tailed Shearwater
Calidris alba_Sanderling
Tringa glareola_Wood Sandpiper
Macheiramphus alcinus_Bat Hawk
Phoeniconaias minor_Lesser Flamingo
Stercorarius antarcticus_Brown Skua
Charadrius hiaticula_Common Ringed Plover
Apus melba_Alpine Swift
Ardea purpurea_Purple Heron
Coturnix coturnix_Common Quail
Hirundo rustica_Barn Swallow
Numenius arquata_Eurasian Curlew
Tringa stagnatilis_Marsh Sandpiper
Phedina borbonica_Mascarene Martin
Calidris minuta_Little Stint
Falco peregrinus_Peregrine Falcon
Nycticorax nycticorax_Black-crowned Night-Heron
Sterna hirundo_Common Tern
Chlidonias hybrida_Whiskered Tern
Tyto alba_Barn Owl
Coracopsis nigra_Lesser Vasa Parrot
Plegadis falcinellus_Glossy Ibis
Anous tenuirostris_Lesser Noddy
Hydroprogne caspia_Caspian Tern
Ixobrychus minutus_Little Bittern
Hypsipetes madagascariensis_Malagasy Bulbul
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Dicrurus forficatus_Crested Drongo
Centropus toulou_Malagasy Coucal
Zapornia pusilla_Baillon's Crake
Cinnyris sovimanga_Souimanga Sunbird
