Merops ornatus_Rainbow Bee-eater
Oriolus flavocinctus_Green Oriole
Haliastur sphenurus_Whistling Kite
Corvus orru_Torresian Crow
Geopelia humeralis_Bar-shouldered Dove
Grallina cyanoleuca_Magpie-lark
Cacatua galerita_Sulphur-crested Cockatoo
Vanellus miles_Masked Lapwing
Conopophila albogularis_Rufous-banded Honeyeater
Dicrurus bracteatus_Spangled Drongo
Geopelia placida_Peaceful Dove
Coracina papuensis_White-bellied Cuckooshrike
Myzomela obscura_Dusky Myzomela
Todiramphus macleayii_Forest Kingfisher
Sphecotheres vieilloti_Australasian Figbird
Melithreptus albogularis_White-throated Honeyeater
Eurystomus orientalis_Dollarbird
Dacelo leachii_Blue-winged Kookaburra
Trichoglossus rubritorquis_Red-collared Lorikeet
Microeca flavigaster_Lemon-bellied Flycatcher
Ducula spilorrhoa_Torresian Imperial-Pigeon
Lalage leucomela_Varied Triller
Myiagra alecto_Shining Flycatcher
Chroicocephalus novaehollandiae_Silver Gull
Zosterops luteus_Australian Yellow White-eye
Stomiopera unicolor_White-gaped Honeyeater
Milvus migrans_Black Kite
Lichmera indistincta_Brown Honeyeater
Radjah radjah_Radjah Shelduck
Bubulcus ibis_Cattle Egret
Rhipidura dryas_Arafura Fantail
Chlamydera nuchalis_Great Bowerbird
Cacomantis variolosus_Brush Cuckoo
Anas superciliosa_Pacific Black Duck
Chrysococcyx minutillus_Little Bronze-Cuckoo
Centropus phasianinus_Pheasant Coucal
Haliaeetus leucogaster_White-bellied Sea-Eagle
Pachycephala rufiventris_Rufous Whistler
Falcunculus frontatus_Crested Shrike-tit
Egretta novaehollandiae_White-faced Heron
Edolisoma tenuirostre_Common Cicadabird
Accipiter novaehollandiae_Gray Goshawk
Glareola maldivarum_Oriental Pratincole
Himantopus leucocephalus_Pied Stilt
Butorides striata_Striated Heron
Ardea alba_Great Egret
Ardea sumatrana_Great-billed Heron
Eudynamys orientalis_Pacific Koel
Tachybaptus novaehollandiae_Australasian Grebe
Calidris acuminata_Sharp-tailed Sandpiper
Egretta garzetta_Little Egret
Gerygone olivacea_White-throated Gerygone
Pachycephala lanioides_White-breasted Whistler
Entomyzon cyanotis_Blue-faced Honeyeater
