Hemiprocne mystacea_Moustached Treeswift
Trichoglossus haematodus_Coconut Lorikeet
Cinnyris jugularis_Olive-backed Sunbird
Sphecotheres vieilloti_Australasian Figbird
Threskiornis molucca_Australian Ibis
Anas superciliosa_Pacific Black Duck
Ardea alba_Great Egret
Dicrurus bracteatus_Spangled Drongo
Vanellus miles_Masked Lapwing
Ducula spilorrhoa_Torresian Imperial-Pigeon
Porphyrio melanotus_Australasian Swamphen
Cinclosoma ajax_Painted Quail-thrush
Seleucidis melanoleucus_Twelve-wired Bird-of-Paradise
Orthonyx novaeguineae_Papuan Logrunner
Drepanornis albertisi_Black-billed Sicklebill
Harpyopsis novaeguineae_New Guinea Eagle
Ixobrychus sinensis_Yellow Bittern
Ptilorrhoa castanonota_Chestnut-backed Jewel-babbler
Pachycare flavogriseum_Goldenface
Oriolus szalayi_Brown Oriole
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Ptilorrhoa caerulescens_Blue Jewel-babbler
Cacomantis leucolophus_White-crowned Koel
Talegalla jobiensis_Red-legged Brushturkey
Cormobates placens_Papuan Treecreeper
Centropus menbeki_Greater Black Coucal
Melanorectes nigrescens_Black Pitohui
Anous minutus_Black Noddy
Plegadis falcinellus_Glossy Ibis
Amalocichla incerta_Lesser Ground-Robin
Anseranas semipalmata_Magpie Goose
Myzomela obscura_Dusky Myzomela
Dendrocygna eytoni_Plumed Whistling-Duck
Melidora macrorrhina_Hook-billed Kingfisher
Coracina longicauda_Hooded Cuckooshrike
Passer montanus_Eurasian Tree Sparrow
Ptilorrhoa leucosticta_Spotted Jewel-babbler
Centropus phasianinus_Pheasant Coucal
Corvus tristis_Gray Crow
Peltops montanus_Mountain Peltops
Heteromyias albispecularis_Ashy Robin
Cicinnurus magnificus_Magnificent Bird-of-Paradise
Rhipidura leucothorax_White-bellied Thicket-Fantail
Ixobrychus flavicollis_Black Bittern
Radjah radjah_Radjah Shelduck
Rallina tricolor_Red-necked Crake
Melampitta lugubris_Lesser Melampitta
Edolisoma montanum_Black-bellied Cicadabird
Rhipidura threnothorax_Sooty Thicket-Fantail
Corvus orru_Torresian Crow
Geopelia humeralis_Bar-shouldered Dove
Ptilinopus superbus_Superb Fruit-Dove
Sula sula_Red-footed Booby
Gerygone palpebrosa_Fairy Gerygone
Malurus alboscapulatus_White-shouldered Fairywren
Caligavis subfrenata_Black-throated Honeyeater
Acrocephalus orientalis_Oriental Reed Warbler
Ninox theomacha_Papuan Boobook
Pachycephala soror_Sclater's Whistler
Pandion haliaetus_Osprey
Ardea intermedia_Intermediate Egret
Todiramphus sanctus_Sacred Kingfisher
Muscicapa griseisticta_Gray-streaked Flycatcher
Numenius phaeopus_Whimbrel
Crateroscelis murina_Rusty Mouse-Warbler
Philemon buceroides_Helmeted Friarbird
Oreocharis arfaki_Tit Berrypecker
Lorius lory_Black-capped Lory
Merops ornatus_Rainbow Bee-eater
Motacilla cinerea_Gray Wagtail
Geopelia placida_Peaceful Dove
Tanysiptera sylvia_Buff-breasted Paradise-Kingfisher
Phaethon rubricauda_Red-tailed Tropicbird
Calidris tenuirostris_Great Knot
Coracina lineata_Barred Cuckooshrike
Poecilodryas hypoleuca_Black-sided Robin
Coracina papuensis_White-bellied Cuckooshrike
Sula leucogaster_Brown Booby
Ifrita kowaldi_Blue-capped Ifrita
Accipiter fasciatus_Brown Goshawk
Ninox connivens_Barking Owl
Calidris falcinellus_Broad-billed Sandpiper
Onychoprion anaethetus_Bridled Tern
Machaerirhynchus nigripectus_Black-breasted Boatbill
Gelochelidon nilotica_Gull-billed Tern
Egretta sacra_Pacific Reef-Heron
Peneothello sigillata_White-winged Robin
Rhipidura brachyrhyncha_Dimorphic Fantail
Ceyx azureus_Azure Kingfisher
Zapornia pusilla_Baillon's Crake
Tachybaptus novaehollandiae_Australasian Grebe
Podargus ocellatus_Marbled Frogmouth
Monarcha frater_Black-winged Monarch
Mirafra javanica_Australasian Bushlark
Eurostopodus mystacalis_White-throated Nightjar
Ptiloprora perstriata_Gray-streaked Honeyeater
Dacelo gaudichaud_Rufous-bellied Kookaburra
Ardea sumatrana_Great-billed Heron
Machaerirhynchus flaviventer_Yellow-breasted Boatbill
Entomyzon cyanotis_Blue-faced Honeyeater
Limosa lapponica_Bar-tailed Godwit
Myiagra rubecula_Leaden Flycatcher
Myzomela erythrocephala_Red-headed Myzomela
Aplonis metallica_Metallic Starling
Cracticus quoyi_Black Butcherbird
Macheiramphus alcinus_Bat Hawk
Motacilla tschutschensis_Eastern Yellow Wagtail
Epimachus meyeri_Brown Sicklebill
Milvus migrans_Black Kite
Anous stolidus_Brown Noddy
Hirundapus caudacutus_White-throated Needletail
Melithreptus albogularis_White-throated Honeyeater
Sericornis papuensis_Papuan Scrubwren
Ptiloprora guisei_Rufous-backed Honeyeater
Mino dumontii_Yellow-faced Myna
Fregata minor_Great Frigatebird
Lanius schach_Long-tailed Shrike
Synoicus ypsilophorus_Brown Quail
Cracticus cassicus_Hooded Butcherbird
Ducula zoeae_Zoe's Imperial-Pigeon
Anhinga novaehollandiae_Australasian Darter
Aleadryas rufinucha_Rufous-naped Bellbird
Petrochelidon ariel_Fairy Martin
Tyto tenebricosa_Sooty Owl
Talegalla fuscirostris_Yellow-legged Brushturkey
Elanus caeruleus_Black-winged Kite
Cacomantis castaneiventris_Chestnut-breasted Cuckoo
Crateroscelis robusta_Mountain Mouse-Warbler
Sterna sumatrana_Black-naped Tern
Pluvialis fulva_Pacific Golden-Plover
Fregata ariel_Lesser Frigatebird
Ptilinopus iozonus_Orange-bellied Fruit-Dove
Todiramphus sordidus_Torresian Kingfisher
Charadrius veredus_Oriental Plover
Rhipidura atra_Black Fantail
Symposiachrus trivirgatus_Spectacled Monarch
Rhipidura dryas_Arafura Fantail
Myiagra ruficollis_Broad-billed Flycatcher
Microeca flavigaster_Lemon-bellied Flycatcher
Lalage leucomela_Varied Triller
Pachycephala simplex_Gray Whistler
Turnix maculosus_Red-backed Buttonquail
Artamus leucorynchus_White-breasted Woodswallow
Erythrura trichroa_Blue-faced Parrotfinch
Haematopus longirostris_Pied Oystercatcher
Phaethon lepturus_White-tailed Tropicbird
Chrysococcyx minutillus_Little Bronze-Cuckoo
Charmosyna papou_Papuan Lorikeet
Ardenna pacifica_Wedge-tailed Shearwater
Tringa brevipes_Gray-tailed Tattler
Arses telescopthalmus_Frilled Monarch
Ramsayornis modestus_Brown-backed Honeyeater
Epimachus fastosus_Black Sicklebill
Haliastur indus_Brahminy Kite
Peneothello cyanus_Blue-gray Robin
Ninox boobook_Southern Boobook
Monarcha melanopsis_Black-faced Monarch
Apus pacificus_Pacific Swift
Pseudorectes ferrugineus_Rusty Pitohui
Calidris pugnax_Ruff
Edolisoma tenuirostre_Common Cicadabird
Philemon citreogularis_Little Friarbird
Egretta garzetta_Little Egret
Probosciger aterrimus_Palm Cockatoo
Lonchura castaneothorax_Chestnut-breasted Munia
Accipiter cirrocephalus_Collared Sparrowhawk
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Otidiphaps nobilis_Pheasant Pigeon
Erythropitta macklotii_Papuan Pitta
Himantopus leucocephalus_Pied Stilt
Dacelo leachii_Blue-winged Kookaburra
Nettapus coromandelianus_Cotton Pygmy-Goose
Melidectes belfordi_Belford's Melidectes
Pteridophora alberti_King-of-Saxony Bird-of-Paradise
Gerygone magnirostris_Large-billed Gerygone
Reinwardtoena reinwardti_Great Cuckoo-Dove
Cincloramphus macrurus_Papuan Grassbird
Tringa incana_Wandering Tattler
Ducula pistrinaria_Island Imperial-Pigeon
Accipiter hiogaster_Variable Goshawk
Pelecanus conspicillatus_Australian Pelican
Tyto novaehollandiae_Australian Masked-Owl
Malurus cyanocephalus_Emperor Fairywren
Pachycephala schlegelii_Regent Whistler
Cecropis daurica_Red-rumped Swallow
Ptilinopus magnificus_Wompoo Fruit-Dove
Lalage tricolor_White-winged Triller
Chlidonias hybrida_Whiskered Tern
Ixobrychus dubius_Black-backed Bittern
Cacomantis variolosus_Brush Cuckoo
Burhinus grallarius_Bush Thick-knee
Megapodius reinwardt_Orange-footed Scrubfowl
Myzomela rosenbergii_Red-collared Myzomela
Chalcophaps stephani_Stephan's Dove
Todiramphus macleayii_Forest Kingfisher
Calidris acuminata_Sharp-tailed Sandpiper
Phonygammus keraudrenii_Trumpet Manucode
Conopophila albogularis_Rufous-banded Honeyeater
Antigone rubicunda_Brolga
Dendrocygna arcuata_Wandering Whistling-Duck
Cicinnurus regius_King Bird-of-Paradise
Aviceda subcristata_Pacific Baza
Thalasseus bergii_Great Crested Tern
Actitis hypoleucos_Common Sandpiper
Myiagra cyanoleuca_Satin Flycatcher
Lophorina superba_Greater Lophorina
Falco berigora_Brown Falcon
Arenaria interpres_Ruddy Turnstone
Gallirallus philippensis_Buff-banded Rail
Gerygone levigaster_Mangrove Gerygone
Rhipidura maculipectus_Black Thicket-Fantail
Ardenna carneipes_Flesh-footed Shearwater
Paradisaea minor_Lesser Bird-of-Paradise
Passer domesticus_House Sparrow
Sterna hirundo_Common Tern
Neochmia phaeton_Crimson Finch
Lichmera indistincta_Brown Honeyeater
Spatula querquedula_Garganey
Ducula pinon_Pinon's Imperial-Pigeon
Macropygia doreya_Sultan's Cuckoo-Dove
Oriolus flavocinctus_Green Oriole
Rhipidura albolimbata_Friendly Fantail
Chalcophaps longirostris_Pacific Emerald Dove
Melidectes rufocrissalis_Yellow-browed Melidectes
Pitta versicolor_Noisy Pitta
Tyto alba_Barn Owl
Gallinago hardwickii_Latham's Snipe
Calidris ruficollis_Red-necked Stint
Cincloramphus timoriensis_Tawny Grassbird
Amaurornis moluccana_Pale-vented Bush-hen
Onychoprion fuscatus_Sooty Tern
Macropygia mackinlayi_Mackinlay's Cuckoo-Dove
Tanysiptera galatea_Common Paradise-Kingfisher
Haliastur sphenurus_Whistling Kite
Gallinula tenebrosa_Dusky Moorhen
Cuculus optatus_Oriental Cuckoo
Oriolus sagittatus_Olive-backed Oriole
Hydroprogne caspia_Caspian Tern
Scythrops novaehollandiae_Channel-billed Cuckoo
Gerygone olivacea_White-throated Gerygone
Rhipidura rufifrons_Rufous Fantail
Coracina novaehollandiae_Black-faced Cuckooshrike
Eurystomus orientalis_Dollarbird
Numenius minutus_Little Curlew
Haliaeetus leucogaster_White-bellied Sea-Eagle
Aprosmictus erythropterus_Red-winged Parrot
Limnodromus semipalmatus_Asian Dowitcher
Colluricincla harmonica_Gray Shrikethrush
Chroicocephalus novaehollandiae_Silver Gull
Sula dactylatra_Masked Booby
Sternula albifrons_Little Tern
Geoffroyus geoffroyi_Red-cheeked Parrot
Eudynamys orientalis_Pacific Koel
Rhipidura leucophrys_Willie-wagtail
Columba vitiensis_Metallic Pigeon
Chlidonias leucopterus_White-winged Tern
Eclectus roratus_Eclectus Parrot
Glareola maldivarum_Oriental Pratincole
Syma torotoro_Yellow-billed Kingfisher
Anas gracilis_Gray Teal
Turdus poliocephalus_Island Thrush
Rhyticeros plicatus_Blyth's Hornbill
Alcedo atthis_Common Kingfisher
Cacatua sanguinea_Little Corella
Cacatua galerita_Sulphur-crested Cockatoo
Microeca fascinans_Jacky-winter
Ducula pacifica_Pacific Imperial-Pigeon
Phalacrocorax carbo_Great Cormorant
Grallina cyanoleuca_Magpie-lark
Colluricincla megarhyncha_Arafura Shrikethrush
Myiagra alecto_Shining Flycatcher
Esacus magnirostris_Beach Thick-knee
Myiagra nana_Paperbark Flycatcher
Cisticola juncidis_Zitting Cisticola
Pitta sordida_Hooded Pitta
Synoicus chinensis_Blue-breasted Quail
Calidris subminuta_Long-toed Stint
Falco peregrinus_Peregrine Falcon
Cacomantis flabelliformis_Fan-tailed Cuckoo
Cisticola exilis_Golden-headed Cisticola
Zapornia tabuensis_Spotless Crake
Pitohui kirhocephalus_Northern Variable Pitohui
Philemon corniculatus_Noisy Friarbird
Butorides striata_Striated Heron
Colluricincla rufogaster_Rufous Shrikethrush
Bubulcus ibis_Cattle Egret
Sterna dougallii_Roseate Tern
Fulica atra_Eurasian Coot
Petrochelidon nigricans_Tree Martin
Anthus novaeseelandiae_Australasian Pipit
Gygis alba_White Tern
Rhipidura rufiventris_Northern Fantail
Thalasseus bengalensis_Lesser Crested Tern
Egretta novaehollandiae_White-faced Heron
Tringa glareola_Wood Sandpiper
Pomatostomus temporalis_Gray-crowned Babbler
Ptiloris magnificus_Magnificent Riflebird
Gerygone chloronota_Green-backed Gerygone
Merops philippinus_Blue-tailed Bee-eater
Circus approximans_Swamp Harrier
Caprimulgus macrurus_Large-tailed Nightjar
Poliolimnas cinereus_White-browed Crake
Toxorhamphus novaeguineae_Yellow-bellied Longbill
Hirundo rustica_Barn Swallow
Phylloscopus poliocephalus_Island Leaf Warbler
Charadrius leschenaultii_Greater Sand-Plover
Pluvialis squatarola_Black-bellied Plover
Gallus gallus_Red Junglefowl
Calidris ferruginea_Curlew Sandpiper
Hirundo tahitica_Pacific Swallow
Tringa stagnatilis_Marsh Sandpiper
Carterornis chrysomela_Golden Monarch
Limosa limosa_Black-tailed Godwit
Acrocephalus australis_Australian Reed Warbler
Charadrius mongolus_Lesser Sand-Plover
Tringa nebularia_Common Greenshank
Stercorarius pomarinus_Pomarine Jaeger
Gallinago megala_Swinhoe's Snipe
Charadrius dubius_Little Ringed Plover
Xenus cinereus_Terek Sandpiper
Saxicola caprata_Pied Bushchat
Ardenna tenuirostris_Short-tailed Shearwater
Gymnorhina tibicen_Australian Magpie
Leptocoma aspasia_Black Sunbird
Calidris alba_Sanderling
Macropygia amboinensis_Amboyna Cuckoo-Dove
Phalaropus lobatus_Red-necked Phalarope
Numenius madagascariensis_Far Eastern Curlew
Tachybaptus ruficollis_Little Grebe
Bulweria bulwerii_Bulwer's Petrel
Ptilinopus rivoli_White-breasted Fruit-Dove
Ptilinopus viridis_Claret-breasted Fruit-Dove
Lonchura atricapilla_Chestnut Munia
Ardenna grisea_Sooty Shearwater
Geoffroyus heteroclitus_Singing Parrot
Urodynamis taitensis_Long-tailed Koel
Micropsitta finschii_Finsch's Pygmy-Parrot
Dicaeum hirundinaceum_Mistletoebird
Ptilinopus solomonensis_Yellow-bibbed Fruit-Dove
Todiramphus tristrami_Melanesian Kingfisher
Megapodius eremita_Melanesian Scrubfowl
Stercorarius parasiticus_Parasitic Jaeger
Mino kreffti_Long-tailed Myna
Ducula rubricera_Red-knobbed Imperial-Pigeon
Acridotheres tristis_Common Myna
Lonchura punctulata_Scaly-breasted Munia
Hirundo neoxena_Welcome Swallow
Pseudeos cardinalis_Cardinal Lory
Ocyphaps lophotes_Crested Pigeon
Aplonis grandis_Brown-winged Starling
