Trichoglossus haematodus_Coconut Lorikeet
Hemiprocne mystacea_Moustached Treeswift
Todiramphus sacer_Pacific Kingfisher
Anas superciliosa_Pacific Black Duck
Thalasseus bergii_Great Crested Tern
Porphyrio melanotus_Australasian Swamphen
Tyto alba_Barn Owl
Hirundo tahitica_Pacific Swallow
Macropygia mackinlayi_Mackinlay's Cuckoo-Dove
Sterna sumatrana_Black-naped Tern
Onychoprion anaethetus_Bridled Tern
Sula sula_Red-footed Booby
Fregata ariel_Lesser Frigatebird
Tringa brevipes_Gray-tailed Tattler
Actitis hypoleucos_Common Sandpiper
Sula leucogaster_Brown Booby
Egretta sacra_Pacific Reef-Heron
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Pluvialis fulva_Pacific Golden-Plover
Fregata minor_Great Frigatebird
Calidris acuminata_Sharp-tailed Sandpiper
Arenaria interpres_Ruddy Turnstone
Ardenna pacifica_Wedge-tailed Shearwater
Butorides striata_Striated Heron
Phaethon lepturus_White-tailed Tropicbird
Gallirallus philippensis_Buff-banded Rail
Numenius phaeopus_Whimbrel
Tringa incana_Wandering Tattler
Onychoprion fuscatus_Sooty Tern
Ducula pacifica_Pacific Imperial-Pigeon
Limosa lapponica_Bar-tailed Godwit
Chalcophaps stephani_Stephan's Dove
Lorius chlorocercus_Yellow-bibbed Lory
Gallus gallus_Red Junglefowl
Coracina lineata_Barred Cuckooshrike
Anous minutus_Black Noddy
Geoffroyus heteroclitus_Singing Parrot
Phaethon rubricauda_Red-tailed Tropicbird
Falco peregrinus_Peregrine Falcon
Pandion haliaetus_Osprey
Acridotheres tristis_Common Myna
Myzomela cardinalis_Cardinal Myzomela
Columba vitiensis_Metallic Pigeon
Tachybaptus novaehollandiae_Australasian Grebe
Anous stolidus_Brown Noddy
Ducula pistrinaria_Island Imperial-Pigeon
Accipiter fasciatus_Brown Goshawk
Megapodius eremita_Melanesian Scrubfowl
Monarcha castaneiventris_Chestnut-bellied Monarch
Micropsitta finschii_Finsch's Pygmy-Parrot
Alcedo atthis_Common Kingfisher
Ptilinopus solomonensis_Yellow-bibbed Fruit-Dove
Circus approximans_Swamp Harrier
Aviceda subcristata_Pacific Baza
Lonchura atricapilla_Chestnut Munia
Mino kreffti_Long-tailed Myna
Aplonis metallica_Metallic Starling
Cacomantis variolosus_Brush Cuckoo
Ducula rubricera_Red-knobbed Imperial-Pigeon
Amaurornis moluccana_Pale-vented Bush-hen
Turdus poliocephalus_Island Thrush
Haliastur indus_Brahminy Kite
Edolisoma tenuirostre_Common Cicadabird
Pseudeos cardinalis_Cardinal Lory
Esacus magnirostris_Beach Thick-knee
Rhipidura albiscapa_Gray Fantail
Artamus leucorynchus_White-breasted Woodswallow
Erythrura trichroa_Blue-faced Parrotfinch
Pachycephala orioloides_Oriole Whistler
Rhipidura rufifrons_Rufous Fantail
Chalcophaps longirostris_Pacific Emerald Dove
Eclectus roratus_Eclectus Parrot
Eudynamys orientalis_Pacific Koel
Eurystomus orientalis_Dollarbird
Ardenna tenuirostris_Short-tailed Shearwater
Cinnyris jugularis_Olive-backed Sunbird
Puffinus bailloni_Tropical Shearwater
Petroica pusilla_Pacific Robin
Rhipidura leucophrys_Willie-wagtail
Todiramphus sanctus_Sacred Kingfisher
Anas gracilis_Gray Teal
Sternula albifrons_Little Tern
Charadrius mongolus_Lesser Sand-Plover
Lalage leucopyga_Long-tailed Triller
Urodynamis taitensis_Long-tailed Koel
Calidris ruficollis_Red-necked Stint
Sula dactylatra_Masked Booby
Egretta novaehollandiae_White-faced Heron
Gerygone flavolateralis_Fan-tailed Gerygone
Cacomantis flabelliformis_Fan-tailed Cuckoo
Ixobrychus flavicollis_Black Bittern
Dicrurus bracteatus_Spangled Drongo
Zapornia tabuensis_Spotless Crake
Sterna hirundo_Common Tern
Pluvialis squatarola_Black-bellied Plover
Ardenna grisea_Sooty Shearwater
Gygis alba_White Tern
Meliarchus sclateri_Makira Honeyeater
Ptilinopus superbus_Superb Fruit-Dove
Lonchura castaneothorax_Chestnut-breasted Munia
Dicaeum tristrami_Mottled Flowerpecker
Passer domesticus_House Sparrow
Myiagra caledonica_Melanesian Flycatcher
Ardea alba_Great Egret
Calidris alba_Sanderling
Stercorarius pomarinus_Pomarine Jaeger
Gallinula tenebrosa_Dusky Moorhen
Aplonis grandis_Brown-winged Starling
Bulweria bulwerii_Bulwer's Petrel
Sterna dougallii_Roseate Tern
Cacatua ducorpsii_Ducorps's Cockatoo
Dicaeum aeneum_Midget Flowerpecker
Myiagra ferrocyanea_Steel-blue Flycatcher
Coracina papuensis_White-bellied Cuckooshrike
Ptilinopus viridis_Claret-breasted Fruit-Dove
Pachycephala chlorura_Vanuatu Whistler
Turnix maculosus_Red-backed Buttonquail
Poliolimnas cinereus_White-browed Crake
Lichmera incana_Dark-brown Honeyeater
Rhyticeros plicatus_Blyth's Hornbill
Threskiornis molucca_Australian Ibis
Phylloscopus poliocephalus_Island Leaf Warbler
Todiramphus tristrami_Melanesian Kingfisher
Zosterops lateralis_Silvereye
Vanellus miles_Masked Lapwing
Accipiter hiogaster_Variable Goshawk
Columba livia_Rock Pigeon
Calidris pugnax_Ruff
Tringa glareola_Wood Sandpiper
Limosa limosa_Black-tailed Godwit
Tringa nebularia_Common Greenshank
Petrochelidon nigricans_Tree Martin
Motacilla tschutschensis_Eastern Yellow Wagtail
Zosterops flavifrons_Yellow-fronted White-eye
Phalaropus lobatus_Red-necked Phalarope
Centropus milo_Buff-headed Coucal
Pterodroma nigripennis_Black-winged Petrel
Pterodroma inexpectata_Mottled Petrel
Motacilla cinerea_Gray Wagtail
Passer montanus_Eurasian Tree Sparrow
Cuculus optatus_Oriental Cuckoo
Onychoprion lunatus_Gray-backed Tern
Stercorarius longicaudus_Long-tailed Jaeger
