Zenaida meloda_West Peruvian Dove
Mimus longicaudatus_Long-tailed Mockingbird
Pyrocephalus rubinus_Vermilion Flycatcher
Chroicocephalus cirrocephalus_Gray-hooded Gull
Larus belcheri_Belcher's Gull
Larus dominicanus_Kelp Gull
Columbina cruziana_Croaking Ground Dove
Numenius phaeopus_Whimbrel
Amazilis amazilia_Amazilia Hummingbird
Charadrius vociferus_Killdeer
Haematopus palliatus_American Oystercatcher
Gallinula galeata_Common Gallinule
Sula nebouxii_Blue-footed Booby
Leucophaeus pipixcan_Franklin's Gull
Himantopus mexicanus_Black-necked Stilt
Zonotrichia capensis_Rufous-collared Sparrow
Ardea alba_Great Egret
Spatula cyanoptera_Cinnamon Teal
Podiceps major_Great Grebe
Leistes bellicosus_Peruvian Meadowlark
Actitis macularius_Spotted Sandpiper
Coragyps atratus_Black Vulture
Arenaria interpres_Ruddy Turnstone
Egretta thula_Snowy Egret
Zenaida auriculata_Eared Dove
Phleocryptes melanops_Wren-like Rushbird
Fulica ardesiaca_Slate-colored Coot
Pygochelidon cyanoleuca_Blue-and-white Swallow
Nannopterum brasilianum_Neotropic Cormorant
Calidris alba_Sanderling
Parabuteo unicinctus_Harris's Hawk
Calidris minutilla_Least Sandpiper
Cathartes aura_Turkey Vulture
Larosterna inca_Inca Tern
Dives warczewiczi_Scrub Blackbird
Bubulcus ibis_Cattle Egret
Butorides striata_Striated Heron
Burhinus superciliaris_Peruvian Thick-knee
Athene cunicularia_Burrowing Owl
Charadrius semipalmatus_Semipalmated Plover
Tachuris rubrigastra_Many-colored Rush Tyrant
Thalasseus elegans_Elegant Tern
Leucophaeus modestus_Gray Gull
Egretta caerulea_Little Blue Heron
Podilymbus podiceps_Pied-billed Grebe
Molothrus bonariensis_Shiny Cowbird
Sicalis luteola_Grassland Yellow-Finch
Forpus coelestis_Pacific Parrotlet
Thalasseus maximus_Royal Tern
Calidris pusilla_Semipalmated Sandpiper
Sporophila telasco_Chestnut-throated Seedeater
Sicalis flaveola_Saffron Finch
Crotophaga sulcirostris_Groove-billed Ani
Conirostrum cinereum_Cinereous Conebill
Anthus peruvianus_Peruvian Pipit
Geothlypis aequinoctialis_Masked Yellowthroat
Plegadis ridgwayi_Puna Ibis
Tringa melanoleuca_Greater Yellowlegs
Spatula discors_Blue-winged Teal
Pardirallus sanguinolentus_Plumbeous Rail
Nycticorax nycticorax_Black-crowned Night-Heron
Tringa flavipes_Lesser Yellowlegs
Falco sparverius_American Kestrel
Oxyura ferruginea_Andean Duck
Passer domesticus_House Sparrow
Pluvialis squatarola_Black-bellied Plover
Rynchops niger_Black Skimmer
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Oreopholus ruficollis_Tawny-throated Dotterel
Leucophaeus atricilla_Laughing Gull
Phalaropus tricolor_Wilson's Phalarope
Nothoprocta pentlandii_Andean Tinamou
Pluvialis dominica_American Golden-Plover
Saltator striatipectus_Streaked Saltator
Calidris himantopus_Stilt Sandpiper
Rhopospina alaudina_Band-tailed Sierra Finch
Falco peregrinus_Peregrine Falcon
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
