Passer montanus_Eurasian Tree Sparrow
Artamus leucorynchus_White-breasted Woodswallow
Egretta garzetta_Little Egret
Thalasseus bergii_Great Crested Tern
Butorides striata_Striated Heron
Gelochelidon nilotica_Gull-billed Tern
Geopelia striata_Zebra Dove
Charadrius leschenaultii_Greater Sand-Plover
Egretta sacra_Pacific Reef-Heron
Calidris canutus_Red Knot
Turnix sylvaticus_Small Buttonquail
Actitis hypoleucos_Common Sandpiper
Haliastur indus_Brahminy Kite
Rhipidura javanica_Malaysian Pied-Fantail
Anous stolidus_Brown Noddy
Pycnonotus goiavier_Yellow-vented Bulbul
Ardea alba_Great Egret
Limosa limosa_Black-tailed Godwit
Tringa stagnatilis_Marsh Sandpiper
Thalasseus bengalensis_Lesser Crested Tern
Calidris tenuirostris_Great Knot
Hirundo tahitica_Pacific Swallow
Tringa glareola_Wood Sandpiper
Onychoprion anaethetus_Bridled Tern
Tringa brevipes_Gray-tailed Tattler
Calidris ruficollis_Red-necked Stint
Acridotheres javanicus_Javan Myna
Chlidonias hybrida_Whiskered Tern
Alcippe pyrrhoptera_Javan Fulvetta
Haliaeetus leucogaster_White-bellied Sea-Eagle
Psilopogon haemacephalus_Coppersmith Barbet
Psilopogon armillaris_Flame-fronted Barbet
Onychoprion fuscatus_Sooty Tern
Numenius phaeopus_Whimbrel
Calidris subminuta_Long-toed Stint
Pluvialis squatarola_Black-bellied Plover
Ardenna pacifica_Wedge-tailed Shearwater
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Sterna dougallii_Roseate Tern
Todiramphus sanctus_Sacred Kingfisher
Mirafra javanica_Australasian Bushlark
Cyanoderma melanothorax_Crescent-chested Babbler
Tesia superciliaris_Javan Tesia
Chlidonias leucopterus_White-winged Tern
Treron vernans_Pink-necked Green-Pigeon
Limosa lapponica_Bar-tailed Godwit
Eumyias indigo_Indigo Flycatcher
Arborophila javanica_Chestnut-bellied Partridge
Charadrius mongolus_Lesser Sand-Plover
Psilopogon corvinus_Brown-throated Barbet
Dicrurus leucophaeus_Ashy Drongo
Streptopelia chinensis_Spotted Dove
Calidris acuminata_Sharp-tailed Sandpiper
Crypsirina temia_Racket-tailed Treepie
Anas superciliosa_Pacific Black Duck
Lanius schach_Long-tailed Shrike
Tringa nebularia_Common Greenshank
Stachyris thoracica_White-bibbed Babbler
Arenaria interpres_Ruddy Turnstone
Hemipus hirundinaceus_Black-winged Flycatcher-shrike
Sterna hirundo_Common Tern
