Grallina cyanoleuca_Magpie-lark
Geopelia placida_Peaceful Dove
Trichoglossus moluccanus_Rainbow Lorikeet
Corvus orru_Torresian Crow
Rhipidura leucophrys_Willie-wagtail
Vanellus miles_Masked Lapwing
Haliastur sphenurus_Whistling Kite
Cacatua galerita_Sulphur-crested Cockatoo
Milvus migrans_Black Kite
Merops ornatus_Rainbow Bee-eater
Strepera graculina_Pied Currawong
Geopelia humeralis_Bar-shouldered Dove
Rhipidura albiscapa_Gray Fantail
Gymnorhina tibicen_Australian Magpie
Coracina papuensis_White-bellied Cuckooshrike
Artamus cinereus_Black-faced Woodswallow
Chlamydera nuchalis_Great Bowerbird
Lichmera indistincta_Brown Honeyeater
Pachycephala rufiventris_Rufous Whistler
Artamus leucorynchus_White-breasted Woodswallow
Aprosmictus erythropterus_Red-winged Parrot
Chroicocephalus novaehollandiae_Silver Gull
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Taeniopygia guttata_Zebra Finch
Dacelo leachii_Blue-winged Kookaburra
Egretta novaehollandiae_White-faced Heron
Anas superciliosa_Pacific Black Duck
Entomyzon cyanotis_Blue-faced Honeyeater
Eolophus roseicapilla_Galah
Melithreptus albogularis_White-throated Honeyeater
Anhinga novaehollandiae_Australasian Darter
Elseyornis melanops_Black-fronted Dotterel
Ardea alba_Great Egret
Dicaeum hirundinaceum_Mistletoebird
Threskiornis molucca_Australian Ibis
Himantopus leucocephalus_Pied Stilt
Pelecanus conspicillatus_Australian Pelican
Todiramphus macleayii_Forest Kingfisher
Struthidea cinerea_Apostlebird
Anas gracilis_Gray Teal
Antigone rubicunda_Brolga
Tachybaptus novaehollandiae_Australasian Grebe
Coracina novaehollandiae_Black-faced Cuckooshrike
Oriolus sagittatus_Olive-backed Oriole
Hirundo neoxena_Welcome Swallow
Neochmia temporalis_Red-browed Firetail
Anseranas semipalmata_Magpie Goose
Philemon citreogularis_Little Friarbird
Eurystomus orientalis_Dollarbird
Myiagra rubecula_Leaden Flycatcher
Falco berigora_Brown Falcon
Lalage tricolor_White-winged Triller
Platycercus adscitus_Pale-headed Rosella
Centropus phasianinus_Pheasant Coucal
Stizoptera bichenovii_Double-barred Finch
Ardea intermedia_Intermediate Egret
Anthus novaeseelandiae_Australasian Pipit
Cracticus nigrogularis_Pied Butcherbird
Colluricincla harmonica_Gray Shrikethrush
Haliaeetus leucogaster_White-bellied Sea-Eagle
Eurostopodus argus_Spotted Nightjar
Bubulcus ibis_Cattle Egret
Smicrornis brevirostris_Weebill
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Phaps chalcoptera_Common Bronzewing
Pardalotus striatus_Striated Pardalote
Philemon corniculatus_Noisy Friarbird
Pardalotus rubricatus_Red-browed Pardalote
Burhinus grallarius_Bush Thick-knee
Egretta garzetta_Little Egret
Apus pacificus_Pacific Swift
Cincloramphus mathewsi_Rufous Songlark
Pomatostomus temporalis_Gray-crowned Babbler
Malurus melanocephalus_Red-backed Fairywren
Malacorhynchus membranaceus_Pink-eared Duck
Myzomela sanguinolenta_Scarlet Myzomela
Lonchura castaneothorax_Chestnut-breasted Munia
Melopsittacus undulatus_Budgerigar
Aegotheles cristatus_Australian Owlet-nightjar
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Passer domesticus_House Sparrow
Dicrurus bracteatus_Spangled Drongo
Circus approximans_Swamp Harrier
Cacomantis pallidus_Pallid Cuckoo
Petrochelidon ariel_Fairy Martin
Plegadis falcinellus_Glossy Ibis
Myiagra nana_Paperbark Flycatcher
Manorina flavigula_Yellow-throated Miner
Cacomantis variolosus_Brush Cuckoo
Actitis hypoleucos_Common Sandpiper
Sphecotheres vieilloti_Australasian Figbird
Numenius phaeopus_Whimbrel
Gelochelidon nilotica_Gull-billed Tern
Gerygone olivacea_White-throated Gerygone
Dacelo novaeguineae_Laughing Kookaburra
Fulica atra_Eurasian Coot
Microeca fascinans_Jacky-winter
Antigone antigone_Sarus Crane
Podargus strigoides_Tawny Frogmouth
Ocyphaps lophotes_Crested Pigeon
Calidris acuminata_Sharp-tailed Sandpiper
Neochmia phaeton_Crimson Finch
Rhipidura rufiventris_Northern Fantail
Petrochelidon nigricans_Tree Martin
Hydroprogne caspia_Caspian Tern
Cacatua sanguinea_Little Corella
Chlidonias hybrida_Whiskered Tern
Todiramphus sanctus_Sacred Kingfisher
Cisticola exilis_Golden-headed Cisticola
Synoicus ypsilophorus_Brown Quail
Daphoenositta chrysoptera_Varied Sittella
Accipiter cirrocephalus_Collared Sparrowhawk
Artamus personatus_Masked Woodswallow
Corvus coronoides_Australian Raven
Chenonetta jubata_Maned Duck
Ceyx azureus_Azure Kingfisher
Tringa nebularia_Common Greenshank
Ninox boobook_Southern Boobook
Nymphicus hollandicus_Cockatiel
Limosa lapponica_Bar-tailed Godwit
Accipiter fasciatus_Brown Goshawk
Dendrocygna arcuata_Wandering Whistling-Duck
Mirafra javanica_Australasian Bushlark
Arenaria interpres_Ruddy Turnstone
Cygnus atratus_Black Swan
Dendrocygna eytoni_Plumed Whistling-Duck
Scythrops novaehollandiae_Channel-billed Cuckoo
Lalage leucomela_Varied Triller
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet
Cincloramphus cruralis_Brown Songlark
Oriolus flavocinctus_Green Oriole
Eudynamys orientalis_Pacific Koel
Melithreptus gularis_Black-chinned Honeyeater
Tringa stagnatilis_Marsh Sandpiper
Ninox connivens_Barking Owl
Zapornia pusilla_Baillon's Crake
Coturnix pectoralis_Stubble Quail
Calidris ruficollis_Red-necked Stint
Calidris ferruginea_Curlew Sandpiper
Turnix maculosus_Red-backed Buttonquail
Cacomantis flabelliformis_Fan-tailed Cuckoo
Acrocephalus australis_Australian Reed Warbler
Porphyrio melanotus_Australasian Swamphen
Limosa limosa_Black-tailed Godwit
Artamus superciliosus_White-browed Woodswallow
Chrysococcyx osculans_Black-eared Cuckoo
Phalacrocorax carbo_Great Cormorant
Falco peregrinus_Peregrine Falcon
Cincloramphus timoriensis_Tawny Grassbird
Tyto alba_Barn Owl
Alectura lathami_Australian Brushturkey
Malurus assimilis_Purple-backed Fairywren
Grantiella picta_Painted Honeyeater
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Podiceps cristatus_Great Crested Grebe
Aviceda subcristata_Pacific Baza
Cracticus torquatus_Gray Butcherbird
Numenius madagascariensis_Far Eastern Curlew
Tringa glareola_Wood Sandpiper
Edolisoma tenuirostre_Common Cicadabird
Radjah radjah_Radjah Shelduck
Glareola maldivarum_Oriental Pratincole
Tringa brevipes_Gray-tailed Tattler
Stomiopera unicolor_White-gaped Honeyeater
Gallinago hardwickii_Latham's Snipe
Charadrius veredus_Oriental Plover
Tribonyx ventralis_Black-tailed Nativehen
Cinnyris jugularis_Olive-backed Sunbird
Microeca flavigaster_Lemon-bellied Flycatcher
Hirundapus caudacutus_White-throated Needletail
