Sphecotheres vieilloti_Australasian Figbird
Vanellus miles_Masked Lapwing
Geopelia placida_Peaceful Dove
Trichoglossus moluccanus_Rainbow Lorikeet
Corvus orru_Torresian Crow
Entomyzon cyanotis_Blue-faced Honeyeater
Geopelia humeralis_Bar-shouldered Dove
Anas superciliosa_Pacific Black Duck
Grallina cyanoleuca_Magpie-lark
Threskiornis molucca_Australian Ibis
Cinnyris jugularis_Olive-backed Sunbird
Philemon buceroides_Helmeted Friarbird
Lichmera indistincta_Brown Honeyeater
Myzomela obscura_Dusky Myzomela
Dicrurus bracteatus_Spangled Drongo
Merops ornatus_Rainbow Bee-eater
Anseranas semipalmata_Magpie Goose
Symposiachrus trivirgatus_Spectacled Monarch
Anhinga novaehollandiae_Australasian Darter
Hirundo neoxena_Welcome Swallow
Myiagra rubecula_Leaden Flycatcher
Ducula spilorrhoa_Torresian Imperial-Pigeon
Philemon citreogularis_Little Friarbird
Burhinus grallarius_Bush Thick-knee
Chroicocephalus novaehollandiae_Silver Gull
Colluricincla rufogaster_Rufous Shrikethrush
Megapodius reinwardt_Orange-footed Scrubfowl
Dendrocygna eytoni_Plumed Whistling-Duck
Melithreptus albogularis_White-throated Honeyeater
Centropus phasianinus_Pheasant Coucal
Milvus migrans_Black Kite
Lalage leucomela_Varied Triller
Cacatua galerita_Sulphur-crested Cockatoo
Ardea intermedia_Intermediate Egret
Cracticus quoyi_Black Butcherbird
Porphyrio melanotus_Australasian Swamphen
Pelecanus conspicillatus_Australian Pelican
Ardea alba_Great Egret
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Todiramphus macleayii_Forest Kingfisher
Gerygone palpebrosa_Fairy Gerygone
Plegadis falcinellus_Glossy Ibis
Gallinula tenebrosa_Dusky Moorhen
Todiramphus sanctus_Sacred Kingfisher
Gelochelidon nilotica_Gull-billed Tern
Oriolus flavocinctus_Green Oriole
Haliastur sphenurus_Whistling Kite
Petrochelidon ariel_Fairy Martin
Pandion haliaetus_Osprey
Tachybaptus novaehollandiae_Australasian Grebe
Dacelo leachii_Blue-winged Kookaburra
Rhipidura leucophrys_Willie-wagtail
Pitta versicolor_Noisy Pitta
Ptilinopus superbus_Superb Fruit-Dove
Aplonis metallica_Metallic Starling
Eudynamys orientalis_Pacific Koel
Ardenna pacifica_Wedge-tailed Shearwater
Egretta novaehollandiae_White-faced Heron
Coracina novaehollandiae_Black-faced Cuckooshrike
Chalcophaps longirostris_Pacific Emerald Dove
Tanysiptera sylvia_Buff-breasted Paradise-Kingfisher
Numenius phaeopus_Whimbrel
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Haliastur indus_Brahminy Kite
Ptilinopus magnificus_Wompoo Fruit-Dove
Rhipidura rufifrons_Rufous Fantail
Coracina lineata_Barred Cuckooshrike
Calidris acuminata_Sharp-tailed Sandpiper
Artamus leucorynchus_White-breasted Woodswallow
Ramsayornis modestus_Brown-backed Honeyeater
Phaethon lepturus_White-tailed Tropicbird
Gymnorhina tibicen_Australian Magpie
Oriolus sagittatus_Olive-backed Oriole
Anas gracilis_Gray Teal
Monarcha melanopsis_Black-faced Monarch
Anous minutus_Black Noddy
Eurostopodus mystacalis_White-throated Nightjar
Chrysococcyx minutillus_Little Bronze-Cuckoo
Egretta garzetta_Little Egret
Phaethon rubricauda_Red-tailed Tropicbird
Gerygone magnirostris_Large-billed Gerygone
Philemon corniculatus_Noisy Friarbird
Rallina tricolor_Red-necked Crake
Bubulcus ibis_Cattle Egret
Tyto novaehollandiae_Australian Masked-Owl
Coracina papuensis_White-bellied Cuckooshrike
Neochmia phaeton_Crimson Finch
Cisticola exilis_Golden-headed Cisticola
Fulica atra_Eurasian Coot
Lonchura castaneothorax_Chestnut-breasted Munia
Nettapus coromandelianus_Cotton Pygmy-Goose
Edolisoma tenuirostre_Common Cicadabird
Ixobrychus flavicollis_Black Bittern
Anous stolidus_Brown Noddy
Haematopus longirostris_Pied Oystercatcher
Thalasseus bergii_Great Crested Tern
Cacomantis variolosus_Brush Cuckoo
Sula sula_Red-footed Booby
Dicaeum hirundinaceum_Mistletoebird
Limosa lapponica_Bar-tailed Godwit
Anthus novaeseelandiae_Australasian Pipit
Radjah radjah_Radjah Shelduck
Passer domesticus_House Sparrow
Antigone rubicunda_Brolga
Egretta sacra_Pacific Reef-Heron
Chlidonias hybrida_Whiskered Tern
Onychoprion anaethetus_Bridled Tern
Pluvialis fulva_Pacific Golden-Plover
Cincloramphus timoriensis_Tawny Grassbird
Eurystomus orientalis_Dollarbird
Accipiter fasciatus_Brown Goshawk
Himantopus leucocephalus_Pied Stilt
Sterna sumatrana_Black-naped Tern
Colluricincla harmonica_Gray Shrikethrush
Zapornia pusilla_Baillon's Crake
Sula leucogaster_Brown Booby
Haliaeetus leucogaster_White-bellied Sea-Eagle
Fregata minor_Great Frigatebird
Charadrius veredus_Oriental Plover
Aprosmictus erythropterus_Red-winged Parrot
Scythrops novaehollandiae_Channel-billed Cuckoo
Actitis hypoleucos_Common Sandpiper
Cracticus nigrogularis_Pied Butcherbird
Sula dactylatra_Masked Booby
Ninox boobook_Southern Boobook
Arenaria interpres_Ruddy Turnstone
Onychoprion fuscatus_Sooty Tern
Hydroprogne caspia_Caspian Tern
Aviceda subcristata_Pacific Baza
Calidris tenuirostris_Great Knot
Tringa brevipes_Gray-tailed Tattler
Mirafra javanica_Australasian Bushlark
Ceyx azureus_Azure Kingfisher
Cacatua sanguinea_Little Corella
Tyto alba_Barn Owl
Microeca flavigaster_Lemon-bellied Flycatcher
Tringa incana_Wandering Tattler
