Camaroptera brachyura_Green-backed Camaroptera
Onychognathus nabouroup_Pale-winged Starling
Uraeginthus angolensis_Southern Cordonbleu
Lamprotornis nitens_Cape Starling
Corythaixoides concolor_Gray Go-away-bird
Dicrurus adsimilis_Fork-tailed Drongo
Plocepasser mahali_White-browed Sparrow-Weaver
Myrmecocichla monticola_Mountain Wheatear
Passer diffusus_Southern Gray-headed Sparrow
Streptopelia capicola_Ring-necked Dove
Motacilla capensis_Cape Wagtail
Tockus leucomelas_Southern Yellow-billed Hornbill
Lophoceros nasutus_African Gray Hornbill
Dryoscopus cubla_Black-backed Puffback
Cinnyris fuscus_Dusky Sunbird
Calendulauda africanoides_Fawn-colored Lark
Lamprotornis australis_Burchell's Starling
Pternistis adspersus_Red-billed Francolin
Glaucidium perlatum_Pearl-spotted Owlet
Calendulauda sabota_Sabota Lark
Lanius collaris_Southern Fiscal
Crithagra albogularis_White-throated Canary
Turdoides hartlaubii_Hartlaub's Babbler
Corvus albus_Pied Crow
Streptopelia senegalensis_Laughing Dove
Cypsiurus parvus_African Palm-Swift
Eupodotis afraoides_White-quilled Bustard
Anthoscopus minutus_Southern Penduline-Tit
Cisticola chiniana_Rattling Cisticola
Laniarius bicolor_Gabon Boubou
Cinnyricinclus leucogaster_Violet-backed Starling
Philetairus socius_Sociable Weaver
Coracias caudatus_Lilac-breasted Roller
Pterocles namaqua_Namaqua Sandgrouse
Eupodotis ruficrista_Red-crested Bustard
Prinia flavicans_Black-chested Prinia
Urocolius indicus_Red-faced Mousebird
Caprimulgus pectoralis_Fiery-necked Nightjar
Achaetops pycnopygius_Rockrunner
Chersomanes albofasciata_Spike-heeled Lark
Laniarius atrococcineus_Crimson-breasted Gonolek
Sylvietta rufescens_Cape Crombec
Lamprotornis mevesii_Meves's Starling
Buteo augur_Augur Buzzard
Vanellus coronatus_Crowned Lapwing
Vanellus armatus_Blacksmith Lapwing
Cinnyris mariquensis_Mariqua Sunbird
Estrilda astrild_Common Waxbill
Emberiza capensis_Cape Bunting
Terpsiphone viridis_African Paradise-Flycatcher
Melaniparus cinerascens_Ashy Tit
Passer domesticus_House Sparrow
Pycnonotus nigricans_Black-fronted Bulbul
Crithagra atrogularis_Black-throated Canary
Merops hirundineus_Swallow-tailed Bee-eater
Chlorocichla flaviventris_Yellow-bellied Greenbul
Columba guinea_Speckled Pigeon
Thalasseus sandvicensis_Sandwich Tern
Bubalornis niger_Red-billed Buffalo-Weaver
Sporopipes squamifrons_Scaly Weaver
Melaniparus niger_Southern Black-Tit
Prinia subflava_Tawny-flanked Prinia
Arenaria interpres_Ruddy Turnstone
Bubulcus ibis_Cattle Egret
Tchagra australis_Brown-crowned Tchagra
Crithagra flaviventris_Yellow Canary
