Sula nebouxii_Blue-footed Booby
Pelecanus occidentalis_Brown Pelican
Setophaga petechia_Yellow Warbler
Anous stolidus_Brown Noddy
Fregata magnificens_Magnificent Frigatebird
Butorides striata_Striated Heron
Phoenicopterus ruber_American Flamingo
Tringa incana_Wandering Tattler
Arenaria interpres_Ruddy Turnstone
Crotophaga ani_Smooth-billed Ani
Numenius phaeopus_Whimbrel
Charadrius semipalmatus_Semipalmated Plover
Ardea herodias_Great Blue Heron
Gallinula galeata_Common Gallinule
Haematopus palliatus_American Oystercatcher
Himantopus mexicanus_Black-necked Stilt
Calidris alba_Sanderling
Fregata minor_Great Frigatebird
Bubulcus ibis_Cattle Egret
Pterodroma phaeopygia_Galapagos Petrel
Coccyzus melacoryphus_Dark-billed Cuckoo
Phalaropus lobatus_Red-necked Phalarope
Nyctanassa violacea_Yellow-crowned Night-Heron
Creagrus furcatus_Swallow-tailed Gull
Pluvialis squatarola_Black-bellied Plover
Spatula discors_Blue-winged Teal
Hydrobates castro_Band-rumped Storm-Petrel
Leucophaeus pipixcan_Franklin's Gull
Ardea alba_Great Egret
Calidris minutilla_Least Sandpiper
Phaethon aethereus_Red-billed Tropicbird
Leucophaeus atricilla_Laughing Gull
Calidris melanotos_Pectoral Sandpiper
Tringa flavipes_Lesser Yellowlegs
Calidris pusilla_Semipalmated Sandpiper
Thalasseus maximus_Royal Tern
Tringa semipalmata_Willet
Phalaropus tricolor_Wilson's Phalarope
Podilymbus podiceps_Pied-billed Grebe
Actitis macularius_Spotted Sandpiper
Phalaropus fulicarius_Red Phalarope
Zapornia tabuensis_Spotless Crake
Tyto alba_Barn Owl
Urodynamis taitensis_Long-tailed Koel
Tringa melanoleuca_Greater Yellowlegs
Falco peregrinus_Peregrine Falcon
Ardenna tenuirostris_Short-tailed Shearwater
Anous ceruleus_Blue-gray Noddy
Puffinus bailloni_Tropical Shearwater
