Gallus gallus_Red Junglefowl
Phaethon rubricauda_Red-tailed Tropicbird
Acridotheres tristis_Common Myna
Anous stolidus_Brown Noddy
Thalasseus bergii_Great Crested Tern
Bulweria bulwerii_Bulwer's Petrel
Fregata ariel_Lesser Frigatebird
Egretta sacra_Pacific Reef-Heron
Phaethon lepturus_White-tailed Tropicbird
Numenius tahitiensis_Bristle-thighed Curlew
Puffinus nativitatis_Christmas Shearwater
Zosterops lateralis_Silvereye
Fregata minor_Great Frigatebird
Arenaria interpres_Ruddy Turnstone
Sula sula_Red-footed Booby
Anous minutus_Black Noddy
Calidris alba_Sanderling
Sula dactylatra_Masked Booby
Ardenna pacifica_Wedge-tailed Shearwater
Pterodroma neglecta_Kermadec Petrel
Ardenna tenuirostris_Short-tailed Shearwater
Onychoprion fuscatus_Sooty Tern
Calidris melanotos_Pectoral Sandpiper
Sula leucogaster_Brown Booby
Zapornia tabuensis_Spotless Crake
Tringa incana_Wandering Tattler
Urodynamis taitensis_Long-tailed Koel
Pluvialis fulva_Pacific Golden-Plover
Gygis alba_White Tern
Puffinus bailloni_Tropical Shearwater
Anous ceruleus_Blue-gray Noddy
Onychoprion lunatus_Gray-backed Tern
Charadrius semipalmatus_Semipalmated Plover
Numenius phaeopus_Whimbrel
Gallinula galeata_Common Gallinule
Bubulcus ibis_Cattle Egret
Himantopus mexicanus_Black-necked Stilt
Phoenicopterus ruber_American Flamingo
Ardea herodias_Great Blue Heron
Pterodroma phaeopygia_Galapagos Petrel
Phalaropus lobatus_Red-necked Phalarope
Haematopus palliatus_American Oystercatcher
Crotophaga ani_Smooth-billed Ani
Pluvialis squatarola_Black-bellied Plover
Nyctanassa violacea_Yellow-crowned Night-Heron
Setophaga petechia_Yellow Warbler
Butorides striata_Striated Heron
Sula nebouxii_Blue-footed Booby
Ardea alba_Great Egret
Coccyzus melacoryphus_Dark-billed Cuckoo
Creagrus furcatus_Swallow-tailed Gull
Calidris pusilla_Semipalmated Sandpiper
Calidris minutilla_Least Sandpiper
Fregata magnificens_Magnificent Frigatebird
Pelecanus occidentalis_Brown Pelican
Stercorarius parasiticus_Parasitic Jaeger
Ardenna grisea_Sooty Shearwater
Hydrobates castro_Band-rumped Storm-Petrel
Tyto alba_Barn Owl
Leucophaeus pipixcan_Franklin's Gull
