Pycnonotus barbatus_Common Bulbul
Streptopelia senegalensis_Laughing Dove
Vanellus armatus_Blacksmith Lapwing
Streptopelia semitorquata_Red-eyed Dove
Streptopelia capicola_Ring-necked Dove
Corythaixoides concolor_Gray Go-away-bird
Bostrychia hagedash_Hadada Ibis
Numida meleagris_Helmeted Guineafowl
Uraeginthus angolensis_Southern Cordonbleu
Prinia subflava_Tawny-flanked Prinia
Ploceus velatus_Southern Masked-Weaver
Hirundo rustica_Barn Swallow
Turtur chalcospilos_Emerald-spotted Wood-Dove
Pternistis swainsonii_Swainson's Francolin
Lamprotornis nitens_Cape Starling
Tockus rufirostris_Southern Red-billed Hornbill
Cypsiurus parvus_African Palm-Swift
Lybius torquatus_Black-collared Barbet
Dicrurus adsimilis_Fork-tailed Drongo
Pternistis natalensis_Natal Francolin
Dryoscopus cubla_Black-backed Puffback
Tockus leucomelas_Southern Yellow-billed Hornbill
Halcyon albiventris_Brown-hooded Kingfisher
Coracias caudatus_Lilac-breasted Roller
Lanius collaris_Southern Fiscal
Turdoides jardineii_Arrow-marked Babbler
Trachyphonus vaillantii_Crested Barbet
Cecropis abyssinica_Lesser Striped Swallow
Passer diffusus_Southern Gray-headed Sparrow
Alopochen aegyptiaca_Egyptian Goose
Haliaeetus vocifer_African Fish-Eagle
Colius striatus_Speckled Mousebird
Lophoceros nasutus_African Gray Hornbill
Cinnyris talatala_White-breasted Sunbird
Ardea cinerea_Gray Heron
Lamprotornis chalybaeus_Greater Blue-eared Starling
Lamprotornis mevesii_Meves's Starling
Buphagus erythrorynchus_Red-billed Oxpecker
Ortygornis sephaena_Crested Francolin
Tauraco porphyreolophus_Purple-crested Turaco
Halcyon senegalensis_Woodland Kingfisher
Batis molitor_Chinspot Batis
Crithagra mozambica_Yellow-fronted Canary
Melaniparus niger_Southern Black-Tit
Merops bullockoides_White-fronted Bee-eater
Quelea quelea_Red-billed Quelea
Oriolus larvatus_African Black-headed Oriole
Passer domesticus_House Sparrow
Charadrius tricollaris_Three-banded Plover
Cossypha heuglini_White-browed Robin-Chat
Ceryle rudis_Pied Kingfisher
Turdus libonyana_Kurrichane Thrush
Cisticola chiniana_Rattling Cisticola
Centropus superciliosus_White-browed Coucal
Apalis flavida_Yellow-breasted Apalis
Chrysococcyx caprius_Dideric Cuckoo
Sylvietta rufescens_Cape Crombec
Scopus umbretta_Hamerkop
Merops apiaster_European Bee-eater
Motacilla aguimp_African Pied Wagtail
Hirundo smithii_Wire-tailed Swallow
Andropadus importunus_Sombre Greenbul
Apus affinis_Little Swift
Telophorus sulfureopectus_Sulphur-breasted Bushshrike
Terpsiphone viridis_African Paradise-Flycatcher
Malaconotus blanchoti_Gray-headed Bushshrike
Cercotrichas leucophrys_Red-backed Scrub-Robin
Chalcomitra senegalensis_Scarlet-chested Sunbird
Camaroptera brachyura_Green-backed Camaroptera
Phoeniculus purpureus_Green Woodhoopoe
Laniarius major_Tropical Boubou
Actophilornis africanus_African Jacana
Burhinus vermiculatus_Water Thick-knee
Vanellus coronatus_Crowned Lapwing
Lagonosticta senegala_Red-billed Firefinch
Estrilda astrild_Common Waxbill
Bubulcus ibis_Cattle Egret
Muscicapa striata_Spotted Flycatcher
Euplectes orix_Southern Red Bishop
Lanius collurio_Red-backed Shrike
Vidua macroura_Pin-tailed Whydah
Treron calvus_African Green-Pigeon
Dendrocygna viduata_White-faced Whistling-Duck
Tchagra senegalus_Black-crowned Tchagra
Columba guinea_Speckled Pigeon
Poicephalus cryptoxanthus_Brown-headed Parrot
Spermestes cucullata_Bronze Mannikin
Cuculus solitarius_Red-chested Cuckoo
Megaceryle maxima_Giant Kingfisher
Onychognathus morio_Red-winged Starling
Milvus migrans_Black Kite
Buteo buteo_Common Buzzard
Cisticola erythrops_Red-faced Cisticola
Zosterops virens_Cape White-eye
Ploceus ocularis_Spectacled Weaver
Actitis hypoleucos_Common Sandpiper
Urocolius indicus_Red-faced Mousebird
Cinnyricinclus leucogaster_Violet-backed Starling
Myrmecocichla arnotti_Arnot's Chat
Butorides striata_Striated Heron
Phyllastrephus terrestris_Terrestrial Brownbul
Merops pusillus_Little Bee-eater
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
