Passer domesticus_House Sparrow
Dromas ardeola_Crab-Plover
Thalasseus bergii_Great Crested Tern
Thalasseus bengalensis_Lesser Crested Tern
Acridotheres tristis_Common Myna
Charadrius leschenaultii_Greater Sand-Plover
Numenius phaeopus_Whimbrel
Butorides striata_Striated Heron
Eurystomus glaucurus_Broad-billed Roller
Numida meleagris_Helmeted Guineafowl
Milvus migrans_Black Kite
Actitis hypoleucos_Common Sandpiper
Merops superciliosus_Madagascar Bee-eater
Onychoprion fuscatus_Sooty Tern
Cuculus rochii_Madagascar Cuckoo
Tringa nebularia_Common Greenshank
Limosa lapponica_Bar-tailed Godwit
Oena capensis_Namaqua Dove
Charadrius tricollaris_Three-banded Plover
Xenus cinereus_Terek Sandpiper
Arenaria interpres_Ruddy Turnstone
Sterna dougallii_Roseate Tern
Porphyrio madagascariensis_African Swamphen
Dendrocygna viduata_White-faced Whistling-Duck
Riparia paludicola_Plain Martin
Chroicocephalus cirrocephalus_Gray-hooded Gull
Ardea cinerea_Gray Heron
Bubulcus ibis_Cattle Egret
Scopus umbretta_Hamerkop
Larus dominicanus_Kelp Gull
Egretta garzetta_Little Egret
Hirundo rustica_Barn Swallow
Phaethon lepturus_White-tailed Tropicbird
Corvus albus_Pied Crow
Phaethon rubricauda_Red-tailed Tropicbird
Gallinula chloropus_Eurasian Moorhen
Fregata minor_Great Frigatebird
Ardea alba_Great Egret
Fulica cristata_Red-knobbed Coot
Ardeola ralloides_Squacco Heron
Saxicola torquatus_African Stonechat
Calidris ferruginea_Curlew Sandpiper
Himantopus himantopus_Black-winged Stilt
Fregata ariel_Lesser Frigatebird
Phoenicopterus roseus_Greater Flamingo
Macheiramphus alcinus_Bat Hawk
Tringa glareola_Wood Sandpiper
Tachybaptus ruficollis_Little Grebe
Numenius arquata_Eurasian Curlew
Ardenna pacifica_Wedge-tailed Shearwater
Charadrius hiaticula_Common Ringed Plover
Sterna hirundo_Common Tern
Stercorarius antarcticus_Brown Skua
Anous stolidus_Brown Noddy
Tringa stagnatilis_Marsh Sandpiper
Calidris alba_Sanderling
Ardea purpurea_Purple Heron
Rostratula benghalensis_Greater Painted-Snipe
Pluvialis squatarola_Black-bellied Plover
