Dromas ardeola_Crab-Plover
Acridotheres tristis_Common Myna
Thalasseus bergii_Great Crested Tern
Thalasseus bengalensis_Lesser Crested Tern
Passer domesticus_House Sparrow
Charadrius leschenaultii_Greater Sand-Plover
Numenius phaeopus_Whimbrel
Butorides striata_Striated Heron
Numida meleagris_Helmeted Guineafowl
Actitis hypoleucos_Common Sandpiper
Eurystomus glaucurus_Broad-billed Roller
Merops superciliosus_Madagascar Bee-eater
Phaethon lepturus_White-tailed Tropicbird
Phaethon rubricauda_Red-tailed Tropicbird
Oena capensis_Namaqua Dove
Milvus migrans_Black Kite
Porphyrio madagascariensis_African Swamphen
Riparia paludicola_Plain Martin
Chroicocephalus cirrocephalus_Gray-hooded Gull
Onychoprion fuscatus_Sooty Tern
Xenus cinereus_Terek Sandpiper
Tringa nebularia_Common Greenshank
Cuculus rochii_Madagascar Cuckoo
Limosa lapponica_Bar-tailed Godwit
Dendrocygna viduata_White-faced Whistling-Duck
Arenaria interpres_Ruddy Turnstone
Gallinula chloropus_Eurasian Moorhen
Charadrius tricollaris_Three-banded Plover
Fregata ariel_Lesser Frigatebird
Fulica cristata_Red-knobbed Coot
Sterna dougallii_Roseate Tern
Scopus umbretta_Hamerkop
Fregata minor_Great Frigatebird
Bubulcus ibis_Cattle Egret
Larus dominicanus_Kelp Gull
Corvus albus_Pied Crow
Saxicola torquatus_African Stonechat
Stercorarius antarcticus_Brown Skua
Ardeola ralloides_Squacco Heron
Egretta garzetta_Little Egret
Ardea cinerea_Gray Heron
Anous stolidus_Brown Noddy
Phoenicopterus roseus_Greater Flamingo
Calidris ferruginea_Curlew Sandpiper
Ardenna pacifica_Wedge-tailed Shearwater
Macheiramphus alcinus_Bat Hawk
Tachybaptus ruficollis_Little Grebe
Onychoprion anaethetus_Bridled Tern
Ardea alba_Great Egret
Hirundo rustica_Barn Swallow
Tringa glareola_Wood Sandpiper
Himantopus himantopus_Black-winged Stilt
Sula leucogaster_Brown Booby
Sternula saundersi_Saunders's Tern
Cinnyris sovimanga_Souimanga Sunbird
Dendrocygna bicolor_Fulvous Whistling-Duck
Hypsipetes madagascariensis_Malagasy Bulbul
Rostratula benghalensis_Greater Painted-Snipe
Dicrurus forficatus_Crested Drongo
Tringa stagnatilis_Marsh Sandpiper
Copsychus albospecularis_Madagascar Magpie-Robin
Ardea purpurea_Purple Heron
Foudia madagascariensis_Red Fody
Pluvialis squatarola_Black-bellied Plover
Phoeniconaias minor_Lesser Flamingo
Centropus toulou_Malagasy Coucal
Apus melba_Alpine Swift
Nycticorax nycticorax_Black-crowned Night-Heron
Neomixis tenella_Common Jery
Chlidonias hybrida_Whiskered Tern
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Coturnix coturnix_Common Quail
Newtonia brunneicauda_Common Newtonia
Charadrius hiaticula_Common Ringed Plover
Calidris alba_Sanderling
Tyto alba_Barn Owl
Zosterops maderaspatanus_Malagasy White-eye
Plegadis falcinellus_Glossy Ibis
Sula dactylatra_Masked Booby
Motacilla flaviventris_Madagascar Wagtail
Ixobrychus minutus_Little Bittern
Coracopsis nigra_Lesser Vasa Parrot
Phedina borbonica_Mascarene Martin
Buteo brachypterus_Madagascar Buzzard
Calidris minuta_Little Stint
Upupa marginata_Madagascar Hoopoe
Nesillas typica_Malagasy Brush-Warbler
Hydroprogne caspia_Caspian Tern
Coturnix delegorguei_Harlequin Quail
Cisticola cherina_Madagascar Cisticola
Coua caerulea_Blue Coua
Sterna hirundo_Common Tern
Caprimulgus madagascariensis_Madagascar Nightjar
Coracina cinerea_Madagascar Cuckooshrike
Bernieria madagascariensis_Long-billed Bernieria
Calicalicus madagascariensis_Red-tailed Vanga
Ploceus nelicourvi_Nelicourvi Weaver
Neomixis striatigula_Stripe-throated Jery
Ploceus sakalava_Sakalava Weaver
Leptosomus discolor_Cuckoo-roller
Falco peregrinus_Peregrine Falcon
Coua cristata_Crested Coua
Numenius arquata_Eurasian Curlew
Xanthomixis zosterops_Spectacled Tetraka
Cyanolanius madagascarinus_Blue Vanga
Anous tenuirostris_Lesser Noddy
Tylas eduardi_Tylas Vanga
Eremopterix hova_Madagascar Lark
Atelornis pittoides_Pitta-like Ground-Roller
Vanga curvirostris_Hook-billed Vanga
Zapornia pusilla_Baillon's Crake
Sarothrura insularis_Madagascar Flufftail
Acrocephalus newtoni_Madagascar Swamp Warbler
Coua reynaudii_Red-fronted Coua
Otus madagascariensis_Torotoroka Scops-Owl
Athene superciliaris_White-browed Owl
Coracopsis vasa_Greater Vasa Parrot
Monticola sharpei_Forest Rock-Thrush
Oxylabes madagascariensis_White-throated Oxylabes
Otus rutilus_Madagascar Scops-Owl
Coua gigas_Giant Coua
Mystacornis crossleyi_Crossley's Vanga
Newtonia amphichroa_Dark Newtonia
Schetba rufa_Rufous Vanga
Nesillas lantzii_Subdesert Brush-Warbler
Mesitornis unicolor_Brown Mesite
Coua serriana_Red-breasted Coua
Xenopirostris polleni_Pollen's Vanga
Coua coquereli_Coquerel's Coua
Coua ruficeps_Red-capped Coua
Bradypterus brunneus_Brown Emutail
Mesitornis variegatus_White-breasted Mesite
Xenopirostris damii_Van Dam's Vanga
Falculea palliata_Sickle-billed Vanga
Atelornis crossleyi_Rufous-headed Ground-Roller
Crossleyia xanthophrys_Yellow-browed Oxylabes
Cryptosylvicola randrianasoloi_Cryptic Warbler
Agapornis canus_Gray-headed Lovebird
Dryolimnas cuvieri_White-throated Rail
Philepitta schlegeli_Schlegel's Asity
Newtonia archboldi_Archbold's Newtonia
Gallus gallus_Red Junglefowl
Columba livia_Rock Pigeon
Perdicula asiatica_Jungle Bush-Quail
