Rhipidura leucophrys_Willie-wagtail
Grallina cyanoleuca_Magpie-lark
Taeniopygia guttata_Zebra Finch
Ocyphaps lophotes_Crested Pigeon
Haliastur sphenurus_Whistling Kite
Artamus cinereus_Black-faced Woodswallow
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Corvus orru_Torresian Crow
Manorina flavigula_Yellow-throated Miner
Eolophus roseicapilla_Galah
Ptilotula penicillata_White-plumed Honeyeater
Gavicalis virescens_Singing Honeyeater
Merops ornatus_Rainbow Bee-eater
Lichmera indistincta_Brown Honeyeater
Gymnorhina tibicen_Australian Magpie
Coracina novaehollandiae_Black-faced Cuckooshrike
Melopsittacus undulatus_Budgerigar
Pachycephala rufiventris_Rufous Whistler
Malurus leucopterus_White-winged Fairywren
Anas gracilis_Gray Teal
Tachybaptus novaehollandiae_Australasian Grebe
Colluricincla harmonica_Gray Shrikethrush
Fulica atra_Eurasian Coot
Chenonetta jubata_Maned Duck
Todiramphus sanctus_Sacred Kingfisher
Porphyrio melanotus_Australasian Swamphen
Barnardius zonarius_Australian Ringneck
Pardalotus rubricatus_Red-browed Pardalote
Actitis hypoleucos_Common Sandpiper
Anas superciliosa_Pacific Black Duck
Himantopus leucocephalus_Pied Stilt
Malurus assimilis_Purple-backed Fairywren
Oreoica gutturalis_Crested Bellbird
Calidris acuminata_Sharp-tailed Sandpiper
Egretta novaehollandiae_White-faced Heron
Tringa nebularia_Common Greenshank
Elseyornis melanops_Black-fronted Dotterel
Corvus coronoides_Australian Raven
Chroicocephalus novaehollandiae_Silver Gull
Cracticus nigrogularis_Pied Butcherbird
Plegadis falcinellus_Glossy Ibis
Calidris ruficollis_Red-necked Stint
Vanellus miles_Masked Lapwing
Petrochelidon ariel_Fairy Martin
Dicaeum hirundinaceum_Mistletoebird
Milvus migrans_Black Kite
Tribonyx ventralis_Black-tailed Nativehen
Artamus leucorynchus_White-breasted Woodswallow
Circus approximans_Swamp Harrier
Malacorhynchus membranaceus_Pink-eared Duck
Anthus novaeseelandiae_Australasian Pipit
Chlidonias hybrida_Whiskered Tern
Melanodryas cucullata_Hooded Robin
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Eurostopodus argus_Spotted Nightjar
Falco berigora_Brown Falcon
Certhionyx variegatus_Pied Honeyeater
Nymphicus hollandicus_Cockatiel
Acrocephalus australis_Australian Reed Warbler
Petrochelidon nigricans_Tree Martin
Lophochroa leadbeateri_Pink Cockatoo
Cincloramphus mathewsi_Rufous Songlark
Falco peregrinus_Peregrine Falcon
Anhinga novaehollandiae_Australasian Darter
Petroica goodenovii_Red-capped Robin
Pomatostomus temporalis_Gray-crowned Babbler
Tringa glareola_Wood Sandpiper
Cacatua sanguinea_Little Corella
Epthianura tricolor_Crimson Chat
Pelecanus conspicillatus_Australian Pelican
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Threskiornis molucca_Australian Ibis
Cygnus atratus_Black Swan
Dendrocygna eytoni_Plumed Whistling-Duck
Tyto alba_Barn Owl
Ardea alba_Great Egret
Accipiter fasciatus_Brown Goshawk
Purnella albifrons_White-fronted Honeyeater
Egretta garzetta_Little Egret
Mirafra javanica_Australasian Bushlark
Chlidonias leucopterus_White-winged Tern
Cincloramphus cruralis_Brown Songlark
Burhinus grallarius_Bush Thick-knee
Rhipidura albiscapa_Gray Fantail
