Grallina cyanoleuca_Magpie-lark
Rhipidura leucophrys_Willie-wagtail
Eolophus roseicapilla_Galah
Gymnorhina tibicen_Australian Magpie
Ocyphaps lophotes_Crested Pigeon
Taeniopygia guttata_Zebra Finch
Manorina flavigula_Yellow-throated Miner
Geopelia placida_Peaceful Dove
Milvus migrans_Black Kite
Artamus cinereus_Black-faced Woodswallow
Corvus coronoides_Australian Raven
Melopsittacus undulatus_Budgerigar
Haliastur sphenurus_Whistling Kite
Struthidea cinerea_Apostlebird
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Lichmera indistincta_Brown Honeyeater
Ptilotula penicillata_White-plumed Honeyeater
Cacatua sanguinea_Little Corella
Nymphicus hollandicus_Cockatiel
Gavicalis virescens_Singing Honeyeater
Artamus leucorynchus_White-breasted Woodswallow
Pachycephala rufiventris_Rufous Whistler
Barnardius zonarius_Australian Ringneck
Chlamydera maculata_Spotted Bowerbird
Elseyornis melanops_Black-fronted Dotterel
Malurus assimilis_Purple-backed Fairywren
Pelecanus conspicillatus_Australian Pelican
Anhinga novaehollandiae_Australasian Darter
Pardalotus striatus_Striated Pardalote
Anas gracilis_Gray Teal
Cracticus nigrogularis_Pied Butcherbird
Pomatostomus temporalis_Gray-crowned Babbler
Oreoica gutturalis_Crested Bellbird
Antigone rubicunda_Brolga
Aprosmictus erythropterus_Red-winged Parrot
Petrochelidon ariel_Fairy Martin
Cincloramphus mathewsi_Rufous Songlark
Pardalotus rubricatus_Red-browed Pardalote
Coracina novaehollandiae_Black-faced Cuckooshrike
Corvus orru_Torresian Crow
Lalage tricolor_White-winged Triller
Todiramphus sanctus_Sacred Kingfisher
Petrochelidon nigricans_Tree Martin
Colluricincla harmonica_Gray Shrikethrush
Artamus personatus_Masked Woodswallow
Rhipidura albiscapa_Gray Fantail
Ardea alba_Great Egret
Falco berigora_Brown Falcon
Anas superciliosa_Pacific Black Duck
Egretta novaehollandiae_White-faced Heron
Stizoptera bichenovii_Double-barred Finch
Tachybaptus novaehollandiae_Australasian Grebe
Eurostopodus argus_Spotted Nightjar
Epthianura tricolor_Crimson Chat
Ardea intermedia_Intermediate Egret
Merops ornatus_Rainbow Bee-eater
Acrocephalus australis_Australian Reed Warbler
Himantopus leucocephalus_Pied Stilt
Philemon citreogularis_Little Friarbird
Phalacrocorax carbo_Great Cormorant
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Threskiornis molucca_Australian Ibis
Cacomantis pallidus_Pallid Cuckoo
Anthus novaeseelandiae_Australasian Pipit
Malurus leucopterus_White-winged Fairywren
Aegotheles cristatus_Australian Owlet-nightjar
Melanodryas cucullata_Hooded Robin
Chrysococcyx osculans_Black-eared Cuckoo
Podiceps cristatus_Great Crested Grebe
Microeca fascinans_Jacky-winter
Phaps chalcoptera_Common Bronzewing
Gelochelidon nilotica_Gull-billed Tern
Petroica goodenovii_Red-capped Robin
Malacorhynchus membranaceus_Pink-eared Duck
Dicaeum hirundinaceum_Mistletoebird
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Smicrornis brevirostris_Weebill
Tribonyx ventralis_Black-tailed Nativehen
Circus approximans_Swamp Harrier
Turnix maculosus_Red-backed Buttonquail
Cincloramphus cruralis_Brown Songlark
Cacomantis flabelliformis_Fan-tailed Cuckoo
Passer domesticus_House Sparrow
Actitis hypoleucos_Common Sandpiper
Cracticus torquatus_Gray Butcherbird
Mirafra javanica_Australasian Bushlark
Chenonetta jubata_Maned Duck
Fulica atra_Eurasian Coot
Porphyrio melanotus_Australasian Swamphen
Philemon corniculatus_Noisy Friarbird
Vanellus miles_Masked Lapwing
Egretta garzetta_Little Egret
Accipiter cirrocephalus_Collared Sparrowhawk
Chlidonias hybrida_Whiskered Tern
Accipiter fasciatus_Brown Goshawk
Artamus superciliosus_White-browed Woodswallow
Dendrocygna eytoni_Plumed Whistling-Duck
Plegadis falcinellus_Glossy Ibis
Sugomel nigrum_Black Honeyeater
Tringa stagnatilis_Marsh Sandpiper
Poodytes gramineus_Little Grassbird
Coturnix pectoralis_Stubble Quail
Oriolus sagittatus_Olive-backed Oriole
Podargus strigoides_Tawny Frogmouth
Calidris ruficollis_Red-necked Stint
Ninox boobook_Southern Boobook
Vanellus tricolor_Banded Lapwing
Artamus cyanopterus_Dusky Woodswallow
Geopelia humeralis_Bar-shouldered Dove
Daphoenositta chrysoptera_Varied Sittella
Entomyzon cyanotis_Blue-faced Honeyeater
Gerygone fusca_Western Gerygone
Gallinula tenebrosa_Dusky Moorhen
Tyto alba_Barn Owl
Burhinus grallarius_Bush Thick-knee
Calidris acuminata_Sharp-tailed Sandpiper
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Apus pacificus_Pacific Swift
Acanthiza apicalis_Inland Thornbill
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Zapornia pusilla_Baillon's Crake
Falco peregrinus_Peregrine Falcon
Grantiella picta_Painted Honeyeater
Dendrocygna arcuata_Wandering Whistling-Duck
Lophochroa leadbeateri_Pink Cockatoo
Hirundapus caudacutus_White-throated Needletail
Calidris ferruginea_Curlew Sandpiper
Certhionyx variegatus_Pied Honeyeater
Dacelo novaeguineae_Laughing Kookaburra
Cygnus atratus_Black Swan
Psophodes cristatus_Chirruping Wedgebill
Tringa nebularia_Common Greenshank
Chroicocephalus novaehollandiae_Silver Gull
Melithreptus gularis_Black-chinned Honeyeater
Gallirallus philippensis_Buff-banded Rail
Platycercus adscitus_Pale-headed Rosella
Zapornia tabuensis_Spotless Crake
Myiagra inquieta_Restless Flycatcher
Northiella haematogaster_Greater Bluebonnet
Ninox connivens_Barking Owl
Tringa glareola_Wood Sandpiper
Hydroprogne caspia_Caspian Tern
Hirundo neoxena_Welcome Swallow
Cacatua galerita_Sulphur-crested Cockatoo
Synoicus ypsilophorus_Brown Quail
Myiagra nana_Paperbark Flycatcher
Plectorhyncha lanceolata_Striped Honeyeater
Bubulcus ibis_Cattle Egret
Climacteris picumnus_Brown Treecreeper
Scythrops novaehollandiae_Channel-billed Cuckoo
Malurus melanocephalus_Red-backed Fairywren
Malurus splendens_Splendid Fairywren
Psephotus varius_Mulga Parrot
Acanthiza uropygialis_Chestnut-rumped Thornbill
Haliaeetus leucogaster_White-bellied Sea-Eagle
Limosa limosa_Black-tailed Godwit
Lonchura castaneothorax_Chestnut-breasted Munia
Calidris falcinellus_Broad-billed Sandpiper
Cinclosoma castaneothorax_Chestnut-breasted Quail-thrush
Limosa lapponica_Bar-tailed Godwit
Anseranas semipalmata_Magpie Goose
Dacelo leachii_Blue-winged Kookaburra
Strepera graculina_Pied Currawong
Psophodes occidentalis_Chiming Wedgebill
Centropus phasianinus_Pheasant Coucal
Numenius phaeopus_Whimbrel
Coracina papuensis_White-bellied Cuckooshrike
Eurystomus orientalis_Dollarbird
Charadrius veredus_Oriental Plover
Calidris melanotos_Pectoral Sandpiper
Rhipidura rufiventris_Northern Fantail
Numenius minutus_Little Curlew
Neochmia phaeton_Crimson Finch
Corcorax melanorhamphos_White-winged Chough
Cincloramphus timoriensis_Tawny Grassbird
Chlidonias leucopterus_White-winged Tern
Aphelocephala leucopsis_Southern Whiteface
Cacomantis variolosus_Brush Cuckoo
Anas platyrhynchos_Mallard
Pyrrholaemus brunneus_Redthroat
Pomatostomus superciliosus_White-browed Babbler
Sturnus vulgaris_European Starling
Purnella albifrons_White-fronted Honeyeater
Melithreptus albogularis_White-throated Honeyeater
Myiagra rubecula_Leaden Flycatcher
Anas castanea_Chestnut Teal
Arenaria interpres_Ruddy Turnstone
Chlamydera nuchalis_Great Bowerbird
Cisticola exilis_Golden-headed Cisticola
Psephotus haematonotus_Red-rumped Parrot
Gallinago hardwickii_Latham's Snipe
Acridotheres tristis_Common Myna
Acanthiza reguloides_Buff-rumped Thornbill
Eopsaltria australis_Eastern Yellow Robin
Gerygone olivacea_White-throated Gerygone
Acanthiza nana_Yellow Thornbill
Numenius madagascariensis_Far Eastern Curlew
Erythropitta macklotii_Papuan Pitta
Trichoglossus moluccanus_Rainbow Lorikeet
Pyrrholaemus sagittatus_Speckled Warbler
Ceyx azureus_Azure Kingfisher
Sericornis frontalis_White-browed Scrubwren
Tringa brevipes_Gray-tailed Tattler
Eudynamys orientalis_Pacific Koel
Aviceda subcristata_Pacific Baza
Todiramphus macleayii_Forest Kingfisher
Glareola maldivarum_Oriental Pratincole
Manorina melanocephala_Noisy Miner
Zosterops lateralis_Silvereye
Lalage leucomela_Varied Triller
Sternula albifrons_Little Tern
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Pachycephala pectoralis_Golden Whistler
Tadorna tadornoides_Australian Shelduck
Calidris canutus_Red Knot
Calidris tenuirostris_Great Knot
Biziura lobata_Musk Duck
Pluvialis fulva_Pacific Golden-Plover
Charadrius mongolus_Lesser Sand-Plover
Radjah radjah_Radjah Shelduck
Gallinago megala_Swinhoe's Snipe
Thalasseus bengalensis_Lesser Crested Tern
Xenus cinereus_Terek Sandpiper
Platycercus elegans_Crimson Rosella
Charadrius bicinctus_Double-banded Plover
Calidris alba_Sanderling
Pomatostomus ruficeps_Chestnut-crowned Babbler
Limnodromus semipalmatus_Asian Dowitcher
Cuculus optatus_Oriental Cuckoo
Pandion haliaetus_Osprey
Butorides striata_Striated Heron
Falcunculus frontatus_Crested Shrike-tit
Nesoptilotis leucotis_White-eared Honeyeater
Rhipidura dryas_Arafura Fantail
Charadrius leschenaultii_Greater Sand-Plover
Nettapus coromandelianus_Cotton Pygmy-Goose
Cisticola juncidis_Zitting Cisticola
Microeca flavigaster_Lemon-bellied Flycatcher
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet
Edolisoma tenuirostre_Common Cicadabird
Tringa incana_Wandering Tattler
Ixobrychus flavicollis_Black Bittern
Accipiter novaehollandiae_Gray Goshawk
Pardalotus punctatus_Spotted Pardalote
Synoicus chinensis_Blue-breasted Quail
Stomiopera unicolor_White-gaped Honeyeater
Turnix varius_Painted Buttonquail
Thalasseus bergii_Great Crested Tern
Streptopelia chinensis_Spotted Dove
Sterna hirundo_Common Tern
Melithreptus brevirostris_Brown-headed Honeyeater
Ptilinopus regina_Rose-crowned Fruit-Dove
Chalcophaps longirostris_Pacific Emerald Dove
Ixobrychus dubius_Black-backed Bittern
Dicrurus bracteatus_Spangled Drongo
Tyto novaehollandiae_Australian Masked-Owl
Myzomela sanguinolenta_Scarlet Myzomela
Lonchura punctulata_Scaly-breasted Munia
Antigone antigone_Sarus Crane
Onychoprion fuscatus_Sooty Tern
Todiramphus sordidus_Torresian Kingfisher
Haliastur indus_Brahminy Kite
Ptilotula fusca_Fuscous Honeyeater
Caprimulgus macrurus_Large-tailed Nightjar
Trichoglossus rubritorquis_Red-collared Lorikeet
Alectura lathami_Australian Brushturkey
Gerygone levigaster_Mangrove Gerygone
Chrysococcyx minutillus_Little Bronze-Cuckoo
Cacatua tenuirostris_Long-billed Corella
Myiagra cyanoleuca_Satin Flycatcher
Amaurornis moluccana_Pale-vented Bush-hen
Fregata minor_Great Frigatebird
Neochmia temporalis_Red-browed Firetail
Sphecotheres vieilloti_Australasian Figbird
Ptilinopus magnificus_Wompoo Fruit-Dove
Fregata ariel_Lesser Frigatebird
Phalaropus lobatus_Red-necked Phalarope
Gerygone magnirostris_Large-billed Gerygone
Poliolimnas cinereus_White-browed Crake
Malurus amabilis_Lovely Fairywren
Onychoprion anaethetus_Bridled Tern
Ardea sumatrana_Great-billed Heron
