Thalasseus bergii_Great Crested Tern
Gallus gallus_Red Junglefowl
Anous stolidus_Brown Noddy
Fregata minor_Great Frigatebird
Acridotheres tristis_Common Myna
Sula sula_Red-footed Booby
Phaethon lepturus_White-tailed Tropicbird
Fregata ariel_Lesser Frigatebird
Egretta sacra_Pacific Reef-Heron
Phaethon rubricauda_Red-tailed Tropicbird
Sula leucogaster_Brown Booby
Anous minutus_Black Noddy
Gygis alba_White Tern
Numenius tahitiensis_Bristle-thighed Curlew
Anas superciliosa_Pacific Black Duck
Platycercus eximius_Eastern Rosella
Pterodroma nigripennis_Black-winged Petrel
Tringa brevipes_Gray-tailed Tattler
Ducula pacifica_Pacific Imperial-Pigeon
Ardenna grisea_Sooty Shearwater
Sula dactylatra_Masked Booby
Onychoprion fuscatus_Sooty Tern
Tringa incana_Wandering Tattler
Sterna sumatrana_Black-naped Tern
Urodynamis taitensis_Long-tailed Koel
Pluvialis fulva_Pacific Golden-Plover
Puffinus bailloni_Tropical Shearwater
Arenaria interpres_Ruddy Turnstone
Puffinus nativitatis_Christmas Shearwater
Onychoprion lunatus_Gray-backed Tern
Pycnonotus cafer_Red-vented Bulbul
Anous ceruleus_Blue-gray Noddy
Geopelia striata_Zebra Dove
Calidris melanotos_Pectoral Sandpiper
Anas poecilorhyncha_Indian Spot-billed Duck
Calidris alba_Sanderling
Ramphocelus dimidiatus_Crimson-backed Tanager
Zapornia tabuensis_Spotless Crake
Ardenna pacifica_Wedge-tailed Shearwater
Lonchura castaneothorax_Chestnut-breasted Munia
Estrilda astrild_Common Waxbill
Neochmia temporalis_Red-browed Firetail
Ardenna tenuirostris_Short-tailed Shearwater
Circus approximans_Swamp Harrier
Columba livia_Rock Pigeon
