Lalage maculosa_Polynesian Triller
Acridotheres tristis_Common Myna
Acridotheres fuscus_Jungle Myna
Columba vitiensis_Metallic Pigeon
Egretta sacra_Pacific Reef-Heron
Anas superciliosa_Pacific Black Duck
Turdus poliocephalus_Island Thrush
Thalasseus bergii_Great Crested Tern
Aplonis tabuensis_Polynesian Starling
Petroica pusilla_Pacific Robin
Sula sula_Red-footed Booby
Pycnonotus cafer_Red-vented Bulbul
Phaethon lepturus_White-tailed Tropicbird
Pluvialis fulva_Pacific Golden-Plover
Ardenna grisea_Sooty Shearwater
Poliolimnas cinereus_White-browed Crake
Tringa incana_Wandering Tattler
Porphyrio melanotus_Australasian Swamphen
Urodynamis taitensis_Long-tailed Koel
Calidris canutus_Red Knot
Anous stolidus_Brown Noddy
Numenius phaeopus_Whimbrel
Puffinus bailloni_Tropical Shearwater
Sula dactylatra_Masked Booby
Fregata minor_Great Frigatebird
Limosa lapponica_Bar-tailed Godwit
Arenaria interpres_Ruddy Turnstone
Anous minutus_Black Noddy
Fregata ariel_Lesser Frigatebird
Gallirallus philippensis_Buff-banded Rail
Gygis alba_White Tern
Sula leucogaster_Brown Booby
Tyto alba_Barn Owl
Sterna sumatrana_Black-naped Tern
Numenius tahitiensis_Bristle-thighed Curlew
Onychoprion anaethetus_Bridled Tern
Ptilinopus porphyraceus_Crimson-crowned Fruit-Dove
Onychoprion fuscatus_Sooty Tern
Ardenna pacifica_Wedge-tailed Shearwater
Pachycephala flavifrons_Samoan Whistler
Gallus gallus_Red Junglefowl
Ardenna bulleri_Buller's Shearwater
Foulehaio carunculatus_Eastern Wattled-Honeyeater
Aplonis atrifusca_Samoan Starling
Falco peregrinus_Peregrine Falcon
Zapornia tabuensis_Spotless Crake
Gymnomyza samoensis_Mao
Numenius madagascariensis_Far Eastern Curlew
Anous ceruleus_Blue-gray Noddy
Ducula pacifica_Pacific Imperial-Pigeon
Calidris ruficollis_Red-necked Stint
Onychoprion lunatus_Gray-backed Tern
Calidris alba_Sanderling
Ardenna tenuirostris_Short-tailed Shearwater
Egretta novaehollandiae_White-faced Heron
Puffinus nativitatis_Christmas Shearwater
Circus approximans_Swamp Harrier
Tringa brevipes_Gray-tailed Tattler
Pterodroma nigripennis_Black-winged Petrel
Zosterops lateralis_Silvereye
Streptopelia chinensis_Spotted Dove
Pachycephala vitiensis_Fiji Whistler
Cacomantis flabelliformis_Fan-tailed Cuckoo
Charadrius mongolus_Lesser Sand-Plover
Ducula latrans_Peale's Imperial-Pigeon
Phaethon rubricauda_Red-tailed Tropicbird
Columba livia_Rock Pigeon
Clytorhynchus vitiensis_Fiji Shrikebill
Pterodroma cookii_Cook's Petrel
Vanellus miles_Masked Lapwing
Horornis ruficapilla_Fiji Bush Warbler
Myiagra vanikorensis_Vanikoro Flycatcher
Prosopeia personata_Masked Shining-Parrot
Padda oryzivora_Java Sparrow
Gymnomyza brunneirostris_Duetting Giant-Honeyeater
Platycercus eximius_Eastern Rosella
Amandava amandava_Red Avadavat
Charadrius bicinctus_Double-banded Plover
Passer domesticus_House Sparrow
Rhipidura verreauxi_Streaked Fantail
Hirundo tahitica_Pacific Swallow
Stercorarius pomarinus_Pomarine Jaeger
