Acridotheres tristis_Common Myna
Butorides striata_Striated Heron
Dromas ardeola_Crab-Plover
Thalasseus bergii_Great Crested Tern
Phaethon rubricauda_Red-tailed Tropicbird
Passer domesticus_House Sparrow
Phaethon lepturus_White-tailed Tropicbird
Thalasseus bengalensis_Lesser Crested Tern
Numenius phaeopus_Whimbrel
Charadrius leschenaultii_Greater Sand-Plover
Numida meleagris_Helmeted Guineafowl
Actitis hypoleucos_Common Sandpiper
Gallinula chloropus_Eurasian Moorhen
Anous stolidus_Brown Noddy
Fregata ariel_Lesser Frigatebird
Onychoprion fuscatus_Sooty Tern
Bubulcus ibis_Cattle Egret
Tringa nebularia_Common Greenshank
Sterna dougallii_Roseate Tern
Onychoprion anaethetus_Bridled Tern
Ardenna pacifica_Wedge-tailed Shearwater
Foudia madagascariensis_Red Fody
Xenus cinereus_Terek Sandpiper
Arenaria interpres_Ruddy Turnstone
Limosa lapponica_Bar-tailed Godwit
Pluvialis squatarola_Black-bellied Plover
Phedina borbonica_Mascarene Martin
Sula leucogaster_Brown Booby
Calidris ferruginea_Curlew Sandpiper
Sula dactylatra_Masked Booby
Coracopsis nigra_Lesser Vasa Parrot
Coturnix coturnix_Common Quail
Anous tenuirostris_Lesser Noddy
Charadrius hiaticula_Common Ringed Plover
Calidris alba_Sanderling
Falco peregrinus_Peregrine Falcon
Agapornis canus_Gray-headed Lovebird
Calidris minuta_Little Stint
Sterna hirundo_Common Tern
Dryolimnas cuvieri_White-throated Rail
Egretta garzetta_Little Egret
Milvus migrans_Black Kite
Ardea cinerea_Gray Heron
Ardea alba_Great Egret
Chlidonias hybrida_Whiskered Tern
Tringa glareola_Wood Sandpiper
Tachybaptus ruficollis_Little Grebe
Eurystomus glaucurus_Broad-billed Roller
Tringa stagnatilis_Marsh Sandpiper
Perdicula asiatica_Jungle Bush-Quail
Dendrocygna viduata_White-faced Whistling-Duck
Ardea purpurea_Purple Heron
Merops superciliosus_Madagascar Bee-eater
Fregata minor_Great Frigatebird
Tyto alba_Barn Owl
Oena capensis_Namaqua Dove
Lonchura punctulata_Scaly-breasted Munia
Hirundo rustica_Barn Swallow
Himantopus himantopus_Black-winged Stilt
Porphyrio madagascariensis_African Swamphen
Plegadis falcinellus_Glossy Ibis
Numenius arquata_Eurasian Curlew
Rostratula benghalensis_Greater Painted-Snipe
Saxicola torquatus_African Stonechat
Macheiramphus alcinus_Bat Hawk
Fulica cristata_Red-knobbed Coot
Dendrocygna bicolor_Fulvous Whistling-Duck
Riparia paludicola_Plain Martin
Ardeola ralloides_Squacco Heron
Hydroprogne caspia_Caspian Tern
Chroicocephalus cirrocephalus_Gray-hooded Gull
Phoenicopterus roseus_Greater Flamingo
Ortygornis pondicerianus_Gray Francolin
Sternula saundersi_Saunders's Tern
Stercorarius antarcticus_Brown Skua
Scopus umbretta_Hamerkop
Nycticorax nycticorax_Black-crowned Night-Heron
Corvus albus_Pied Crow
Terpsiphone bourbonnensis_Mascarene Paradise-Flycatcher
Apus melba_Alpine Swift
Cuculus rochii_Madagascar Cuckoo
Charadrius tricollaris_Three-banded Plover
Pycnonotus jocosus_Red-whiskered Bulbul
Gallus gallus_Red Junglefowl
Geopelia striata_Zebra Dove
Psittacula krameri_Rose-ringed Parakeet
Coturnix delegorguei_Harlequin Quail
Puffinus bailloni_Tropical Shearwater
Ixobrychus minutus_Little Bittern
Phoeniconaias minor_Lesser Flamingo
Zapornia pusilla_Baillon's Crake
Phasianus colchicus_Ring-necked Pheasant
Corvus splendens_House Crow
Cinnyris sovimanga_Souimanga Sunbird
Copsychus albospecularis_Madagascar Magpie-Robin
Dicrurus forficatus_Crested Drongo
Centropus toulou_Malagasy Coucal
Hypsipetes madagascariensis_Malagasy Bulbul
Neomixis tenella_Common Jery
Zosterops maderaspatanus_Malagasy White-eye
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Ploceus cucullatus_Village Weaver
Xenopirostris damii_Van Dam's Vanga
Crossleyia xanthophrys_Yellow-browed Oxylabes
Bradypterus brunneus_Brown Emutail
Coua cristata_Crested Coua
Mesitornis unicolor_Brown Mesite
Xenopirostris polleni_Pollen's Vanga
Newtonia archboldi_Archbold's Newtonia
Ploceus sakalava_Sakalava Weaver
Vanga curvirostris_Hook-billed Vanga
Coua serriana_Red-breasted Coua
Caprimulgus madagascariensis_Madagascar Nightjar
Mystacornis crossleyi_Crossley's Vanga
Schetba rufa_Rufous Vanga
Otus madagascariensis_Torotoroka Scops-Owl
Nesillas lantzii_Subdesert Brush-Warbler
Atelornis crossleyi_Rufous-headed Ground-Roller
Cryptosylvicola randrianasoloi_Cryptic Warbler
Mesitornis variegatus_White-breasted Mesite
Cyanolanius madagascarinus_Blue Vanga
Upupa marginata_Madagascar Hoopoe
Coua coquereli_Coquerel's Coua
Athene superciliaris_White-browed Owl
Philepitta schlegeli_Schlegel's Asity
Oxylabes madagascariensis_White-throated Oxylabes
Monticola sharpei_Forest Rock-Thrush
Motacilla flaviventris_Madagascar Wagtail
Nesillas typica_Malagasy Brush-Warbler
Newtonia brunneicauda_Common Newtonia
Newtonia amphichroa_Dark Newtonia
Leptosomus discolor_Cuckoo-roller
Coua reynaudii_Red-fronted Coua
Coracopsis vasa_Greater Vasa Parrot
Coua gigas_Giant Coua
Cisticola cherina_Madagascar Cisticola
Ploceus nelicourvi_Nelicourvi Weaver
Coua ruficeps_Red-capped Coua
Coracina cinerea_Madagascar Cuckooshrike
Falculea palliata_Sickle-billed Vanga
Otus rutilus_Madagascar Scops-Owl
Xanthomixis zosterops_Spectacled Tetraka
Buteo brachypterus_Madagascar Buzzard
Coua caerulea_Blue Coua
Atelornis pittoides_Pitta-like Ground-Roller
Eremopterix hova_Madagascar Lark
Sarothrura insularis_Madagascar Flufftail
Tylas eduardi_Tylas Vanga
Acrocephalus newtoni_Madagascar Swamp Warbler
Bernieria madagascariensis_Long-billed Bernieria
Calicalicus madagascariensis_Red-tailed Vanga
Neomixis striatigula_Stripe-throated Jery
Larus dominicanus_Kelp Gull
Estrilda astrild_Common Waxbill
Columba livia_Rock Pigeon
