Rhipidura leucophrys_Willie-wagtail
Taeniopygia guttata_Zebra Finch
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Gymnorhina tibicen_Australian Magpie
Gavicalis virescens_Singing Honeyeater
Ocyphaps lophotes_Crested Pigeon
Manorina flavigula_Yellow-throated Miner
Artamus cinereus_Black-faced Woodswallow
Grallina cyanoleuca_Magpie-lark
Barnardius zonarius_Australian Ringneck
Malurus leucopterus_White-winged Fairywren
Eolophus roseicapilla_Galah
Corvus orru_Torresian Crow
Haliastur sphenurus_Whistling Kite
Melopsittacus undulatus_Budgerigar
Pardalotus rubricatus_Red-browed Pardalote
Eurostopodus argus_Spotted Nightjar
Colluricincla harmonica_Gray Shrikethrush
Acanthiza apicalis_Inland Thornbill
Pachycephala rufiventris_Rufous Whistler
Acanthiza uropygialis_Chestnut-rumped Thornbill
Psephotus varius_Mulga Parrot
Anas gracilis_Gray Teal
Coracina novaehollandiae_Black-faced Cuckooshrike
Dicaeum hirundinaceum_Mistletoebird
Chenonetta jubata_Maned Duck
Nymphicus hollandicus_Cockatiel
Oreoica gutturalis_Crested Bellbird
Malurus assimilis_Purple-backed Fairywren
Tachybaptus novaehollandiae_Australasian Grebe
Malurus splendens_Splendid Fairywren
Lophochroa leadbeateri_Pink Cockatoo
Anthus novaeseelandiae_Australasian Pipit
Certhionyx variegatus_Pied Honeyeater
Cincloramphus mathewsi_Rufous Songlark
Passer domesticus_House Sparrow
Himantopus leucocephalus_Pied Stilt
Melanodryas cucullata_Hooded Robin
Falco berigora_Brown Falcon
Petrochelidon ariel_Fairy Martin
Elseyornis melanops_Black-fronted Dotterel
Cracticus nigrogularis_Pied Butcherbird
Corvus coronoides_Australian Raven
Petrochelidon nigricans_Tree Martin
Pyrrholaemus brunneus_Redthroat
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Microeca fascinans_Jacky-winter
Tringa nebularia_Common Greenshank
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Malacorhynchus membranaceus_Pink-eared Duck
Aphelocephala leucopsis_Southern Whiteface
Lalage tricolor_White-winged Triller
Cracticus torquatus_Gray Butcherbird
Artamus leucorynchus_White-breasted Woodswallow
Cacomantis pallidus_Pallid Cuckoo
Phaps chalcoptera_Common Bronzewing
Accipiter cirrocephalus_Collared Sparrowhawk
Cincloramphus cruralis_Brown Songlark
Pomatostomus superciliosus_White-browed Babbler
Epthianura tricolor_Crimson Chat
Purnella albifrons_White-fronted Honeyeater
Artamus personatus_Masked Woodswallow
Podargus strigoides_Tawny Frogmouth
Tyto alba_Barn Owl
Accipiter fasciatus_Brown Goshawk
Ninox boobook_Southern Boobook
Falco peregrinus_Peregrine Falcon
Artamus superciliosus_White-browed Woodswallow
Daphoenositta chrysoptera_Varied Sittella
Petroica goodenovii_Red-capped Robin
Sugomel nigrum_Black Honeyeater
Hirundo neoxena_Welcome Swallow
Actitis hypoleucos_Common Sandpiper
Milvus migrans_Black Kite
Gerygone fusca_Western Gerygone
Sturnus vulgaris_European Starling
Chrysococcyx osculans_Black-eared Cuckoo
Aegotheles cristatus_Australian Owlet-nightjar
Rhipidura albiscapa_Gray Fantail
Ptilotula ornata_Yellow-plumed Honeyeater
Smicrornis brevirostris_Weebill
Merops ornatus_Rainbow Bee-eater
Myiagra inquieta_Restless Flycatcher
Vanellus tricolor_Banded Lapwing
Artamus cyanopterus_Dusky Woodswallow
Pardalotus punctatus_Spotted Pardalote
Cacatua sanguinea_Little Corella
Apus pacificus_Pacific Swift
Psophodes occidentalis_Chiming Wedgebill
Hylacola cauta_Shy Heathwren
Geopelia placida_Peaceful Dove
Pardalotus striatus_Striated Pardalote
Parvipsitta porphyrocephala_Purple-crowned Lorikeet
Phaps elegans_Brush Bronzewing
Ptilotula penicillata_White-plumed Honeyeater
Fulica atra_Eurasian Coot
Corcorax melanorhamphos_White-winged Chough
Drymodes brunneopygia_Southern Scrub-Robin
Pachycephala inornata_Gilbert's Whistler
Egretta novaehollandiae_White-faced Heron
Cygnus atratus_Black Swan
Anas superciliosa_Pacific Black Duck
Zosterops lateralis_Silvereye
Todiramphus sanctus_Sacred Kingfisher
Chroicocephalus novaehollandiae_Silver Gull
Tribonyx ventralis_Black-tailed Nativehen
Calidris acuminata_Sharp-tailed Sandpiper
Chlidonias hybrida_Whiskered Tern
Melithreptus brevirostris_Brown-headed Honeyeater
Nesoptilotis leucotis_White-eared Honeyeater
Hydroprogne caspia_Caspian Tern
Strepera versicolor_Gray Currawong
Circus approximans_Swamp Harrier
Poodytes gramineus_Little Grassbird
Zapornia pusilla_Baillon's Crake
Acrocephalus australis_Australian Reed Warbler
Plegadis falcinellus_Glossy Ibis
Tringa glareola_Wood Sandpiper
Gallirallus philippensis_Buff-banded Rail
Porphyrio melanotus_Australasian Swamphen
Calidris ferruginea_Curlew Sandpiper
Anthochaera carunculata_Red Wattlebird
Mirafra javanica_Australasian Bushlark
Phalacrocorax carbo_Great Cormorant
Calidris ruficollis_Red-necked Stint
Ardea alba_Great Egret
Vanellus miles_Masked Lapwing
Ardea intermedia_Intermediate Egret
Lichmera indistincta_Brown Honeyeater
Gelochelidon nilotica_Gull-billed Tern
Synoicus ypsilophorus_Brown Quail
Tringa stagnatilis_Marsh Sandpiper
Pomatostomus temporalis_Gray-crowned Babbler
Zapornia tabuensis_Spotless Crake
Anhinga novaehollandiae_Australasian Darter
Threskiornis molucca_Australian Ibis
Coturnix pectoralis_Stubble Quail
Burhinus grallarius_Bush Thick-knee
Corvus mellori_Little Raven
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Pelecanus conspicillatus_Australian Pelican
Gallinula tenebrosa_Dusky Moorhen
Antigone rubicunda_Brolga
Charadrius veredus_Oriental Plover
Anas castanea_Chestnut Teal
Biziura lobata_Musk Duck
Podiceps cristatus_Great Crested Grebe
Northiella haematogaster_Greater Bluebonnet
Tadorna tadornoides_Australian Shelduck
Chlidonias leucopterus_White-winged Tern
Egretta garzetta_Little Egret
Psephotus haematonotus_Red-rumped Parrot
Pluvialis fulva_Pacific Golden-Plover
Dendrocygna eytoni_Plumed Whistling-Duck
Cisticola exilis_Golden-headed Cisticola
Arenaria interpres_Ruddy Turnstone
Calidris melanotos_Pectoral Sandpiper
Melithreptus gularis_Black-chinned Honeyeater
Cacatua galerita_Sulphur-crested Cockatoo
Cacomantis flabelliformis_Fan-tailed Cuckoo
Calidris canutus_Red Knot
Streptopelia chinensis_Spotted Dove
Tringa brevipes_Gray-tailed Tattler
Limosa lapponica_Bar-tailed Godwit
Tyto novaehollandiae_Australian Masked-Owl
Haematopus fuliginosus_Sooty Oystercatcher
Climacteris picumnus_Brown Treecreeper
Haliaeetus leucogaster_White-bellied Sea-Eagle
Pachycephala fuliginosa_Western Whistler
Bubulcus ibis_Cattle Egret
Thalasseus bergii_Great Crested Tern
Calidris tenuirostris_Great Knot
Numenius madagascariensis_Far Eastern Curlew
Haematopus longirostris_Pied Oystercatcher
Ninox connivens_Barking Owl
Limosa limosa_Black-tailed Godwit
Lichenostomus cratitius_Purple-gaped Honeyeater
Ardenna tenuirostris_Short-tailed Shearwater
Petroica phoenicea_Flame Robin
Xenus cinereus_Terek Sandpiper
Geopelia humeralis_Bar-shouldered Dove
Gallinago hardwickii_Latham's Snipe
Malurus cyaneus_Superb Fairywren
Egretta sacra_Pacific Reef-Heron
Turdus merula_Eurasian Blackbird
Calidris alba_Sanderling
Pluvialis squatarola_Black-bellied Plover
Numenius phaeopus_Whimbrel
Psophodes cristatus_Chirruping Wedgebill
Charadrius leschenaultii_Greater Sand-Plover
Grantiella picta_Painted Honeyeater
Gliciphila melanops_Tawny-crowned Honeyeater
Calidris subminuta_Long-toed Stint
Charadrius mongolus_Lesser Sand-Plover
Numenius minutus_Little Curlew
Motacilla tschutschensis_Eastern Yellow Wagtail
Calamanthus fuliginosus_Striated Fieldwren
Cacatua tenuirostris_Long-billed Corella
Sericornis frontalis_White-browed Scrubwren
Pachycephala olivacea_Olive Whistler
Platycercus elegans_Crimson Rosella
