Grallina cyanoleuca_Magpie-lark
Rhipidura leucophrys_Willie-wagtail
Gymnorhina tibicen_Australian Magpie
Ocyphaps lophotes_Crested Pigeon
Eolophus roseicapilla_Galah
Manorina flavigula_Yellow-throated Miner
Taeniopygia guttata_Zebra Finch
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Corvus coronoides_Australian Raven
Artamus cinereus_Black-faced Woodswallow
Melopsittacus undulatus_Budgerigar
Barnardius zonarius_Australian Ringneck
Ptilotula penicillata_White-plumed Honeyeater
Gavicalis virescens_Singing Honeyeater
Haliastur sphenurus_Whistling Kite
Geopelia placida_Peaceful Dove
Milvus migrans_Black Kite
Malurus leucopterus_White-winged Fairywren
Artamus leucorynchus_White-breasted Woodswallow
Nymphicus hollandicus_Cockatiel
Cacatua sanguinea_Little Corella
Anas gracilis_Gray Teal
Oreoica gutturalis_Crested Bellbird
Cincloramphus mathewsi_Rufous Songlark
Petrochelidon ariel_Fairy Martin
Malurus assimilis_Purple-backed Fairywren
Elseyornis melanops_Black-fronted Dotterel
Epthianura tricolor_Crimson Chat
Pachycephala rufiventris_Rufous Whistler
Petroica goodenovii_Red-capped Robin
Psophodes cristatus_Chirruping Wedgebill
Artamus personatus_Masked Woodswallow
Lalage tricolor_White-winged Triller
Pardalotus rubricatus_Red-browed Pardalote
Eurostopodus argus_Spotted Nightjar
Tachybaptus novaehollandiae_Australasian Grebe
Petrochelidon nigricans_Tree Martin
Colluricincla harmonica_Gray Shrikethrush
Passer domesticus_House Sparrow
Falco berigora_Brown Falcon
Acanthiza uropygialis_Chestnut-rumped Thornbill
Anthus novaeseelandiae_Australasian Pipit
Cacomantis pallidus_Pallid Cuckoo
Malacorhynchus membranaceus_Pink-eared Duck
Psephotus varius_Mulga Parrot
Dicaeum hirundinaceum_Mistletoebird
Vanellus tricolor_Banded Lapwing
Acrocephalus australis_Australian Reed Warbler
Cincloramphus cruralis_Brown Songlark
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Coracina novaehollandiae_Black-faced Cuckooshrike
Melanodryas cucullata_Hooded Robin
Pelecanus conspicillatus_Australian Pelican
Myiagra inquieta_Restless Flycatcher
Chlamydera maculata_Spotted Bowerbird
Anas superciliosa_Pacific Black Duck
Anhinga novaehollandiae_Australasian Darter
Certhionyx variegatus_Pied Honeyeater
Chrysococcyx osculans_Black-eared Cuckoo
Microeca fascinans_Jacky-winter
Aphelocephala leucopsis_Southern Whiteface
Phalacrocorax carbo_Great Cormorant
Aegotheles cristatus_Australian Owlet-nightjar
Todiramphus sanctus_Sacred Kingfisher
Artamus superciliosus_White-browed Woodswallow
Cracticus nigrogularis_Pied Butcherbird
Poodytes gramineus_Little Grassbird
Egretta novaehollandiae_White-faced Heron
Mirafra javanica_Australasian Bushlark
Accipiter cirrocephalus_Collared Sparrowhawk
Tribonyx ventralis_Black-tailed Nativehen
Falco peregrinus_Peregrine Falcon
Himantopus leucocephalus_Pied Stilt
Struthidea cinerea_Apostlebird
Pomatostomus ruficeps_Chestnut-crowned Babbler
Pardalotus striatus_Striated Pardalote
Antigone rubicunda_Brolga
Accipiter fasciatus_Brown Goshawk
Circus approximans_Swamp Harrier
Chlidonias hybrida_Whiskered Tern
Podargus strigoides_Tawny Frogmouth
Acanthiza apicalis_Inland Thornbill
Ardea alba_Great Egret
Lophochroa leadbeateri_Pink Cockatoo
Gelochelidon nilotica_Gull-billed Tern
Sugomel nigrum_Black Honeyeater
Ninox boobook_Southern Boobook
Tyto alba_Barn Owl
Northiella haematogaster_Greater Bluebonnet
Porphyrio melanotus_Australasian Swamphen
Fulica atra_Eurasian Coot
Malurus splendens_Splendid Fairywren
Calidris acuminata_Sharp-tailed Sandpiper
Cracticus torquatus_Gray Butcherbird
Chenonetta jubata_Maned Duck
Ardea intermedia_Intermediate Egret
Coturnix pectoralis_Stubble Quail
Rhipidura albiscapa_Gray Fantail
Vanellus miles_Masked Lapwing
Plegadis falcinellus_Glossy Ibis
Psephotus haematonotus_Red-rumped Parrot
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Purnella albifrons_White-fronted Honeyeater
Lichmera indistincta_Brown Honeyeater
Phaps chalcoptera_Common Bronzewing
Gerygone fusca_Western Gerygone
Podiceps cristatus_Great Crested Grebe
Actitis hypoleucos_Common Sandpiper
Pomatostomus superciliosus_White-browed Babbler
Threskiornis molucca_Australian Ibis
Calidris ruficollis_Red-necked Stint
Apus pacificus_Pacific Swift
Merops ornatus_Rainbow Bee-eater
Daphoenositta chrysoptera_Varied Sittella
Artamus cyanopterus_Dusky Woodswallow
Pyrrholaemus brunneus_Redthroat
Gallirallus philippensis_Buff-banded Rail
Tringa stagnatilis_Marsh Sandpiper
Climacteris picumnus_Brown Treecreeper
Chroicocephalus novaehollandiae_Silver Gull
Egretta garzetta_Little Egret
Pomatostomus temporalis_Gray-crowned Babbler
Zapornia pusilla_Baillon's Crake
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Smicrornis brevirostris_Weebill
Tringa nebularia_Common Greenshank
Cygnus atratus_Black Swan
Zapornia tabuensis_Spotless Crake
Calidris ferruginea_Curlew Sandpiper
Gallinula tenebrosa_Dusky Moorhen
Tringa glareola_Wood Sandpiper
Dendrocygna eytoni_Plumed Whistling-Duck
Grantiella picta_Painted Honeyeater
Hirundo neoxena_Welcome Swallow
Hydroprogne caspia_Caspian Tern
Synoicus ypsilophorus_Brown Quail
Anas castanea_Chestnut Teal
Sturnus vulgaris_European Starling
Plectorhyncha lanceolata_Striped Honeyeater
Cacomantis flabelliformis_Fan-tailed Cuckoo
Aprosmictus erythropterus_Red-winged Parrot
Burhinus grallarius_Bush Thick-knee
Psophodes occidentalis_Chiming Wedgebill
Biziura lobata_Musk Duck
Cinclosoma castaneothorax_Chestnut-breasted Quail-thrush
Tadorna tadornoides_Australian Shelduck
Cacatua galerita_Sulphur-crested Cockatoo
Philemon citreogularis_Little Friarbird
Chlidonias leucopterus_White-winged Tern
Ninox connivens_Barking Owl
Dacelo novaeguineae_Laughing Kookaburra
Bubulcus ibis_Cattle Egret
Charadrius veredus_Oriental Plover
Oriolus sagittatus_Olive-backed Oriole
Haliaeetus leucogaster_White-bellied Sea-Eagle
Turnix maculosus_Red-backed Buttonquail
Coracina papuensis_White-bellied Cuckooshrike
Philemon corniculatus_Noisy Friarbird
Corcorax melanorhamphos_White-winged Chough
Melithreptus gularis_Black-chinned Honeyeater
Limosa lapponica_Bar-tailed Godwit
Geopelia humeralis_Bar-shouldered Dove
Stizoptera bichenovii_Double-barred Finch
Calidris melanotos_Pectoral Sandpiper
Hirundapus caudacutus_White-throated Needletail
Corvus orru_Torresian Crow
Limosa limosa_Black-tailed Godwit
Melithreptus brevirostris_Brown-headed Honeyeater
Arenaria interpres_Ruddy Turnstone
Entomyzon cyanotis_Blue-faced Honeyeater
Tringa brevipes_Gray-tailed Tattler
Gallinago hardwickii_Latham's Snipe
Anseranas semipalmata_Magpie Goose
Numenius madagascariensis_Far Eastern Curlew
Nesoptilotis leucotis_White-eared Honeyeater
Dendrocygna arcuata_Wandering Whistling-Duck
Scythrops novaehollandiae_Channel-billed Cuckoo
Calidris tenuirostris_Great Knot
Pluvialis fulva_Pacific Golden-Plover
Calidris canutus_Red Knot
Numenius phaeopus_Whimbrel
Streptopelia chinensis_Spotted Dove
Pardalotus punctatus_Spotted Pardalote
Zosterops lateralis_Silvereye
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Limnodromus semipalmatus_Asian Dowitcher
Acanthiza nana_Yellow Thornbill
Cisticola exilis_Golden-headed Cisticola
Acanthiza reguloides_Buff-rumped Thornbill
Charadrius bicinctus_Double-banded Plover
Eopsaltria australis_Eastern Yellow Robin
Calidris alba_Sanderling
Pachycephala pectoralis_Golden Whistler
Turdus merula_Eurasian Blackbird
Numenius minutus_Little Curlew
Acridotheres tristis_Common Myna
Calidris falcinellus_Broad-billed Sandpiper
Charadrius leschenaultii_Greater Sand-Plover
Falcunculus frontatus_Crested Shrike-tit
Xenus cinereus_Terek Sandpiper
Ptilotula ornata_Yellow-plumed Honeyeater
Eurystomus orientalis_Dollarbird
Pyrrholaemus sagittatus_Speckled Warbler
Manorina melanocephala_Noisy Miner
Ceyx azureus_Azure Kingfisher
Thalasseus bergii_Great Crested Tern
Anas platyrhynchos_Mallard
Ixobrychus dubius_Black-backed Bittern
Platycercus adscitus_Pale-headed Rosella
Charadrius mongolus_Lesser Sand-Plover
Tyto novaehollandiae_Australian Masked-Owl
Gallinago megala_Swinhoe's Snipe
Strepera graculina_Pied Currawong
Myiagra rubecula_Leaden Flycatcher
Platycercus elegans_Crimson Rosella
Turnix varius_Painted Buttonquail
Corvus mellori_Little Raven
Sericornis frontalis_White-browed Scrubwren
Trichoglossus moluccanus_Rainbow Lorikeet
Pachycephala inornata_Gilbert's Whistler
Eudynamys orientalis_Pacific Koel
Pandion haliaetus_Osprey
Drymodes brunneopygia_Southern Scrub-Robin
Hylacola cauta_Shy Heathwren
Centropus phasianinus_Pheasant Coucal
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Gerygone olivacea_White-throated Gerygone
Malurus cyaneus_Superb Fairywren
Aviceda subcristata_Pacific Baza
Dacelo leachii_Blue-winged Kookaburra
Cacatua tenuirostris_Long-billed Corella
Cacomantis variolosus_Brush Cuckoo
Egretta sacra_Pacific Reef-Heron
Thalasseus bengalensis_Lesser Crested Tern
Calidris subminuta_Long-toed Stint
Lalage leucomela_Varied Triller
Malurus melanocephalus_Red-backed Fairywren
Sternula albifrons_Little Tern
Melithreptus albogularis_White-throated Honeyeater
Pluvialis squatarola_Black-bellied Plover
Synoicus chinensis_Blue-breasted Quail
Ptilotula fusca_Fuscous Honeyeater
Cincloramphus timoriensis_Tawny Grassbird
Columba livia_Rock Pigeon
Haematopus longirostris_Pied Oystercatcher
Haematopus fuliginosus_Sooty Oystercatcher
Lonchura castaneothorax_Chestnut-breasted Munia
Sterna hirundo_Common Tern
Strepera versicolor_Gray Currawong
Glossopsitta concinna_Musk Lorikeet
Glareola maldivarum_Oriental Pratincole
Butorides striata_Striated Heron
Polytelis swainsonii_Superb Parrot
Charadrius dubius_Little Ringed Plover
Anthochaera carunculata_Red Wattlebird
Onychoprion fuscatus_Sooty Tern
