Chroicocephalus novaehollandiae_Silver Gull
Hirundo neoxena_Welcome Swallow
Estrilda astrild_Common Waxbill
Streptopelia chinensis_Spotted Dove
Vanellus miles_Masked Lapwing
Todiramphus sanctus_Sacred Kingfisher
Rhipidura albiscapa_Gray Fantail
Gerygone flavolateralis_Fan-tailed Gerygone
Lichmera incana_Dark-brown Honeyeater
Thalasseus bergii_Great Crested Tern
Egretta novaehollandiae_White-faced Heron
Myiagra caledonica_Melanesian Flycatcher
Rhynochetos jubatus_Kagu
Acridotheres tristis_Common Myna
Trichoglossus haematodus_Coconut Lorikeet
Gygis alba_White Tern
Anas superciliosa_Pacific Black Duck
Gallus gallus_Red Junglefowl
Pterodroma nigripennis_Black-winged Petrel
Phaethon rubricauda_Red-tailed Tropicbird
Ducula pacifica_Pacific Imperial-Pigeon
Gallinula tenebrosa_Dusky Moorhen
Pluvialis fulva_Pacific Golden-Plover
Pachycephala rufiventris_Rufous Whistler
Meleagris gallopavo_Wild Turkey
Artamus leucorynchus_White-breasted Woodswallow
Pycnonotus cafer_Red-vented Bulbul
Porphyrio melanotus_Australasian Swamphen
Haliastur sphenurus_Whistling Kite
Egretta sacra_Pacific Reef-Heron
Rhipidura verreauxi_Streaked Fantail
Passer domesticus_House Sparrow
Sula sula_Red-footed Booby
Calidris ruficollis_Red-necked Stint
Columba vitiensis_Metallic Pigeon
Gallirallus philippensis_Buff-banded Rail
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Lalage leucopyga_Long-tailed Triller
Phaethon lepturus_White-tailed Tropicbird
Sula dactylatra_Masked Booby
Pavo cristatus_Indian Peafowl
Pandion haliaetus_Osprey
Lonchura castaneothorax_Chestnut-breasted Munia
Sterna sumatrana_Black-naped Tern
Chalcophaps longirostris_Pacific Emerald Dove
Ardenna tenuirostris_Short-tailed Shearwater
Tringa brevipes_Gray-tailed Tattler
Sterna dougallii_Roseate Tern
Cacomantis flabelliformis_Fan-tailed Cuckoo
Phasianus colchicus_Ring-necked Pheasant
Erythrura trichroa_Blue-faced Parrotfinch
Tringa incana_Wandering Tattler
Pluvialis squatarola_Black-bellied Plover
Accipiter fasciatus_Brown Goshawk
Esacus magnirostris_Beach Thick-knee
Anous stolidus_Brown Noddy
Anous minutus_Black Noddy
Fregata minor_Great Frigatebird
Numenius phaeopus_Whimbrel
Circus approximans_Swamp Harrier
Onychoprion fuscatus_Sooty Tern
Tachybaptus novaehollandiae_Australasian Grebe
Arenaria interpres_Ruddy Turnstone
Pachycephala chlorura_Vanuatu Whistler
Zosterops lateralis_Silvereye
Ardenna pacifica_Wedge-tailed Shearwater
Calidris acuminata_Sharp-tailed Sandpiper
Onychoprion anaethetus_Bridled Tern
Myzomela cardinalis_Cardinal Myzomela
Sula leucogaster_Brown Booby
Zapornia tabuensis_Spotless Crake
Calidris alba_Sanderling
Limosa lapponica_Bar-tailed Godwit
Fregata ariel_Lesser Frigatebird
Urodynamis taitensis_Long-tailed Koel
Charadrius mongolus_Lesser Sand-Plover
Tyto alba_Barn Owl
Hirundo tahitica_Pacific Swallow
Anas gracilis_Gray Teal
Threskiornis molucca_Australian Ibis
Bubulcus ibis_Cattle Egret
Cygnus atratus_Black Swan
Falco peregrinus_Peregrine Falcon
Phalacrocorax carbo_Great Cormorant
Hydroprogne caspia_Caspian Tern
Himantopus leucocephalus_Pied Stilt
Actitis hypoleucos_Common Sandpiper
Geopelia humeralis_Bar-shouldered Dove
Gymnorhina tibicen_Australian Magpie
Manorina melanocephala_Noisy Miner
Pelecanus conspicillatus_Australian Pelican
Numenius madagascariensis_Far Eastern Curlew
Haematopus longirostris_Pied Oystercatcher
Anthus novaeseelandiae_Australasian Pipit
Ardea alba_Great Egret
Ardea intermedia_Intermediate Egret
Haliaeetus leucogaster_White-bellied Sea-Eagle
Fulica atra_Eurasian Coot
Sphecotheres vieilloti_Australasian Figbird
Philemon corniculatus_Noisy Friarbird
Corvus orru_Torresian Crow
Colluricincla harmonica_Gray Shrikethrush
Cracticus nigrogularis_Pied Butcherbird
Dicaeum hirundinaceum_Mistletoebird
Cacatua sanguinea_Little Corella
Oriolus sagittatus_Olive-backed Oriole
Trichoglossus moluccanus_Rainbow Lorikeet
Coracina novaehollandiae_Black-faced Cuckooshrike
Cracticus torquatus_Gray Butcherbird
Sterna hirundo_Common Tern
Lichmera indistincta_Brown Honeyeater
Merops ornatus_Rainbow Bee-eater
Ocyphaps lophotes_Crested Pigeon
Egretta garzetta_Little Egret
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet
Alectura lathami_Australian Brushturkey
Sternula albifrons_Little Tern
Chenonetta jubata_Maned Duck
Gelochelidon nilotica_Gull-billed Tern
Meliphaga lewinii_Lewin's Honeyeater
Dicrurus bracteatus_Spangled Drongo
Anhinga novaehollandiae_Australasian Darter
Eolophus roseicapilla_Galah
Grallina cyanoleuca_Magpie-lark
Ardenna grisea_Sooty Shearwater
Dacelo novaeguineae_Laughing Kookaburra
Haematopus fuliginosus_Sooty Oystercatcher
Charadrius bicinctus_Double-banded Plover
Stercorarius pomarinus_Pomarine Jaeger
Calidris ferruginea_Curlew Sandpiper
Haliastur indus_Brahminy Kite
Lalage leucomela_Varied Triller
Anthochaera chrysoptera_Little Wattlebird
Butorides striata_Striated Heron
Macropygia phasianella_Brown Cuckoo-Dove
Myiagra rubecula_Leaden Flycatcher
Columba livia_Rock Pigeon
Myzomela sanguinolenta_Scarlet Myzomela
Rhipidura leucophrys_Willie-wagtail
Neochmia temporalis_Red-browed Firetail
Elseyornis melanops_Black-fronted Dotterel
Sterna striata_White-fronted Tern
Pardalotus striatus_Striated Pardalote
Colluricincla rufogaster_Rufous Shrikethrush
Entomyzon cyanotis_Blue-faced Honeyeater
Psophodes olivaceus_Eastern Whipbird
Gallinago hardwickii_Latham's Snipe
Sericornis magnirostra_Large-billed Scrubwren
Anas castanea_Chestnut Teal
Petrochelidon nigricans_Tree Martin
Eopsaltria australis_Eastern Yellow Robin
Pachycephala pectoralis_Golden Whistler
Petrochelidon ariel_Fairy Martin
Malurus melanocephalus_Red-backed Fairywren
Emberiza citrinella_Yellowhammer
Malurus lamberti_Variegated Fairywren
Ptilinopus regina_Rose-crowned Fruit-Dove
Platycercus eximius_Eastern Rosella
Eudynamys orientalis_Pacific Koel
Callipepla californica_California Quail
Cincloramphus timoriensis_Tawny Grassbird
Petroica macrocephala_Tomtit
Haematopus unicolor_Variable Oystercatcher
Calidris canutus_Red Knot
Podargus strigoides_Tawny Frogmouth
Eurystomus orientalis_Dollarbird
Cacatua galerita_Sulphur-crested Cockatoo
Acanthiza pusilla_Brown Thornbill
Strepera graculina_Pied Currawong
Centropus phasianinus_Pheasant Coucal
Gerygone olivacea_White-throated Gerygone
Ninox novaeseelandiae_Morepork
Acrocephalus australis_Australian Reed Warbler
