Pitangus sulphuratus_Great Kiskadee
Vanellus chilensis_Southern Lapwing
Coragyps atratus_Black Vulture
Troglodytes aedon_House Wren
Sicalis flaveola_Saffron Finch
Thraupis sayaca_Sayaca Tanager
Columbina talpacoti_Ruddy Ground Dove
Furnarius rufus_Rufous Hornero
Pygochelidon cyanoleuca_Blue-and-white Swallow
Tyrannus melancholicus_Tropical Kingbird
Zonotrichia capensis_Rufous-collared Sparrow
Coereba flaveola_Bananaquit
Tachyphonus coronatus_Ruby-crowned Tanager
Setophaga pitiayumi_Tropical Parula
Thalurania glaucopis_Violet-capped Woodnymph
Basileuterus culicivorus_Golden-crowned Warbler
Cyanocorax caeruleus_Azure Jay
Turdus rufiventris_Rufous-bellied Thrush
Vireo chivi_Chivi Vireo
Brotogeris tirica_Plain Parakeet
Chaetura meridionalis_Sick's Swift
Turdus amaurochalinus_Creamy-bellied Thrush
Picumnus temminckii_Ochre-collared Piculet
Euphonia violacea_Violaceous Euphonia
Cathartes aura_Turkey Vulture
Myiodynastes maculatus_Streaked Flycatcher
Dacnis cayana_Blue Dacnis
Aramides saracura_Slaty-breasted Wood-Rail
Passer domesticus_House Sparrow
Thraupis palmarum_Palm Tanager
Leptotila verreauxi_White-tipped Dove
Phimosus infuscatus_Bare-faced Ibis
Rupornis magnirostris_Roadside Hawk
Cyclarhis gujanensis_Rufous-browed Peppershrike
Chiroxiphia caudata_Swallow-tailed Manakin
Sporophila caerulescens_Double-collared Seedeater
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Milvago chimachima_Yellow-headed Caracara
Geothlypis aequinoctialis_Masked Yellowthroat
Tangara seledon_Green-headed Tanager
Colaptes campestris_Campo Flicker
Patagioenas picazuro_Picazuro Pigeon
Ortalis squamata_Scaled Chachalaca
Pyrrhura frontalis_Maroon-bellied Parakeet
Myiozetetes similis_Social Flycatcher
Molothrus bonariensis_Shiny Cowbird
Tangara cyanocephala_Red-necked Tanager
Egretta thula_Snowy Egret
Euphonia pectoralis_Chestnut-bellied Euphonia
Turdus leucomelas_Pale-breasted Thrush
Progne chalybea_Gray-breasted Martin
Piaya cayana_Squirrel Cuckoo
Sittasomus griseicapillus_Olivaceous Woodcreeper
Celeus flavescens_Blond-crested Woodpecker
Ramphocelus bresilius_Brazilian Tanager
Fregata magnificens_Magnificent Frigatebird
Estrilda astrild_Common Waxbill
Thamnophilus caerulescens_Variable Antshrike
Myrmoderus squamosus_Squamate Antbird
Zenaida auriculata_Eared Dove
Ardea alba_Great Egret
Pionus maximiliani_Scaly-headed Parrot
Xiphorhynchus fuscus_Lesser Woodcreeper
Nannopterum brasilianum_Neotropic Cormorant
Crypturellus obsoletus_Brown Tinamou
Bubulcus ibis_Cattle Egret
Guira guira_Guira Cuckoo
Caracara plancus_Crested Caracara
Thraupis cyanoptera_Azure-shouldered Tanager
Tyrannus savana_Fork-tailed Flycatcher
Empidonomus varius_Variegated Flycatcher
Dryobates spilogaster_White-spotted Woodpecker
Turdus albicollis_White-necked Thrush
Megaceryle torquata_Ringed Kingfisher
Dysithamnus mentalis_Plain Antvireo
Ramphastos dicolorus_Red-breasted Toucan
Crotophaga ani_Smooth-billed Ani
Megarynchus pitangua_Boat-billed Flycatcher
Synallaxis spixi_Spix's Spinetail
Streptoprocne zonaris_White-collared Swift
Ramphastos vitellinus_Channel-billed Toucan
Mimus saturninus_Chalk-browed Mockingbird
Theristicus caudatus_Buff-necked Ibis
Attila rufus_Gray-hooded Attila
Synallaxis ruficapilla_Rufous-capped Spinetail
Florisuga fusca_Black Jacobin
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Progne tapera_Brown-chested Martin
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Pachyramphus validus_Crested Becard
Turdus flavipes_Yellow-legged Thrush
Myiarchus swainsoni_Swainson's Flycatcher
Schiffornis virescens_Greenish Schiffornis
Leptopogon amaurocephalus_Sepia-capped Flycatcher
