Numenius phaeopus_Whimbrel
Himantopus mexicanus_Black-necked Stilt
Ardea alba_Great Egret
Leucophaeus pipixcan_Franklin's Gull
Sula nebouxii_Blue-footed Booby
Arenaria interpres_Ruddy Turnstone
Bubulcus ibis_Cattle Egret
Calidris alba_Sanderling
Haematopus palliatus_American Oystercatcher
Butorides striata_Striated Heron
Phoenicopterus ruber_American Flamingo
Pelecanus occidentalis_Brown Pelican
Crotophaga ani_Smooth-billed Ani
Fregata magnificens_Magnificent Frigatebird
Gallinula galeata_Common Gallinule
Tringa incana_Wandering Tattler
Setophaga petechia_Yellow Warbler
Ardea herodias_Great Blue Heron
Anous stolidus_Brown Noddy
Pluvialis squatarola_Black-bellied Plover
Tringa flavipes_Lesser Yellowlegs
Charadrius semipalmatus_Semipalmated Plover
Coragyps atratus_Black Vulture
Egretta thula_Snowy Egret
Phalaropus fulicarius_Red Phalarope
Podilymbus podiceps_Pied-billed Grebe
Nycticorax nycticorax_Black-crowned Night-Heron
Tyto alba_Barn Owl
Tringa melanoleuca_Greater Yellowlegs
Creagrus furcatus_Swallow-tailed Gull
Sicalis luteola_Grassland Yellow-Finch
Nannopterum brasilianum_Neotropic Cormorant
Passer domesticus_House Sparrow
Leucophaeus atricilla_Laughing Gull
Phalaropus tricolor_Wilson's Phalarope
Fregata minor_Great Frigatebird
Cathartes aura_Turkey Vulture
Phalaropus lobatus_Red-necked Phalarope
Elaenia albiceps_White-crested Elaenia
Falco peregrinus_Peregrine Falcon
Hirundo rustica_Barn Swallow
Pterodroma phaeopygia_Galapagos Petrel
Spatula discors_Blue-winged Teal
Spatula cyanoptera_Cinnamon Teal
Coccyzus melacoryphus_Dark-billed Cuckoo
Podiceps major_Great Grebe
Pygochelidon cyanoleuca_Blue-and-white Swallow
Rynchops niger_Black Skimmer
Nyctanassa violacea_Yellow-crowned Night-Heron
Anas georgica_Yellow-billed Pintail
Calidris minutilla_Least Sandpiper
Anas flavirostris_Yellow-billed Teal
Thalasseus elegans_Elegant Tern
Calidris bairdii_Baird's Sandpiper
Falco sparverius_American Kestrel
Ardenna creatopus_Pink-footed Shearwater
Ardea cocoi_Cocoi Heron
Limosa haemastica_Hudsonian Godwit
Ardenna grisea_Sooty Shearwater
Systellura longirostris_Band-winged Nightjar
Stercorarius parasiticus_Parasitic Jaeger
Troglodytes aedon_House Wren
Patagona gigas_Giant Hummingbird
Xema sabini_Sabine's Gull
Rhopospina alaudina_Band-tailed Sierra Finch
Agriornis montanus_Black-billed Shrike-Tyrant
Pardirallus sanguinolentus_Plumbeous Rail
Calidris virgata_Surfbird
Phleocryptes melanops_Wren-like Rushbird
Geospizopsis unicolor_Plumbeous Sierra Finch
Tringa semipalmata_Willet
Asio flammeus_Short-eared Owl
Phoenicopterus chilensis_Chilean Flamingo
Rhopospina fruticeti_Mourning Sierra Finch
Calidris melanotos_Pectoral Sandpiper
Falco femoralis_Aplomado Falcon
Sterna hirundinacea_South American Tern
Tachuris rubrigastra_Many-colored Rush Tyrant
Fulica rufifrons_Red-fronted Coot
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Podiceps occipitalis_Silvery Grebe
Geositta cunicularia_Common Miner
Molothrus bonariensis_Shiny Cowbird
Athene cunicularia_Burrowing Owl
Geranoaetus polyosoma_Variable Hawk
Parabuteo unicinctus_Harris's Hawk
Anairetes parulus_Tufted Tit-Tyrant
Metriopelia melanoptera_Black-winged Ground Dove
Larus dominicanus_Kelp Gull
Thinocorus orbignyianus_Gray-breasted Seedsnipe
Hydrobates castro_Band-rumped Storm-Petrel
Bubo virginianus_Great Horned Owl
Asthenes modesta_Cordilleran Canastero
Lophonetta specularioides_Crested Duck
Chroicocephalus serranus_Andean Gull
Pandion haliaetus_Osprey
Calidris canutus_Red Knot
Phaethon aethereus_Red-billed Tropicbird
Thinocorus rumicivorus_Least Seedsnipe
Larosterna inca_Inca Tern
Charadrius collaris_Collared Plover
Muscisaxicola maculirostris_Spot-billed Ground-Tyrant
Haematopus ater_Blackish Oystercatcher
Leucophaeus modestus_Gray Gull
Megaceryle torquata_Ringed Kingfisher
Calidris pusilla_Semipalmated Sandpiper
Buteo platypterus_Broad-winged Hawk
Vanellus chilensis_Southern Lapwing
Charadrius nivosus_Snowy Plover
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Ardenna bulleri_Buller's Shearwater
Theristicus melanopis_Black-faced Ibis
Sterna paradisaea_Arctic Tern
Bulweria bulwerii_Bulwer's Petrel
Zenaida auriculata_Eared Dove
Recurvirostra andina_Andean Avocet
Cistothorus platensis_Grass Wren
Psittacara wagleri_Scarlet-fronted Parakeet
Urodynamis taitensis_Long-tailed Koel
Volatinia jacarina_Blue-black Grassquit
Thalasseus maximus_Royal Tern
Actitis macularius_Spotted Sandpiper
Laterallus jamaicensis_Black Rail
Oxyura ferruginea_Andean Duck
Elanus leucurus_White-tailed Kite
Zapornia tabuensis_Spotless Crake
Tyrannus melancholicus_Tropical Kingbird
Puffinus bailloni_Tropical Shearwater
Patagioenas maculosa_Spot-winged Pigeon
Thalassarche melanophris_Black-browed Albatross
Gygis alba_White Tern
Geositta punensis_Puna Miner
Catamenia inornata_Plain-colored Seedeater
Orochelidon murina_Brown-bellied Swallow
Onychoprion fuscatus_Sooty Tern
Calidris mauri_Western Sandpiper
Cinclodes albiventris_Cream-winged Cinclodes
Phoenicoparrus andinus_Andean Flamingo
Colaptes rupicola_Andean Flicker
Plegadis chihi_White-faced Ibis
Sula dactylatra_Masked Booby
Ochthoeca oenanthoides_d'Orbigny's Chat-Tyrant
Ardenna tenuirostris_Short-tailed Shearwater
Diglossa brunneiventris_Black-throated Flowerpiercer
Phoenicoparrus jamesi_James's Flamingo
Tinamotis pentlandii_Puna Tinamou
Nothoprocta ornata_Ornate Tinamou
Asthenes dorbignyi_Creamy-breasted Canastero
Fulica gigantea_Giant Coot
Sula leucogaster_Brown Booby
Spatula puna_Puna Teal
Anous ceruleus_Blue-gray Noddy
Calidris himantopus_Stilt Sandpiper
Ardenna pacifica_Wedge-tailed Shearwater
Colaptes atricollis_Black-necked Woodpecker
Sicalis uropygialis_Bright-rumped Yellow-Finch
Limnodromus griseus_Short-billed Dowitcher
Muscisaxicola albilora_White-browed Ground-Tyrant
Colibri coruscans_Sparkling Violetear
Attagis gayi_Rufous-bellied Seedsnipe
Egretta tricolor_Tricolored Heron
Grallaria andicolus_Stripe-headed Antpitta
Sula sula_Red-footed Booby
Oreotrochilus estella_Andean Hillstar
Sicalis olivascens_Greenish Yellow-Finch
Spinus magellanicus_Hooded Siskin
Caracara plancus_Crested Caracara
Egretta caerulea_Little Blue Heron
Upucerthia validirostris_Buff-breasted Earthcreeper
Myrtis fanny_Purple-collared Woodstar
Rauenia bonariensis_Blue-and-yellow Tanager
Ochthoeca leucophrys_White-browed Chat-Tyrant
Pterodroma neglecta_Kermadec Petrel
Leptasthenura striata_Streaked Tit-Spinetail
Catamenia analis_Band-tailed Seedeater
Leptasthenura pileata_Rusty-crowned Tit-Spinetail
Zonotrichia capensis_Rufous-collared Sparrow
Xenodacnis parina_Tit-like Dacnis
Sterna hirundo_Common Tern
Onychoprion lunatus_Gray-backed Tern
Aeronautes andecolus_Andean Swift
Charadrius vociferus_Killdeer
Stercorarius pomarinus_Pomarine Jaeger
Leptasthenura andicola_Andean Tit-Spinetail
Anairetes reguloides_Pied-crested Tit-Tyrant
Conirostrum tamarugense_Tamarugo Conebill
Pheucticus chrysogaster_Golden Grosbeak
Oressochen melanopterus_Andean Goose
Myiopsitta monachus_Monk Parakeet
Saltator aurantiirostris_Golden-billed Saltator
Asthenes pudibunda_Canyon Canastero
Spinus atratus_Black Siskin
Phrygilus atriceps_Black-hooded Sierra Finch
Systellura decussata_Tschudi's Nightjar
Crotophaga sulcirostris_Groove-billed Ani
Puffinus nativitatis_Christmas Shearwater
Pluvialis fulva_Pacific Golden-Plover
Sporophila telasco_Chestnut-throated Seedeater
Anairetes flavirostris_Yellow-billed Tit-Tyrant
Myiotheretes striaticollis_Streak-throated Bush-Tyrant
Tachycineta leucopyga_Chilean Swallow
Phegornis mitchellii_Diademed Sandpiper-Plover
Psittacara erythrogenys_Red-masked Parakeet
Turdus chiguanco_Chiguanco Thrush
Asemospiza obscura_Dull-colored Grassquit
Daption capense_Cape Petrel
Spinus barbatus_Black-chinned Siskin
Chloroceryle americana_Green Kingfisher
Streptoprocne zonaris_White-collared Swift
Zosterops lateralis_Silvereye
Burhinus superciliaris_Peruvian Thick-knee
Accipiter bicolor_Bicolored Hawk
Gallinago magellanica_Magellanic Snipe
Conirostrum cinereum_Cinereous Conebill
Patagioenas araucana_Chilean Pigeon
Sporophila peruviana_Parrot-billed Seedeater
Phaethon rubricauda_Red-tailed Tropicbird
Leistes bellicosus_Peruvian Meadowlark
Geositta tenuirostris_Slender-billed Miner
Phaethon lepturus_White-tailed Tropicbird
Scelorchilus rubecula_Chucao Tapaculo
Sporophila simplex_Drab Seedeater
Saltator striatipectus_Streaked Saltator
