Tyrannus melancholicus_Tropical Kingbird
Pitangus sulphuratus_Great Kiskadee
Larus dominicanus_Kelp Gull
Vanellus chilensis_Southern Lapwing
Troglodytes aedon_House Wren
Turdus rufiventris_Rufous-bellied Thrush
Progne chalybea_Gray-breasted Martin
Mimus gilvus_Tropical Mockingbird
Coragyps atratus_Black Vulture
Patagioenas picazuro_Picazuro Pigeon
Thalassarche melanophris_Black-browed Albatross
Saltator maximus_Buff-throated Saltator
Columbina talpacoti_Ruddy Ground Dove
Coereba flaveola_Bananaquit
Pygochelidon cyanoleuca_Blue-and-white Swallow
Ramphastos vitellinus_Channel-billed Toucan
Furnarius rufus_Rufous Hornero
Fluvicola nengeta_Masked Water-Tyrant
Elaenia flavogaster_Yellow-bellied Elaenia
Thraupis palmarum_Palm Tanager
Sicalis flaveola_Saffron Finch
Euphonia violacea_Violaceous Euphonia
Furnarius figulus_Wing-banded Hornero
Sporophila caerulescens_Double-collared Seedeater
Icterus jamacaii_Campo Troupial
Dysithamnus stictothorax_Spot-breasted Antvireo
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Milvago chimachima_Yellow-headed Caracara
Megarynchus pitangua_Boat-billed Flycatcher
Turdus subalaris_Blacksmith Thrush
Saltator fuliginosus_Black-throated Grosbeak
Falco deiroleucus_Orange-breasted Falcon
Tangara seledon_Green-headed Tanager
Dacnis cayana_Blue Dacnis
Phaethornis squalidus_Dusky-throated Hermit
Myiozetetes similis_Social Flycatcher
Gnorimopsar chopi_Chopi Blackbird
Cissopis leverianus_Magpie Tanager
Athene cunicularia_Burrowing Owl
Paroaria dominicana_Red-cowled Cardinal
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Chelidoptera tenebrosa_Swallow-winged Puffbird
Hirundinea ferruginea_Cliff Flycatcher
Cyanerpes cyaneus_Red-legged Honeycreeper
Sporophila pileata_Pearly-bellied Seedeater
Caracara plancus_Crested Caracara
Crypturellus obsoletus_Brown Tinamou
Capsiempis flaveola_Yellow Tyrannulet
Passer domesticus_House Sparrow
Psarocolius decumanus_Crested Oropendola
Crotophaga ani_Smooth-billed Ani
Automolus leucophthalmus_White-eyed Foliage-gleaner
Tachyphonus coronatus_Ruby-crowned Tanager
Orchesticus abeillei_Brown Tanager
Dendrocincla turdina_Plain-winged Woodcreeper
Molothrus oryzivorus_Giant Cowbird
Myiobius atricaudus_Black-tailed Flycatcher
Chordeiles minor_Common Nighthawk
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Trogon viridis_Green-backed Trogon
Volatinia jacarina_Blue-black Grassquit
Sporophila frontalis_Buffy-fronted Seedeater
Pionus menstruus_Blue-headed Parrot
Psilorhamphus guttatus_Spotted Bamboowren
Laterallus leucopyrrhus_Red-and-white Crake
Thlypopsis pyrrhocoma_Chestnut-headed Tanager
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Pyrrhura frontalis_Maroon-bellied Parakeet
Falco rufigularis_Bat Falcon
Chlorophonia cyanea_Blue-naped Chlorophonia
Contopus cinereus_Tropical Pewee
Parabuteo leucorrhous_White-rumped Hawk
Gallinula galeata_Common Gallinule
Eupetomena cirrochloris_Sombre Hummingbird
Porphyrio martinica_Purple Gallinule
Tangara cyanoventris_Gilt-edged Tanager
Anhima cornuta_Horned Screamer
Piprites chloris_Wing-barred Piprites
Anabacerthia amaurotis_White-browed Foliage-gleaner
Thraupis ornata_Golden-chevroned Tanager
Accipiter superciliosus_Tiny Hawk
Sirystes sibilator_Sibilant Sirystes
Biatas nigropectus_White-bearded Antshrike
Malacoptila striata_Crescent-chested Puffbird
Platyrinchus leucoryphus_Russet-winged Spadebill
Tringa solitaria_Solitary Sandpiper
Anthus hellmayri_Hellmayr's Pipit
Conirostrum bicolor_Bicolored Conebill
Euphonia pectoralis_Chestnut-bellied Euphonia
Pheugopedius genibarbis_Moustached Wren
Todirostrum poliocephalum_Gray-headed Tody-Flycatcher
Eupsittula aurea_Peach-fronted Parakeet
Pachyramphus castaneus_Chestnut-crowned Becard
Myiozetetes cayanensis_Rusty-margined Flycatcher
Campylorhynchus turdinus_Thrush-like Wren
Chlorophanes spiza_Green Honeycreeper
Amazona vinacea_Vinaceous-breasted Parrot
Pteroglossus aracari_Black-necked Aracari
Caryothraustes canadensis_Yellow-green Grosbeak
Busarellus nigricollis_Black-collared Hawk
Serpophaga nigricans_Sooty Tyrannulet
Selenidera maculirostris_Spot-billed Toucanet
Pteroglossus bailloni_Saffron Toucanet
Nonnula rubecula_Rusty-breasted Nunlet
Eleoscytalopus indigoticus_White-breasted Tapaculo
Buteo albonotatus_Zone-tailed Hawk
Elanoides forficatus_Swallow-tailed Kite
Megascops atricapilla_Black-capped Screech-Owl
Sporophila angolensis_Chestnut-bellied Seed-Finch
Xiphorhynchus fuscus_Lesser Woodcreeper
Saltator similis_Green-winged Saltator
Sporophila falcirostris_Temminck's Seedeater
Chiroxiphia pareola_Blue-backed Manakin
Strix hylophila_Rusty-barred Owl
Drymophila squamata_Scaled Antbird
Formicivora serrana_Serra Antwren
Elaenia parvirostris_Small-billed Elaenia
Ramphotrigon megacephalum_Large-headed Flatbill
Batara cinerea_Giant Antshrike
Patagioenas plumbea_Plumbeous Pigeon
Colonia colonus_Long-tailed Tyrant
Sporophila nigricollis_Yellow-bellied Seedeater
Leptotila verreauxi_White-tipped Dove
Nannopterum brasilianum_Neotropic Cormorant
Formicivora grisea_White-fringed Antwren
Nyctibius aethereus_Long-tailed Potoo
Myiornis auricularis_Eared Pygmy-Tyrant
Ciccaba huhula_Black-banded Owl
Asemospiza fuliginosa_Sooty Grassquit
Phylloscartes oustaleti_Oustalet's Tyrannulet
Chlorestes notata_Blue-chinned Sapphire
Drymophila ferruginea_Ferruginous Antbird
Claravis pretiosa_Blue Ground Dove
Pyrrhura cruentata_Ochre-marked Parakeet
Turdus fumigatus_Cocoa Thrush
Penelope superciliaris_Rusty-margined Guan
Myrmoderus ruficauda_Scalloped Antbird
Crypturellus noctivagus_Yellow-legged Tinamou
Anthracothorax nigricollis_Black-throated Mango
Habia rubica_Red-crowned Ant-Tanager
Chionomesa lactea_Sapphire-spangled Emerald
Loriotus cristatus_Flame-crested Tanager
Cairina moschata_Muscovy Duck
Thamnophilus ambiguus_Sooretama Slaty-Antshrike
Phacellodomus ferrugineigula_Orange-breasted Thornbird
Piculus aurulentus_White-browed Woodpecker
Asio clamator_Striped Owl
Cichlopsis leucogenys_Rufous-brown Solitaire
Hylocharis sapphirina_Rufous-throated Sapphire
Merulaxis ater_Slaty Bristlefront
Amazona amazonica_Orange-winged Parrot
Agelasticus cyanopus_Unicolored Blackbird
Sporophila bouvreuil_Copper Seedeater
Manacus manacus_White-bearded Manakin
Saltator maxillosus_Thick-billed Saltator
Nyctiphrynus ocellatus_Ocellated Poorwill
Ixobrychus exilis_Least Bittern
Dendroplex picus_Straight-billed Woodcreeper
Jacamaralcyon tridactyla_Three-toed Jacamar
Pachyramphus marginatus_Black-capped Becard
Myrmotherula axillaris_White-flanked Antwren
Mackenziaena leachii_Large-tailed Antshrike
Phyllomyias burmeisteri_Rough-legged Tyrannulet
Cochlearius cochlearius_Boat-billed Heron
Crotophaga major_Greater Ani
Nyctibius leucopterus_White-winged Potoo
Hemitriccus orbitatus_Eye-ringed Tody-Tyrant
Ixobrychus involucris_Stripe-backed Bittern
Machetornis rixosa_Cattle Tyrant
Lipaugus lanioides_Cinnamon-vented Piha
Patagioenas speciosa_Scaled Pigeon
Asio stygius_Stygian Owl
Corythopis delalandi_Southern Antpipit
Piculus flavigula_Yellow-throated Woodpecker
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Orthogonys chloricterus_Olive-green Tanager
Rhytipterna simplex_Grayish Mourner
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Triclaria malachitacea_Blue-bellied Parrot
Micrastur ruficollis_Barred Forest-Falcon
Trogon surrucura_Surucua Trogon
Xenops minutus_Plain Xenops
Heliobletus contaminatus_Sharp-billed Treehunter
Egretta thula_Snowy Egret
Alopochelidon fucata_Tawny-headed Swallow
Rhynchocyclus olivaceus_Olivaceous Flatbill
Butorides striata_Striated Heron
Jabiru mycteria_Jabiru
Hemithraupis flavicollis_Yellow-backed Tanager
Lipaugus vociferans_Screaming Piha
Celeus flavescens_Blond-crested Woodpecker
Glaucis hirsutus_Rufous-breasted Hermit
Anabazenops fuscus_White-collared Foliage-gleaner
Circus buffoni_Long-winged Harrier
Dryobates affinis_Red-stained Woodpecker
Amazona rhodocorytha_Red-browed Parrot
Schiffornis turdina_Brown-winged Schiffornis
Nyctibius griseus_Common Potoo
Phaethornis pretrei_Planalto Hermit
Formicarius colma_Rufous-capped Antthrush
Heliothryx auritus_Black-eared Fairy
Ramphocaenus melanurus_Long-billed Gnatwren
Conopophaga melanops_Black-cheeked Gnateater
Phyllomyias virescens_Greenish Tyrannulet
Ictinia plumbea_Plumbeous Kite
Micrastur semitorquatus_Collared Forest-Falcon
Myiobius barbatus_Whiskered Flycatcher
Tityra inquisitor_Black-crowned Tityra
Buteo nitidus_Gray-lined Hawk
Grallaria varia_Variegated Antpitta
Hemitriccus nidipendulus_Hangnest Tody-Tyrant
Laterallus exilis_Gray-breasted Crake
Pulsatrix koeniswaldiana_Tawny-browed Owl
Oxyruncus cristatus_Sharpbill
Carpornis cucullata_Hooded Berryeater
Amazona farinosa_Mealy Parrot
Nyctidromus albicollis_Common Pauraque
Picumnus cirratus_White-barred Piculet
Thamnophilus ruficapillus_Rufous-capped Antshrike
Arremon semitorquatus_Half-collared Sparrow
Glyphorynchus spirurus_Wedge-billed Woodcreeper
Pseudocolopteryx sclateri_Crested Doradito
Schistochlamys melanopis_Black-faced Tanager
Arremon taciturnus_Pectoral Sparrow
Euphonia chalybea_Green-throated Euphonia
Attila spadiceus_Bright-rumped Attila
Cercomacra brasiliana_Rio de Janeiro Antbird
Cyanocorax cristatellus_Curl-crested Jay
Lathrotriccus euleri_Euler's Flycatcher
Rupornis magnirostris_Roadside Hawk
Stilpnia peruviana_Black-backed Tanager
Streptoprocne biscutata_Biscutate Swift
Donacobius atricapilla_Black-capped Donacobius
Leptodon cayanensis_Gray-headed Kite
