Furnarius rufus_Rufous Hornero
Pitangus sulphuratus_Great Kiskadee
Vanellus chilensis_Southern Lapwing
Myiopsitta monachus_Monk Parakeet
Zenaida auriculata_Eared Dove
Troglodytes aedon_House Wren
Zonotrichia capensis_Rufous-collared Sparrow
Sicalis flaveola_Saffron Finch
Mimus saturninus_Chalk-browed Mockingbird
Paroaria coronata_Red-crested Cardinal
Caracara plancus_Crested Caracara
Patagioenas picazuro_Picazuro Pigeon
Tyrannus melancholicus_Tropical Kingbird
Progne tapera_Brown-chested Martin
Passer domesticus_House Sparrow
Guira guira_Guira Cuckoo
Milvago chimango_Chimango Caracara
Polioptila dumicola_Masked Gnatcatcher
Agelaioides badius_Grayish Baywing
Columbina picui_Picui Ground Dove
Aramides ypecaha_Giant Wood-Rail
Turdus rufiventris_Rufous-bellied Thrush
Rupornis magnirostris_Roadside Hawk
Molothrus bonariensis_Shiny Cowbird
Jacana jacana_Wattled Jacana
Amazonetta brasiliensis_Brazilian Teal
Nannopterum brasilianum_Neotropic Cormorant
Ardea cocoi_Cocoi Heron
Machetornis rixosa_Cattle Tyrant
Patagioenas maculosa_Spot-winged Pigeon
Colaptes melanochloros_Green-barred Woodpecker
Ardea alba_Great Egret
Tyrannus savana_Fork-tailed Flycatcher
Turdus amaurochalinus_Creamy-bellied Thrush
Syrigma sibilatrix_Whistling Heron
Chlorostilbon lucidus_Glittering-bellied Emerald
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Egretta thula_Snowy Egret
Progne chalybea_Gray-breasted Martin
Leptotila verreauxi_White-tipped Dove
Plegadis chihi_White-faced Ibis
Poospiza nigrorufa_Black-and-rufous Warbling Finch
Aramus guarauna_Limpkin
Hylocharis chrysura_Gilded Hummingbird
Chauna torquata_Southern Screamer
Spinus magellanicus_Hooded Siskin
Tachycineta leucorrhoa_White-rumped Swallow
Serpophaga subcristata_White-crested Tyrannulet
Colaptes campestris_Campo Flicker
Phimosus infuscatus_Bare-faced Ibis
Gallinula galeata_Common Gallinule
Himantopus mexicanus_Black-necked Stilt
Synallaxis frontalis_Sooty-fronted Spinetail
Sporophila caerulescens_Double-collared Seedeater
Rostrhamus sociabilis_Snail Kite
