Acridotheres tristis_Common Myna
Thalasseus bergii_Great Crested Tern
Anous stolidus_Brown Noddy
Gallus gallus_Red Junglefowl
Phaethon rubricauda_Red-tailed Tropicbird
Phaethon lepturus_White-tailed Tropicbird
Fregata minor_Great Frigatebird
Fregata ariel_Lesser Frigatebird
Sula sula_Red-footed Booby
Egretta sacra_Pacific Reef-Heron
Numenius tahitiensis_Bristle-thighed Curlew
Zosterops lateralis_Silvereye
Anous minutus_Black Noddy
Bulweria bulwerii_Bulwer's Petrel
Sula leucogaster_Brown Booby
Ardenna pacifica_Wedge-tailed Shearwater
Sula dactylatra_Masked Booby
Arenaria interpres_Ruddy Turnstone
Onychoprion fuscatus_Sooty Tern
Gygis alba_White Tern
Pluvialis fulva_Pacific Golden-Plover
Calidris alba_Sanderling
Urodynamis taitensis_Long-tailed Koel
Puffinus nativitatis_Christmas Shearwater
Puffinus bailloni_Tropical Shearwater
Zapornia tabuensis_Spotless Crake
Calidris melanotos_Pectoral Sandpiper
Onychoprion lunatus_Gray-backed Tern
Anous ceruleus_Blue-gray Noddy
Tringa incana_Wandering Tattler
Pterodroma neglecta_Kermadec Petrel
Ardenna tenuirostris_Short-tailed Shearwater
